Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S34S1V01,S34S1V02,S34S1V03,S34S1V04,S34S1V05,S34S1V06,S34S1V07,S34S1V08,S34S2V01,S34S2V02,S34S2V03,S34S2V04,S34S2V05,S34S2V06,S34S2V07,S34S2V08,S34S2V09,S34S2V10,S34S2V11,S34S2V12,S34S2V13,S34S2V14,S34S2V15,S34S2V16,S34S2V17,S34S2V18,S34S2V19,S34S2V20,S34S2V21,S34S2V22,S34S2V23,S34S2V24,S34S2V25,S34S2V26,S34S2V27,S34S2V28,S34S2V29,S34S2V30,S34S2V31,S34S2V32,S34S2V33,S34S2V34,S34S2V35,S34S2V36,S34S2V37,S34S2V38,S34S2V39,S34S2V40,S34S2V41,S34S2V42,S34S2V43,S34S2V44,S34S2V45,S34S2V46,S34S3V01,S34S3V02,S34S3V03,S34S3V04,S34S3V05,S34S3V06,S34S3V07,S34S3V08,S34S3V09,S34S3V10,S34S3V11,S34S3V12,S34S3V13,S34S3V14,S34S3V15,S34S3V16,S34S3V17,S34S3V18,S34S3V19,S34S3V20,S34S3V21,S34S3V22,S34S3V23,S34S3V24,S34S3V25,S34S3V26,S34S3V27,S34S3V28,S34S3V29,S34S3V30,S34S3V31,S34S3V32,S34S3V33,S34S3V34,S34S3V35,S34S3V36,S34S3V37,S34S3V38,S34S3V39,S34S3V40,S34S3V41,S34S3V42,S34S3V43,S34S3V44,S34S3V45,S34S3V46,S34S3V47,S34S3V48,S34S3V49,S34S3V50,S34S3V51,S34S3V52,S34S3V53,S34S3V54,S34S3V55,S34S3V56,S34S3V57,S34S3V58,S34S3V59,S34S3V60,S34S3V61,S34S3V62,S34S3V63,S34S3V64,S34S3V65,S34S3V66,S34S3V67,S34S3V68,S34S3V69,S34S3V70,S34S3V71,S34S3V72,S34S3V73,S34S3V74,S34S3V75,S34S3V76,S34S3V77
"Roblin, Dufferin (Duff)",Progressive Conservative Party,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1992.06.17 ,1978.03.23 , 1992.06.17 ,(Retirement),9,2,2,9,1,2,9,2,9,9,9,1,1,9,2,1,2,1,2,9,2,2,2,9,2,2,2,2,2,2,2,2,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,9,9,9,1,9,9,9,9,9,9,9,2,2,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Muir, Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1979.03.26 - 1994.11.10 ,1979.03.26 , 1994.11.10 ,(Retirement),9,2,2,1,1,9,9,9,9,9,9,1,1,2,2,1,2,1,2,1,2,2,2,8,2,2,2,2,2,2,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,2,2,2,2,2,2,2,2,2,2,1,2,1,1,9
"Thí©riault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16 ,1979.03.26 , 1996.02.16 ,(Retirement),8,9,9,9,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,8,8,8,8,8,8,1,1,9,2,2,9,9,2,2,2,1,9,1,9,9,1,1,2,2,9,9,2,1,2,1,1,9,9,9,1,1,1,9,9,9,9,9,2,2,1,2,2,9,9,1,1,1,2,1,1,2,1,2,2,1,1,9,9,9,1,9,9,9,9,9,9,9,1,2,9,9,9,9,1,1,1,9,1,9,9,1,2,1,2
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Leblanc, Fernand-E.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01 ,1979.03.27 , 1992.07.01 ,(Retirement),8,9,1,8,2,1,9,1,2,2,1,9,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,1,1,1,9,2,1,1,9,2,9,9,2,1,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12 ,1979.09.13 , 1999.12.12 ,(Death),9,2,2,1,1,9,9,9,9,9,9,1,1,9,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,9,9,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,9,9,2,9,9,9,9,9,9,9,1,1,1,1,2,1,9,9,9,9,9,9,2,2,2,1,9,9,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,2,2,2,2,2,1,9,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,9,1,2,1,8,1
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1
"Bielish, Martha Palamarek",Progressive Conservative Party,Alberta,"Clark, Charles Joseph",1979.09.27 - 1990.09.26 ,1979.09.27 , 1990.09.26 ,(Resignation),1,9,9,9,1,2,9,9,9,9,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21 ,1979.09.27 , 1997.06.21 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,2,9,2,2,2,2,2,2,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Tremblay, Arthur Julien",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1992.06.18 ,1979.09.27 , 1992.06.18 ,(Retirement),1,9,9,1,9,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,9,9,9,9,2,2,1,1,9,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),1,9,2,1,1,2,2,9,9,9,9,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,9,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,9,2,2,1,1,2,2,1,1,1,1,1,2,1,9,2,2,2,1,1,2,2,2,1,9,9,9,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Macquarrie, Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph",1979.10.03 - 1994.09.18 ,1979.10.03 , 1994.09.18 ,(Retirement),1,2,2,1,1,2,9,9,9,9,9,9,1,2,2,1,2,1,2,1,2,2,2,9,2,2,2,2,2,2,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,8,2,2,8,9,2,2,1,9,1,9,1,2,1,2,9,2,2,1,9,2,2,2,1,1,1,9,9,1,2,1,1,1,1,9,2,2,1,2,2,1,2,1,1,2,2,2,2,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,2,1,2,9,1
"Nurgitz, Nathan",Progressive Conservative Party,Manitoba,"Clark, Charles Joseph",1979.10.03 - 1993.02.09 ,1979.10.03 , 1993.02.09 ,(Resignation),1,9,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,1,1,1,1,9,2,2,9,9,2,2,1,1,9,9,1,2,1,2,2,2,2,1,9,2,2,2,1,1,9,1,9,1,2,1,1,1,9,2,2,2,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sherwood, Cyril Beverly",Progressive Conservative Party,New Brunswick,"Clark, Charles Joseph",1979.10.03 - 1990.07.01 ,1979.10.03 , 1990.07.01 ,(Retirement),9,9,9,9,1,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),8,9,1,8,9,1,9,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,9,9,9,9,2,9,9,9,9,9,9,2,1,2,1,1,1,1,1,1,1,9,9,9,9,2,9,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott",1982.12.23 - 2000.07.21 ,1982.12.23 , 2000.07.21 ,(Retirement),1,9,9,1,9,9,9,2,9,9,9,9,9,9,2,8,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,8,8,8,8,8,8,8,1,2,1,1,2,1,9,9,9,2,9,9,1,1,2,2,1,9,9,9,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,9,9,9,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1
"Hí©bert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.04.20 - 1998.06.21 ,1983.04.20 , 1998.06.21 ,(Retirement),9,1,1,8,2,9,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,9,9,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,9
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18 ,1983.12.23 , 2004.01.18 ,(Retirement),9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,8,9,1,8,2,1,1,9,9,9,9,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,1,1,1,1,1,1,1,2,2,2,9,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,9,9,9,1,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"GigantíÂs, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.13 - 1998.08.16 ,1984.01.13 , 1998.08.16 ,(Retirement),9,1,1,8,2,1,1,1,2,2,1,2,2,9,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,9,9,9,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,9,9,2,2,2,1,2,9,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,9,1,1,2,1,1,2,1,2,9,1,1,1,1,1,1,1,2,2,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),9,9,1,8,9,1,9,9,2,2,1,9,9,9,9,2,9,9,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,9,9,9,1,1,2,2,2,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,2,1,2,9,9,1,1,2,9,9,9,9,9,9,9,9,2,2,1,2,2,9,9,1,1,1,2,1,1,2,1,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,8,8,1,2,8,1
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),9,9,1,9,9,1,1,9,9,9,9,9,9,9,9,2,1,2,1,9,1,9,1,1,1,1,1,1,1,1,1,1,8,2,2,9,9,9,9,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,9,9,9,9,1,2,9,1,1,9,9,1,9,9,9,9,9,9,2,9,2,1,2,2,2,9,1,1,1,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,1,1,1,1,2,1,1,2,2,1
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 1999.11.19 ,1984.01.13 , 1999.11.19 ,(Retirement),8,1,1,8,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,8,8,8,8,8,8,8,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,9,2,9,9,2,1,2,1,1,1,1,1,8,1,1,1,2,2,2,2,2,2,9,9,9,2,2,1,1,1,2,1,1,2,1,2,2,1,9,9,9,1,1,9,9,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,9,9,9,9,9,1,1,1,2,2,1,9,9,9,9,2,1,2,1,9,1,9,1,1,1,1,1,1,1,1,1,9,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,2,2,1,9,9,9,9,9,9,2,9,9,9,2,1,2,9,9,1,1,8,1,9,9,9,9,9,9,9,9,2,1,2,9,9,2,9,9,9,9,9,9,9,9,9,2,1,1,9,9,9,9,1,2,9,1,2,1,1,1,2,9,9,9,9,1,1,1,1,9,9,9,1,2,1,9
"Marsden, Lorna",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.24 - 1992.08.31 ,1984.01.24 , 1992.08.31 ,(Resignation),8,9,9,9,2,1,1,1,2,2,1,9,2,1,9,9,9,9,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,1,1,1,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,9,9,9,9,9,1,9,2,2,9,9,2,1,2,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,1,1,8,2,9,9,9,9,9,9,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,9,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,2,9,9,1,1,9,9,2,9,1,2,9,9,9,9,9,9,1,1,9,1,1,1,9,9,9,9,9,9,2,2,9,1,2,2,9,9,1,9,1,2,1,1,2,1,2,9,9,9,9,9,1,9,9,9,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,9,9,9,1,2,9,1
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,8,1,1,8,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,1,1,1,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,9,1,1,9,9,1,1,2,2,2,2,2,9,9,1,9,1,1,1,1,1,1,1,2,9,9,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,9,9,9,9,1,1,1,2,2,1,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),8,1,1,8,2,1,1,1,2,2,1,2,2,9,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,1,1,1,1,1,2,2,2,2,2,8,2,2,1,2,9,9,9,2,2,2,1,9,9,9,2,1,1,2,2,2,9,9,1,2,9,1,1,1,1,1,9,9,9,9,2,2,2,9,9,1,2,2,2,9,1,1,1,2,1,1,2,1,2,9,9,9,9,9,9,1,1,2,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,1,8,2,1,9,1,2,2,1,2,9,9,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,9,9,9,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,9,9,9,1,9,9,9,9,9,1,2,9,9,2,9,9,9,9,1,9,1,1,1,9,9,9,9,2,9,9,9,2,9,9,9,2,9,1,1,1,2,1,1,2,1,2,9,9,9,9,9,1,1,1,2,2,1,2,1,1,9,9,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
"LeBlanc, Romí©o",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1984.06.29 - 1994.11.21 ,1984.06.29 , 1994.11.21 ,(Resignation),8,9,1,9,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,9,9,1,1,1,2,9,1,1,9,9,2,9,2,1,2,1,1,1,9,9,9,9,9,9,9,2,2,2,2,2,9,2,2,9,9,1,1,1,2,1,1,2,1,2,2,1,9,1,1,9,9,9,9,9,1,2,1,1,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9
"MacEachen, Allan Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.06.29 - 1996.07.06 ,1984.06.29 , 1996.07.06 ,(Retirement),8,9,1,8,9,1,1,1,2,2,1,2,9,9,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,8,9,8,8,8,8,8,1,1,2,2,1,2,2,2,2,1,1,9,9,2,1,1,2,9,2,9,9,9,9,1,1,1,1,1,1,9,9,9,9,2,2,2,2,2,1,2,9,2,2,1,1,1,2,1,1,2,1,2,2,1,9,9,9,1,1,1,2,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1,2,2,1
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1984.06.29 - 1998.03.01 ,1984.06.29 , 1998.03.01 ,(Resignation),8,9,1,8,9,1,1,1,2,2,1,2,2,9,9,2,1,2,1,2,1,1,1,1,1,1,1,9,9,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,9,2,2,1,9,9,9,9,1,1,2,2,9,9,2,1,2,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,1,2,2,2,9,1,1,1,2,1,1,2,1,2,2,1,1,9,9,9,9,1,2,2,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,9
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),8,9,1,8,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,8,8,8,8,8,8,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,8,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1,2,2,1
"Lefebvre, Thomas",Liberal Party of Canada,Quebec,"Turner, John Napier",1984.07.09 - 1992.11.20 ,1984.07.09 , 1992.11.20 ,(Death),8,9,1,8,2,1,9,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,2,2,1,8,8,8,8,8,2,1,2,2,1,2,2,2,2,1,9,9,9,9,1,1,2,9,2,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Turner, Charles Robert",Liberal Party of Canada,Ontario,"Turner, John Napier",1984.07.09 - 1991.03.24 ,1984.07.09 , 1991.03.24 ,(Retirement),8,1,1,8,2,1,1,9,9,9,9,9,9,9,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,8,8,8,8,8,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Barootes, Efstathios William (Staff)",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1984.12.21 - 1993.05.25 ,1984.12.21 , 1993.05.25 ,(Resignation),1,9,2,9,9,2,2,2,1,1,2,1,1,9,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,9,9,9,9,1,1,2,2,2,9,1,2,2,1,1,1,1,1,2,1,9,2,2,2,1,1,2,2,2,1,1,1,1,9,1,2,1,1,1,9,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
