Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
17,ANTIGONISH--GUYSBOROUGH,Nova Scotia,1914 - 1966,25,1962.06.18,437,1ff3d0ab-f0ae-4f2f-8554-fe0f6f03c903,"STEWART, John B.",6296,0.4922,Liberal Party of Canada,"Author, expert on parliamentary procedure, professor",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,9,1,1
201,EDMONTON WEST,Alberta,1914 - 1987,25,1962.06.18,446,2094cd47-759f-4f54-8d75-9da36dd888a2,"LAMBERT, Marcel",19681,0.3604,Progressive Conservative Party,Lawyer,,1,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
522,OTTAWA WEST,Ontario,1933 - 1996,25,1962.06.18,451,20afcc72-88d0-433e-8b61-a7bcd98b2ec9,"MCILRAITH, George",16935,0.554,Liberal Party of Canada,"Barrister, lawyer",,0,7,,,,,,,,,,,,,2,1,1,1,2,1,9,2,9,1,1,9,1,9,2,1,1
1262,SAINT-MAURICE--LAFLECHE,Quebec,1947 - 1966,25,1962.06.18,453,2117d4b3-059a-4722-aa28-43111f316c6f,"LAMY, Gerard",20225,0.5607,Social Credit,Contractor,,1,1,,,,,,,,,,,,,1,9,9,9,9,1,1,1,1,1,1,9,9,9,2,1,1
487,NIPISSING,Ontario,1892 - 2003,25,1962.06.18,468,2236b2c9-14e1-4268-abd9-ae0c588ce1df,"GARLAND, Jack",17164,0.6243,Liberal Party of Canada,"Journalist, manager, manufacturer",,0,5,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,9,2,1,1
235,GASPE,Quebec,1867 - 1996,25,1962.06.18,469,22691cc8-99a5-478f-9a90-cfbe8bd59516,"ENGLISH, Roland-Leo",10530,0.4452,Progressive Conservative Party,"Manufacturer, organizer, teacher",,1,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
440,MIDDLESEX EAST,Ontario,1867 - 1966,25,1962.06.18,484,237256bb-a2f6-45e2-8613-4c572c3288c0,"MILLAR, Campbell E.",19003,0.4695,Progressive Conservative Party,Inspector,,0,1,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
778,VICTORIA,Ontario,1903 - 1966,25,1962.06.18,487,23a7a700-cb63-453a-9f72-9f556f34686c,"HODGSON, Clayton W.",12555,0.5464,Progressive Conservative Party,Lumber merchant,,0,6,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
696,SPADINA,Ontario,1933 - 1987,25,1962.06.18,490,23ca3dab-dcc7-4157-86f8-e63aa87535a3,"RYAN, Perry",11982,0.4481,Liberal Party of Canada,"Barrister and solicitor, lawyer",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,9,9,9,9,2,2,1,1
216,ESSEX SOUTH,Ontario,1882 - 1966,25,1962.06.18,492,23fe2e19-4f64-4dd6-9bdb-7f6984a01ded,"WHELAN, Eugene",11397,0.4864,Liberal Party of Canada,"Farmer, politician",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,9,9,1,1,1,2,9,9,2,1,1
