Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
"CíÇtí©, Joseph Julien Jean-Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1978.04.20 ,1972.09.01 , 1978.04.20 ,(Resignation),9,2,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,1,2,99,99,99,99,99,99,99,99,99
"Michaud, Herví© J.",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1978.06.05 ,1968.03.15 , 1978.06.05 ,(Death),9,2,2,9,9,2,2,9,1,2,9,1,1,9,1,9,9,9,9,2,1,2,2,99,99,99,99,99,99,99,99
"Macnaughton, Alan Aylesworth",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1978.07.30 ,1966.07.08 , 1978.07.30 ,(Retirement),9,9,9,2,2,2,2,9,1,9,1,1,1,2,9,2,9,9,9,9,1,2,2,2,99,99,99,99,99,99,99
"Greene, John James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1978.10.23 ,1972.09.01 , 1978.10.23 ,(Death),9,2,9,2,2,9,9,9,9,9,9,1,9,2,2,2,2,2,2,9,9,9,9,9,99,99,99,99,99,99,99
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29 ,1963.04.27 , 1979.03.29 ,(Death),2,2,9,9,2,9,9,2,1,2,9,2,1,2,1,9,2,2,2,2,1,2,2,2,9,9,9,9,9,2,2
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Forsey, Eugene Alfred",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1970.10.07 - 1979.05.29 ,1970.10.07 , 1979.05.29 ,(Retirement),9,9,2,9,2,9,9,1,1,1,9,1,9,9,9,1,1,1,1,1,1,2,1,9,2,1,1,2,2,1,1
"Wagner, Claude",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1978.04.21 - 1979.07.11 ,1978.04.21 , 1979.07.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,1,9,9,9,9,9,1,9
"McNamara, William Craig",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 1979.08.08 ,1970.10.07 , 1979.08.08 ,(Retirement),2,2,2,9,2,2,9,9,2,1,1,1,1,1,1,2,1,1,2,9,9,2,9,9,9,9,9,9,9,2,9
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),9,2,2,2,2,2,2,9,1,9,1,9,9,2,1,9,9,9,9,9,9,9,9,2,9,2,2,1,1,9,9
