Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
127,CHAMBLY,Quebec,1867 - 1893,2,1872.10.12,1042,4cd5a297-882b-436d-91fd-d78c31786817,"BENOIT, Basile",789,0.5556,Conservative (1867-1942),Farmer,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,9,9
131,CHAMPLAIN,Quebec,1867 - 2003,2,1872.10.12,2001,8fabd02d-d7e2-46fe-a77f-8f170d718224,"ROSS, John Jones",1369,0.5312,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,9,1,2,1,2,1,2,2,2,1,2,1,2,9,9
134,CHARLEVOIX,Quebec,1867 - 1914,2,1872.10.12,3303,ef73ed41-71a3-4046-a7bc-7e5126b3befb,"TREMBLAY, Pierre-Alexis",1485,0.6559,Liberal Party of Canada,"Editor, land surveyor",Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,9,2,1,1,1,2,9,9,9,2,1,1,1,9,9
138,CHARLOTTE,New Brunswick,1867 - 1966,2,1872.10.12,2895,cfdd075f-0034-4ac3-a3ff-7733e409a72b,"MCADAM, John",1551,0.5385,Liberal-Conservative,Lumber merchant,Protestant,0,1,,,,,,,,,Ireland,,,,2,1,2,1,1,1,2,9,9,9,9,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,9,9,9,9,9
139,CHATEAUGUAY,Quebec,1867 - 1914,2,1872.10.12,1417,67ccf0a8-4537-459b-b2a4-a231138d0ba8,"HOLTON, Hon. Luther Hamilton",907,0.5755,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,1,2,1,9,2,2,1,9,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,9,1,1,1,2,2
144,CHICOUTIMI--SAGUENAY,Quebec,1867 - 1924,2,1872.10.12,94,07a9fe8a-c059-47c2-b360-390735025fae,"PRICE, William Evan",955,0.5185,Liberal Party of Canada,Lumber merchant,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,1,1,2,1,2,2,1,9,9,9,1,2,1,2,2,9,9,9,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,2,1872.10.12,756,37779ef5-797f-4aba-b1ac-7a5f73023bd9,"BURPEE, Isaac",3249,0.4214,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,9,2,1,2,1,2,1,9,2,2,1,2,2,2,1,2,1,9,1,9
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,2,1872.10.12,1942,8b44689f-28ca-4165-8bda-304ba67fa093,"PALMER, Acalus Lockwood",2204,0.2859,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,1,9,9,9,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9
152,COLCHESTER,Nova Scotia,1867 - 1933,2,1872.10.12,1875,86d00bbf-df91-4841-a2e9-b26f0a94699d,"PEARSON, Frederick M.",1634,0.5747,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,1,2,9,2,9,9,1,1,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
157,COMPTON,Quebec,1867 - 1947,2,1872.10.12,763,381528b7-e175-4b97-b9ec-c869e5b4b4c3,"POPE, Hon. John Henry",accl.,,Liberal-Conservative,"Promoter, speculator",Protestant,0,2,,1,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,9,9,9,9,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,9
160,CORNWALL,Ontario,1867 - 1882,2,1872.10.12,2706,c205a3fe-2e09-4a32-a8a8-a1721609386f,"BERGIN, Darby",accl.,,Liberal Party of Canada,Physician,Catholic,0,1,,,,,,,,,,Error in bio. Became Conservative in 1878,,,1,2,1,9,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,9,1,1,2,9,9,9,9,1,2,9,9,9
164,CUMBERLAND,Nova Scotia,1867 - 1966,2,1872.10.12,503,24d7bdd8-53ef-4f57-a585-5c5b9effd3dd,"TUPPER, Hon. Charles",1911,0.7462,Conservative (1867-1942),Physician,Protestant,0,2,,1,,,,,,,,,,,2,1,2,9,2,2,2,9,2,2,1,1,2,1,2,1,2,1,2,9,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
