Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
519,OTTAWA (COUNTY OF),Quebec,,2,1872.10.12,935,43efe715-5820-420c-aa28-3a892736d9f5,"WRIGHT, Alonzo",accl.,,Liberal-Conservative,Farmer,Catholic,0,2,,,,,,,,,,,,,2,1,2,1,9,9,2,2,2,2,1,2,1,2,1,2,9,9,9,9,9,9,2,1,9,1,2,1,2,1,9,9,9,1,2,1,2,1,1
529,OXFORD NORTH,Ontario,1867 - 1933,2,1872.10.12,3111,e0dade29-58dd-4331-975f-123ff8268ddf,"OLIVER, Thomas",accl.,,Liberal Party of Canada,"Merchant, teacher",Protestant,0,2,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,9,2
530,OXFORD SOUTH,Ontario,1867 - 1933,2,1872.10.12,3332,f158cba9-a1bf-46ce-8834-910fe81c3743,"BODWELL, Ebenezer Vining",accl.,,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,9,1,9,1,2,1,2,1,9,9,9,9,1,1,1,2,1,2,1,2,1,1,1,2,9,9,9,9,9,9,9,9,9
538,PEEL,Ontario,1867 - 1966,2,1872.10.12,299,16512629-d405-45cc-bdc0-3d74345185d6,"SMITH, Robert",1261,0.5032,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Ireland,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,9,1,2,1,2,9
544,PERTH NORTH,Ontario,1867 - 1933,2,1872.10.12,2292,a47912a7-1945-4f11-be73-7a885f6baaee,"DALY, Thomas Mayne",1848,0.5077,Liberal-Conservative,Contractor,Protestant,0,1,,,,,,,,,,,,,2,1,2,9,1,1,2,1,2,2,1,9,2,1,2,1,2,1,2,1,2,1,2,1,9,1,9,2,2,1,9,9,9,1,2,1,2,1,9
545,PERTH SOUTH,Ontario,1867 - 1933,2,1872.10.12,3182,e6a2b416-7e15-4be6-966e-aaabe5b4b22e,"TROW, James",1683,0.5726,Liberal Party of Canada,"Banker, broker, conveyancer, real estate appraiser, teacher",Protestant,0,1,,,,,,,,,Wales,,,,1,2,1,2,2,2,1,1,2,1,2,1,9,9,1,2,1,2,1,2,1,2,1,2,9,2,9,1,1,2,9,9,9,2,1,2,1,2,2
548,PETERBOROUGH EAST,Ontario,1867 - 1924,2,1872.10.12,2945,d3fbdab8-abaf-43e1-8d0f-3f376e8935fc,"GROVER, Peregrine Maitland",804,0.5167,Conservative (1867-1942),"Farmer, lumberman",Protestant,0,2,,,,,,,,,,,,,2,1,2,1,1,1,2,9,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,9,9,9,1,9,1,2,9,9
549,PETERBOROUGH WEST,Ontario,1867 - 1952,2,1872.10.12,483,236e1c35-9735-4724-a14e-546ea819480f,"BERTRAM, John",735,0.5115,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,Scotland,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
550,PICTOU,Nova Scotia,1867 - 1966,2,1872.10.12,809,3afeffcd-709e-496c-9f07-12dbe07d1ad1,"DOULL, Robert",2328,0.2649,Liberal-Conservative,Merchant,Unknown,0,1,,,,,,,,,Scotland,,,,2,1,2,1,1,1,2,2,2,2,1,9,2,1,2,1,2,1,2,1,2,1,2,1,9,1,2,2,2,1,9,9,9,9,9,9,9,9,9
550,PICTOU,Nova Scotia,1867 - 1966,2,1872.10.12,1319,60316921-a6e4-4617-863b-c4fb7d2b94e0,"MCDONALD, Hon. James",2327,0.2648,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,9,9,2,2,2,2,1,9,2,1,2,1,2,1,2,9,2,1,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9
551,PONTIAC,Quebec,1867 - 1947,2,1872.10.12,2460,b07ee452-542b-47af-9604-d5db2075cbaa,"WRIGHT, Williams McKay",1604,0.548,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
562,PORTNEUF,Quebec,1867 - 2004,2,1872.10.12,2719,c3166c01-f4fd-4300-bb8d-859f7e8e5789,"ST-GEORGES, Esdras Alfred de",1179,0.5111,Liberal Party of Canada,"Lawyer, physician",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,9,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,9
563,PRESCOTT,Ontario,1867 - 1952,2,1872.10.12,3165,e54a4ac3-81b3-4eb5-9579-db85dbeb0683,"HAGAR, Albert",accl.,,Liberal Party of Canada,"Farmer, merchant, miller",Protestant,0,2,,,,,,,,,,,,,1,2,1,9,2,2,2,1,1,9,9,1,2,1,9,9,2,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9
567,PRINCE EDWARD,Ontario,1867 - 1903,2,1872.10.12,1056,4d93476b-c3d9-4dbc-88ad-5f55dc0ee5e1,"ROSS, Walter",1759,0.5198,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,Scotland,,,,1,2,9,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,9,9,9,1,2,1,2,1,1,1,2,1,1,1,1,1,2,9,9,9
581,QUEBEC EAST,Quebec,1867 - 1966,2,1872.10.12,1768,7ff74a9e-ecb4-4c7e-995a-e3ca0d40f73d,"GUILLET, DIT TOURANGEAU, Adolphe",accl.,,Conservative (1867-1942),"Notary, postmaster",Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,9,1,2,1,2,1,2,2,2,1,2,1,2,1,1
582,QUEBEC WEST,Quebec,1867 - 1933,2,1872.10.12,1202,57e3af20-7752-4e88-b4ff-fabf0b0ca03c,"MCGREEVY, Hon. Thomas",742,0.6304,Liberal-Conservative,Contractor,Catholic,0,2,,,,,,,,,,,,,2,1,9,9,9,9,2,9,2,2,1,9,1,2,9,9,9,9,9,9,9,9,2,1,2,1,9,9,9,9,9,9,9,1,2,1,2,9,9
580,QUEBEC-CENTRE,Quebec,1867 - 1914,2,1872.10.12,924,434c4d91-ad58-4209-a7c2-8c2893b877c6,"CAUCHON, Hon. Joseph Edouard",964,0.5814,Independent,"Author, editor, journalist, lawyer",Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,1,1,1,9,2,1,2,2,9,9,1,2,1,2,1,2,1,2,1,2,9,9,9,1,1,2,9,9,9,2,1,1,1,9,9
586,QUEEN'S,New Brunswick,1867 - 1892,2,1872.10.12,271,14598677-9409-47d4-902e-ad1ff7fd7121,"FARRIS, John",accl.,,Liberal Party of Canada,Lumber merchant,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,9,9,9,9,1,2,1,2,1,2,1,1,9,9,9,1,2,9,2,1,2,2,1,9,9,9,2,9,9,9,9,9
589,QUEENS,Nova Scotia,1867 - 1892,2,1872.10.12,1534,6f60e48c-eab5-4893-bec2-aaebf60041aa,"FORBES, James F.",accl.,,Liberal Party of Canada,"Physician, surgeon",Protestant,0,2,,,,,,,,,Gibraltar,,,,9,9,1,2,9,9,1,9,2,2,1,9,2,1,2,1,9,9,2,1,9,9,2,1,9,1,9,2,2,1,2,2,2,2,9,1,9,1,9
599,RENFREW NORTH,Ontario,1867 - 1972,2,1872.10.12,711,33e225d8-f6dc-45ef-a68e-516cd6ea02ff,"FINDLAY, James",777,0.5351,Liberal Party of Canada,"Newspaper editor, newspaper owner",Protestant,0,1,,,,,,,,,,,,,1,2,1,9,2,2,1,9,2,1,2,2,2,1,2,1,9,9,1,1,9,9,1,2,9,2,1,9,1,2,1,1,1,2,9,9,1,2,9
601,RENFREW SOUTH,Ontario,1867 - 1966,2,1872.10.12,555,28da592a-9411-41dc-aaf8-890b47b2eedf,"O'REILLY, James",916,0.5868,Liberal-Conservative,Lawyer,Catholic,0,1,,,,,,,,,Ireland,,,,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,2,1,9,1,2,1,2,1,2,2,2,1,2,1,2,1,1
603,RESTIGOUCHE,New Brunswick,1867 - 1914,2,1872.10.12,2918,d2270efd-15f3-4417-9d38-a07cedd1bbd3,"MOFFATT, George",593,0.7782,Conservative (1867-1942),Lumber merchant,Protestant,0,2,,,,,,,,,Scotland,,,,2,1,2,1,1,1,2,9,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,9,9,9,9,9,9
606,RICHELIEU,Quebec,1867 - 1933,2,1872.10.12,690,32bbf1c2-f4be-4df5-9aa9-8da9f0e2f97c,"MATHIEU, Michel",1249,0.5299,Conservative (1867-1942),"Lawyer, notary",Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,1,1,1,2,1,9,9,9,9,1,2,1,2,1,2,2,2,2,1,2,1,2,1,9,9,2,1,2,2,2,2,2,1,2,1,9
609,RICHMOND,Nova Scotia,1867 - 1914,2,1872.10.12,1620,755aad49-5a9c-420a-a8d6-55220df00331,"LE VESCONTE, Isaac",571,0.6556,Conservative (1867-1942),"Merchant, seaman, spanish consular agent",Protestant,0,2,,,,,,,,,England,,,,2,1,2,1,9,9,2,2,2,2,1,1,2,1,2,1,2,1,9,9,9,9,2,1,2,1,2,9,2,1,9,9,9,1,2,1,2,1,9
613,RICHMOND--WOLFE,Quebec,1867 - 1966,2,1872.10.12,3055,dbba9f98-683a-4809-b482-d96f3fb3e45f,"WEBB, William Hoste",893,0.4345,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,England,,,,2,1,2,9,9,9,9,2,9,9,9,1,9,9,9,9,9,9,2,2,2,1,2,1,2,1,2,1,2,1,9,9,9,1,9,9,2,9,9
614,RIMOUSKI,Quebec,1867 - 1980,2,1872.10.12,18,01fac06e-b85e-40c1-bfc7-2225fe38f576,"FISET, J.B. Romuald",1381,0.5456,Liberal Party of Canada,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,9,1,2,1,2,1,2,9,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,9
624,ROUVILLE,Quebec,1867 - 1914,2,1872.10.12,3168,e5aa8acb-d9e5-4545-b0d4-d61e1f828a70,"MERCIER, Honore",1033,0.5139,Liberal Party of Canada,"Lawyer, newspaper editor",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,9,1,2,9,9,9,9,9,9,1,2,1,2,1,2,1,1,9,9,1,1,1,2,1,1,1,2,9
626,RUSSELL,Ontario,1867 - 1966,2,1872.10.12,32,032a31d3-2422-458e-bc65-8568eeffe417,"GRANT, James Alexander",1217,0.5611,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,Scotland,,,,2,1,2,1,1,1,2,1,9,9,9,1,9,9,2,1,9,9,2,1,2,1,2,1,9,9,2,1,9,9,9,9,9,9,2,1,2,1,9
650,SAINT MAURICE,Quebec,1867 - 1892,2,1872.10.12,423,1edd195c-6d3e-4c2c-b3ca-3c7bd16d3762,"LACERTE, Elie",accl.,,Conservative (1867-1942),"Physician, postmaster",Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,9
675,SELKIRK,Manitoba,1871 - 1976,2,1872.10.12,2830,cae3b92b-3fa6-4641-a9d4-70e585e40dc1,"SMITH, Donald A.",258,0.8063,Independent Conservative,Businessman,Protestant,0,2,,,,,,,,,Scotland,,,,9,9,9,9,9,9,2,1,2,2,1,9,9,9,2,1,2,1,9,9,9,9,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,9,1
677,SHEFFORD,Quebec,1867 - ,2,1872.10.12,601,2c984275-5721-4676-ae66-9ef1aaf92a79,"HUNTINGTON, Hon. Lucius Seth",1515,0.5687,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,2,1,9,9,9,1,9,2,1,2,1,9,9,9,9,9,9,9,9,1,2,1,2,1,2,9,1,1,2,9,9,9,9,9,9,9,9,9
684,SHERBROOKE (TOWN OF),Quebec,,2,1872.10.12,2247,a128e4f4-8efa-4f05-aa39-730097885289,"BROOKS, Edward Towle",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,9,9,2,2,2,9,2,2,1,1,1,2,1,2,9,9,9,9,9,9,2,1,2,1,2,1,2,1,9,9,9,1,9,9,9,9,9
686,SIMCOE NORTH,Ontario,1867 - ,2,1872.10.12,2939,d3970f6b-1745-4561-b49c-1a3d5f17694b,"COOK, Herman Henry",1908,0.5074,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,1,,,,,,,,,,,,,1,2,1,9,9,9,1,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
687,SIMCOE SOUTH,Ontario,1867 - 1924,2,1872.10.12,2084,95ad4441-de59-4dd4-bc9a-09a791b4802c,"LITTLE, William Carruthers",accl.,,Liberal-Conservative,Farmer,Protestant,0,2,,,,,,,,,England,,,,2,1,2,1,9,9,2,9,9,9,9,9,9,9,2,1,2,1,2,9,2,1,2,1,2,1,2,2,2,1,9,9,9,9,9,9,9,1,9
690,SOULANGES,Quebec,1867 - 1914,2,1872.10.12,974,467676d5-2239-4cb6-b607-0b464b87a508,"LANTHIER, Jacques-Philippe",759,0.5934,Conservative (1867-1942),Store owner,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,9,1,2,1,2,1,2,2,9,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1
635,ST. HYACINTHE,Quebec,1867 - 1914,2,1872.10.12,1310,5fd5398a-9a7d-4cf0-b7a6-0cd697ab15a3,"DELORME, Louis",1099,0.5492,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,9
642,ST. JOHN'S,Quebec,1867 - 1892,2,1872.10.12,1784,80db8ac0-f38e-470e-a1d0-571a7e48c3a0,"BOURASSA, Francois",accl.,,Liberal Party of Canada,Farmer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,2,2,1,9,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,9,9,1,1,1,2,9,9,9,2,9,1,9,9,9
704,STANSTEAD,Quebec,1867 - 1966,2,1872.10.12,1341,61ded175-30d3-421c-9bab-151b579f57d1,"COLBY, Charles Carroll",accl.,,Liberal-Conservative,"Author, lawyer",Protestant,0,2,,,,,,,,,United States,,,,2,1,2,9,1,1,2,2,2,2,1,9,9,9,1,2,1,2,2,2,9,9,2,1,2,1,2,2,9,9,9,9,9,1,2,1,2,9,1
705,STORMONT,Ontario,1867 - 1882,2,1872.10.12,1927,8a83d67d-1172-4d52-badd-45c44673b035,"ARCHIBALD, Cyril",828,0.5111,Liberal Party of Canada,Paymaster,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,9,9,1,2,9,9,1,1,1,2,1,2,9,2,9,1,1,2,1,1,1,2,1,2,1,9,2
713,SUNBURY,New Brunswick,1867 - 1892,2,1872.10.12,2537,b671c2a2-2cfb-448a-83c6-2bb2fa9c4f30,"BURPEE, Charles",accl.,,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,,,,9,9,1,2,2,2,1,1,9,9,9,1,2,1,2,1,2,1,1,1,9,9,1,2,2,9,1,2,2,1,9,9,9,2,2,2,2,9,9
723,TERREBONNE,Quebec,1867 - 1996,2,1872.10.12,297,162e1738-e1ae-482e-bc9a-4a027894f387,"MASSON, Louis-Francois-Rodrigue",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,9,1,1,1,2,9,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,9
753,THREE RIVERS,Quebec,1867 - 1892,2,1872.10.12,1876,86d3344c-631c-4ea4-a726-fb933e86a9d6,"MCDOUGALL, William",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,Scotland,,,,2,1,2,9,1,1,9,2,2,2,1,9,1,2,1,2,1,2,2,9,2,1,2,1,2,1,2,1,2,1,9,9,9,1,2,1,9,9,9
736,TORONTO CENTRE,Ontario,1872 - 1924,2,1872.10.12,175,0d86e48e-9554-479b-be2d-c08090f3827d,"WILKES, Robert",1509,0.5595,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,Ireland,,,,1,2,1,9,2,2,1,9,1,1,2,9,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2
737,TORONTO EAST,Ontario,1867 - 1933,2,1872.10.12,791,3983bbe1-f4f5-4d96-a3d1-7dc1b85ab2b3,"BEATTY, James",872,0.5294,Conservative (1867-1942),"Merchant, newspaper owner",Protestant,0,2,,,,,,,,,Ireland,,,,2,1,2,1,9,9,2,9,2,2,1,1,2,1,9,9,2,1,2,2,2,1,2,1,9,1,2,2,2,1,9,9,9,9,9,9,9,9,9
721,TEMISCOUATA,Quebec,1867 - 1959,2,1872.10.12,785,393ad101-04d3-4260-8dc7-219b07163336,"MAILLOUX, Elie",1125,0.9834,Conservative (1867-1942),Clerk,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,2,9,9,2,9,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,9,9,9,2,2,1,2,1,9
171,TWO MOUNTAINS,Quebec,1867 - 1914,2,1872.10.12,1476,6c25726c-897e-4d3c-badd-e89d5db353d9,"PREVOST, Wilfred",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,9,2,2,1,9,2,1,2,2,1,2,1,2,9,9,1,9,1,2,1,2,1,9,9,1,1,2,9,9,9,2,9,9,1,9,9
756,VANCOUVER,British Columbia,1872 - 1903,2,1872.10.12,932,43d1ae54-030d-40b9-8403-a6924d6a9489,"HINCKS, Francis",accl.,,Liberal-Conservative,"Author, businessman, editor",Protestant,0,2,,,,,,,,,Ireland,,,,2,1,2,9,1,1,2,9,9,9,9,9,2,1,2,1,2,1,9,9,2,1,2,1,2,1,9,2,2,1,2,2,2,9,9,9,9,9,9
766,VAUDREUIL,Quebec,1867 - 1914,2,1872.10.12,193,0f31ab13-cae1-4172-a17a-7810dc4fb0cc,"HARWOOD, Robert",962,0.5696,Liberal-Conservative,Farmer,Catholic,0,1,,,,,,,,,,,,,2,1,2,9,2,2,2,2,2,2,1,9,1,2,1,2,9,9,2,9,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,9,9
770,VERCHERES,Quebec,1867 - 1892,2,1872.10.12,2499,b3509db1-9d7e-441f-9b44-ebae2fd10555,"GEOFFRION, Felix",963,0.8323,Liberal Party of Canada,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,9,2,2,2,1,1,9,9,9,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,9,1,1,2,9,9,9,2,1,1,1,2,2
777,VICTORIA,British Columbia,1872 - 1903,2,1872.10.12,583,2ad5b373-92c7-459e-a5f5-b1357336db85,"NATHAN, Henry Jr.",402,0.4497,Liberal Party of Canada,Businessman,Jewish,0,2,,,,,,,,,England,,,,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,9,9,2,9,9,9,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
777,VICTORIA,British Columbia,1872 - 1903,2,1872.10.12,960,45249e3b-088a-45e1-8779-567cfd1d1f4f,"DE COSMOS, Amor",398,0.4452,Liberal Party of Canada,"Newspaper editor, newspaper owner",Protestant,0,2,,,,,,,,,,,,,9,9,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,9,9,2,1,9,1,9,2,2,1,9,9,9,1,2,1,9,9,9
775,VICTORIA,Nova Scotia,1867 - 1903,2,1872.10.12,1658,77f3ef47-b5c7-41d9-832c-8b183c0ec1d2,"ROSS, William",accl.,,Liberal Party of Canada,"Merchant, shipbuilder",Protestant,0,2,,,,,,,,,,,,,1,2,9,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,9,1,2,2,1,9,1,2,2,9,9,9,9,9,2,9,1,2,1,9
776,VICTORIA,New Brunswick,1867 - 1914,2,1872.10.12,2995,d717f8af-0d8f-43cd-bb44-e256bf4dd418,"COSTIGAN, John",1141,0.8035,Liberal-Conservative,Judge,Catholic,0,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,9,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,1,9
783,VICTORIA NORTH,Ontario,1867 - 1903,2,1872.10.12,409,1e093a30-9da3-4691-a431-0f5b8f85aaca,"STAPLES, Joseph",629,0.5376,Conservative (1867-1942),Military,Protestant,0,1,,,,,,,,,,,,,2,1,2,9,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,9,9
784,VICTORIA SOUTH,Ontario,1867 - 1903,2,1872.10.12,505,251e4cee-9cf2-44c5-a957-85c884fda435,"DORMER, George",1228,0.5344,Conservative (1867-1942),Lawyer,Catholic,0,1,,,,,,,,,,,,,2,1,2,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,1,9,1,2,9,2,1,2,2,2,1,2,1,2,1,1
790,WATERLOO NORTH,Ontario,1867 - 1966,2,1872.10.12,3410,f873dc66-0a36-433e-8a50-c37061abf06b,"BOWMAN, Isaac Erb",accl.,,Liberal Party of Canada,Businessman,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,9,9,9,9,1,9,9,9,1,2,9,2,1,9,1,2,1,1,1,2,9,9,9,9,9
791,WATERLOO SOUTH,Ontario,1867 - 1966,2,1872.10.12,638,2f72a99c-81aa-4f23-b10a-49341fa115f4,"YOUNG, James",accl.,,Liberal Party of Canada,"Businessman, journalist",Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,9,1,2,1,1,1,2,1,2,1,2,9
795,WELLINGTON CENTRE,Ontario,1867 - 1903,2,1872.10.12,37,03961f9e-2432-432c-bee8-be8ec36d5005,"ROSS, James",1434,0.5082,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,9,9,2,1,2,1,2,2
796,WELLINGTON NORTH,Ontario,1867 - 1952,2,1872.10.12,3051,db7f502e-20a3-45a6-848c-cdd690c86268,"HIGINBOTHAM, Nathaniel",1264,0.5122,Liberal Party of Canada,Pharmacist,Protestant,0,1,,,,,,,,,Ireland,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,9,9,1,1,1,2,1,2,9,2,1,1,1,2,1,1,1,2,1,1,1,2,9
797,WELLINGTON SOUTH,Ontario,1867 - 1966,2,1872.10.12,3227,e9cfd969-e300-40b8-a59a-9c3f0db2502d,"STIRTON, David",accl.,,Liberal Party of Canada,Magistrate,Protestant,0,2,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,9,1,2,1,2,1,2,1,2,1,2,9,9,9,2,1,2,1,2,2
803,WENTWORTH NORTH,Ontario,1867 - 1892,2,1872.10.12,2965,d56e6749-5c56-4720-8848-5cb71a4c8a64,"BAIN, Thomas",1145,0.524,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,9,9,9,9,2,1,2,1,2,1,1,2,1,2,1,2,1,2,9,1,1,2,1,1,1,2,1,2,1,2,2
805,WENTWORTH SOUTH,Ontario,1867 - 1903,2,1872.10.12,502,24ca0d3f-39d4-4e01-8ea2-774b6913163e,"RYMAL, Joseph",1203,0.5473,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,9,9,9,2,1,2,1,2,2
810,WESTMORLAND,New Brunswick,1867 - 1966,2,1872.10.12,196,0f4b5eed-899b-4b7b-92bd-57c809d15075,"SMITH, Hon. Albert James",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,9,9,9,2,9,9,2,1,2,2,1,1,2,1,2,1,9,9,9,1,9,9,2,1,9,1,9,2,2,1,9,9,9,9,9,9,9,9,9
832,YALE,British Columbia,1872 - 1892,2,1872.10.12,402,1db74329-c89a-49b4-b798-7de2e61447e7,"DEWDNEY, Edgar",43,0.6935,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,1,,,,,,,,,England,,,,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
836,YAMASKA,Quebec,1867 - 1933,2,1872.10.12,2552,b798368d-3efd-4e62-aa2d-32f44e0ad9bd,"DUGUAY, Joseph",1047,0.6195,Conservative (1867-1942),Merchant,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,9,1,1,2,2,2,2,1,2,1,2,1,2,1,2,2,9,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,9
837,YARMOUTH,Nova Scotia,1867 - 1914,2,1872.10.12,2476,b1950348-73f4-4e08-8ce8-30c1e70e78e8,"KILLAM, Frank",1176,0.7277,Liberal Party of Canada,"Merchant, shipowner",Protestant,0,2,,,,,,,,,,,,,9,9,2,2,2,2,2,1,2,2,1,1,9,9,2,1,2,1,2,9,2,1,2,1,1,1,2,9,2,1,2,2,2,1,2,1,2,1,9
840,YORK,New Brunswick,1867 - 1914,2,1872.10.12,2398,ab2ccf04-5e14-4fd0-a7da-77864b418d20,"PICKARD, John",accl.,,Independent Liberal,Lumber merchant,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,9,1,2,2,9,2,1,2,1,9,9,1,1,9,9,2,1,1,9,2,2,2,1,2,9,9,9,1,1,1,9,9
