Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
218,ESSEX--WINDSOR,Ontario,1972 - 1996,31,1979.05.22,492,23fe2e19-4f64-4dd6-9bdb-7f6984a01ded,"WHELAN, Eugene F.",20373,0.4429,Liberal Party of Canada,"Farmer, politician",,0,7,,,,,,,,,,,,,2,2,1,9,1,2,2,1
808,WESTERN ARCTIC,Northwest Territories,1976 - ,31,1979.05.22,504,251c8921-f8f2-47ca-86da-2fa40e7df4d6,"NICKERSON, Dave",4058,0.3516,Progressive Conservative Party,Mining engineer,,0,1,,,,,,,,,England,,,,2,2,2,2,2,1,9,2
524,OTTAWA--VANIER,Ontario,1973 - ,31,1979.05.22,516,26223e14-510e-4dcb-8a95-e4483fb87b9e,"GAUTHIER, Jean-Robert",28098,0.6332,Liberal Party of Canada,Chiropractor,,1,3,,,,,,,,,,,,,2,2,1,1,1,2,2,1
699,ST. CATHARINES,Ontario,1966 - ,31,1979.05.22,534,2753d9bf-954d-4354-9195-a4b6136f4ae2,"REID, Joe",23444,0.4627,Progressive Conservative Party,Lawyer,,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
391,LEEDS--GRENVILLE,Ontario,1976 - ,31,1979.05.22,554,28c4f9db-9b1e-4f9a-a2bb-543630f591c8,"COSSITT, Tom",24127,0.568,Progressive Conservative Party,"Business executive, businessman, executive",,0,3,,,,,,,,,,,,,2,2,2,2,2,1,1,2
108,CAPE BRETON HIGHLANDS--CANSO,Nova Scotia,1966 - 1996,31,1979.05.22,560,29120c21-7fca-48fe-bd93-53ba86e83429,"MACEACHEN, Allan J.",17047,0.481,Liberal Party of Canada,"Economist, professor",,0,9,,,,,,,,,,,,,2,2,1,9,1,2,9,1
660,SARNIA,Ontario,1976 - 1981,31,1979.05.22,568,299a68bf-e675-4601-9810-e7ee653462f6,"CAMPBELL, Bill",15990,0.3997,Progressive Conservative Party,"Farmer, process operator",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
651,SAINT-MAURICE,Quebec,1966 - 2003,31,1979.05.22,581,2aa8c3e9-f46e-4c78-b9ff-04bec0ed5050,"CHRETIEN, Jean",27243,0.7106,Liberal Party of Canada,Lawyer,,1,6,,,,,,,,,,,,,2,2,1,1,1,2,2,1
769,VEGREVILLE,Alberta,1924 - 1996,31,1979.05.22,582,2ab82d94-802a-482b-afff-5b9d30277acd,"MAZANKOWSKI, Don",26448,0.7836,Progressive Conservative Party,Businessman,,0,4,,1,,,,,,,,,,,2,2,2,2,2,1,9,2
723,TERREBONNE,Quebec,1867 - 1996,31,1979.05.22,586,2afe8a2e-6c8a-4430-814a-98507dc61d01,"COMTOIS, J. Roland",34839,0.6229,Liberal Party of Canada,"Military, professional engineer, reservist",,1,5,,,,,,,,,,,,,2,2,1,9,1,1,2,1
387,LAVAL-DES-RAPIDES,Quebec,1976 - 1990,31,1979.05.22,589,2b7e4f6a-94db-4cf6-b09b-91946d9d0511,"SAUVE, Jeanne",36387,0.7187,Liberal Party of Canada,Journalist,,1,3,,,,,,,,,,,,,2,2,9,9,1,2,9,1
811,WESTMORLAND--KENT,New Brunswick,1966 - 1987,31,1979.05.22,598,2c59ff15-0f47-43c6-8c66-2693d08ea867,"LEBLANC, Romeo",19695,0.6376,Liberal Party of Canada,"Correspondent, journalist, lecturer, professor",,1,3,,,,,,,,,,,,,2,9,1,1,1,2,2,1
421,MALPEQUE,Prince Edward Island,1966 - ,31,1979.05.22,636,2f6c3c28-622b-4ecb-b11a-c805e7e69e89,"GASS, Melbourne",8729,0.527,Progressive Conservative Party,"Businessman, refrigeration engineer",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
671,SAULT STE. MARIE,Ontario,1966 - 1987,31,1979.05.22,656,30d9d056-9c06-4681-82c3-4c033ed9fe9a,"SYMES, Cyril",12089,0.3726,New Democratic Party,Teacher,,0,3,,,,,,,,,,,,,2,1,1,1,1,2,9,1
235,GASPE,Quebec,1867 - 1996,31,1979.05.22,680,3224057b-3ca6-47fc-84bb-7bde43885234,"CYR, Alexandre",14830,0.5195,Liberal Party of Canada,"Accountant, businessman, executive, public servant, secretary, secretary-treasurer",,1,5,,,,,,,,,,,,,2,2,9,1,1,2,2,1
1266,ST. PAUL'S,Ontario,1966 - ,31,1979.05.22,682,323ab143-f718-4a06-b5fe-85824f1ac30f,"ATKEY, Ron",19161,0.4409,Progressive Conservative Party,Lawyer,,0,2,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
170,DAVENPORT,Ontario,1933 - ,31,1979.05.22,684,328b9cb9-24ea-4602-abb8-ff33227c2f3f,"CACCIA, Charles L.",12760,0.5589,Liberal Party of Canada,"Economist, educator, publisher",,0,4,,,,,,,,,Italy,,,,2,9,1,1,1,2,2,1
814,WETASKIWIN,Alberta,1924 - ,31,1979.05.22,693,3303ba00-7497-4aa7-98c2-416104c8fc8e,"SCHELLENBERGER, Stan",27785,0.763,Progressive Conservative Party,Agrologist,,0,3,,,1,,,,,,,,,,2,2,2,2,2,1,9,2
434,MEGANTIC--COMPTON--STANSTEAD,Quebec,1978 - 1996,31,1979.05.22,738,35d3e4e0-b11f-4136-9534-1c7ae474b105,"TESSIER, Claude",19309,0.5161,Liberal Party of Canada,"Administrator, professor",,0,2,,,,,,,,,,,,,2,2,9,1,1,2,9,1
668,SASKATOON WEST,Saskatchewan,1976 - 1987,31,1979.05.22,743,361aacdc-d558-4338-bab0-b4912b70dac5,"HNATYSHYN, Ray",20174,0.4617,Progressive Conservative Party,"Lawyer, lecturer, military, reservist",,0,2,,1,,,,,,,,,,,2,2,2,2,2,1,9,2
634,SAINT-HENRI--WESTMOUNT,Quebec,1978 - 1996,31,1979.05.22,745,363f81c5-9312-4ed1-b6cd-5d268d6d5a4f,"JOHNSTON, Donald",31486,0.7157,Liberal Party of Canada,"Lawyer, teacher, writer",,0,2,,,,,,,,,,,,,2,2,1,1,1,2,9,1
121,CARIBOO--CHILCOTIN,British Columbia,1976 - 2003,31,1979.05.22,750,36d8411f-8869-42af-85da-76146d7bc14c,"GREENAWAY, Lorne",12767,0.4273,Progressive Conservative Party,"Rancher, veterinarian",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
719,SWIFT CURRENT--MAPLE CREEK,Saskatchewan,1953 - 1987,31,1979.05.22,795,39f68867-1f9e-4a19-9894-90c682509566,"HAMILTON, Frank",15213,0.5227,Progressive Conservative Party,Farmer,,0,3,,,,,,,,,,,,,2,2,2,2,2,1,1,2
569,PRINCE EDWARD--HASTINGS,Ontario,1978 - ,31,1979.05.22,800,3a444dfc-ebfe-4462-98e9-5143291d49c9,"ELLIS, Jack",21088,0.5328,Progressive Conservative Party,"Entrepreneur, manager",,0,3,,,,,,,,,,,,,2,2,2,9,2,9,1,2
857,YORKTON--MELVILLE,Saskatchewan,1966 - ,31,1979.05.22,805,3aa665bd-9be3-4142-bf3c-cb3fa717b0cb,"NYSTROM, Lorne",16677,0.4748,New Democratic Party,"Consultant, teacher",,0,4,,,,,,,,,,,,,9,1,1,1,1,2,2,1
36,BEAUCE,Quebec,1867 - ,31,1979.05.22,810,3b0f1879-157d-483b-8b29-69b1d249276e,"ROY, Fabien",24770,0.5713,Social Credit,Administrator,,1,1,,,,,,,,,,,,,1,2,2,2,2,1,1,9
