Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S35S1V01,S35S1V02,S35S1V03,S35S1V04,S35S1V05,S35S1V06,S35S1V07,S35S1V08,S35S1V09,S35S1V10,S35S1V11,S35S1V12,S35S1V13,S35S1V14,S35S1V15,S35S1V16,S35S2V001,S35S2V002,S35S2V003,S35S2V004,S35S2V005,S35S2V006,S35S2V007,S35S2V008,S35S2V009,S35S2V010,S35S2V011,S35S2V012,S35S2V013,S35S2V014,S35S2V015,S35S2V016,S35S2V017,S35S2V018,S35S2V019,S35S2V020,S35S2V021,S35S2V022,S35S2V023,S35S2V024,S35S2V025,S35S2V026,S35S2V027,S35S2V028,S35S2V029,S35S2V030,S35S2V031,S35S2V032,S35S2V033,S35S2V034,S35S2V035,S35S2V036,S35S2V037,S35S2V038
"LeBreton, Marjory",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1993.06.18 - , 1993.06.18 , ,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,9,9,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,1,2,9,9,9,9,1,8,2,1,1,9
"Nolin, Pierre Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1993.06.18 - , 1993.06.18 , ,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2,9,9,9,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,9,2,1,1,1,1,1,2,1,1,1,9
"St. Germain, Gerry",Progressive Conservative Party,British Columbia,"Mulroney, Martin Brian", 1993.06.23 - , 1993.06.23 , ,,2,1,1,1,1,9,9,9,2,1,1,2,2,2,9,1,2,9,1,2,2,1,2,9,9,9,9,9,9,9,9,9,1,1,1,9,8,8,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean", 1994.09.15 - , 1994.09.15 , ,,99,99,99,99,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Hervieux-Payette, Cí©line",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1995.03.21 - , 1995.03.21 , ,,99,99,99,99,2,1,1,2,9,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"Losier-Cool, Rose-Marie",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean", 1995.03.21 - , 1995.03.21 , ,,99,99,99,99,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,9
"Poulin (Charette), Marie-P.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean", 1995.09.21 - , 1995.09.21 , ,,99,99,99,99,99,99,99,99,1,2,2,1,1,1,2,2,1,1,9,9,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,9
"Moore, Wilfred P.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean", 1996.09.26 - , 1996.09.26 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,9,2,2,1,2,2,2,9,9,9,9,9,9,2,2,2,2,1,2
"Pí©pin, Lucie",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1997.04.08 - , 1997.04.08 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,2
"Everett, Douglas Donald",Independent,Manitoba,"Pearson, Lester Bowles", 1966.11.08 - 1994.01.20 , 1966.11.08 , 1994.01.20 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Chaput-Rolland, Solange",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1988.09.26 - 1994.05.14 , 1988.09.26 , 1994.05.14 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lang, Daniel Aiken",Independent,Ontario,"Pearson, Lester Bowles", 1964.02.14 - 1994.06.13 , 1964.02.14 , 1994.06.13 ,(Resignation),9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Beaulieu, Mario",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1990.08.30 - 1994.06.22 , 1990.08.30 , 1994.06.22 ,(Resignation),2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1977.04.05 - 1994.08.29 , 1977.04.05 , 1994.08.29 ,(Resignation),1,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Macquarrie, Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph", 1979.10.03 - 1994.09.18 , 1979.10.03 , 1994.09.18 ,(Retirement),2,1,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Muir, Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott", 1979.03.26 - 1994.11.10 , 1979.03.26 , 1994.11.10 ,(Retirement),9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"LeBlanc, Romí©o",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott", 1984.06.29 - 1994.11.21 , 1984.06.29 , 1994.11.21 ,(Resignation),9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott", 1978.03.23 - 1994.11.26 , 1978.03.23 , 1994.11.26 ,(Retirement),2,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"David, Paul",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1985.04.16 - 1994.12.25 , 1985.04.16 , 1994.12.25 ,(Retirement),9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Desmarais, Jean Noí‚l",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1993.06.04 - 1995.07.25 , 1993.06.04 , 1995.07.25 ,(Death),2,1,1,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1972.09.01 - 1995.09.09 , 1972.09.01 , 1995.09.09 ,(Retirement),1,2,2,9,2,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sylvain, John",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1990.09.07 - 1996.02.01 , 1990.09.07 , 1996.02.01 ,(Resignation),9,9,9,1,1,2,2,1,2,1,1,1,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
