Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S31S1V01,S31S1V02
Date,,,,,,,,xxxx,xxxx
Bill,,,,,,,"yay=1,nay=2,paired=3,yes+no=4,yes+paired=5,no+paired=6,yes+no+paired=7,notvote=ENPTY,Abstention=8,Problem=9999",xxxx,xxxx
"Lucier,  Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),9999,9999
"Macdonald,  John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),9999,9999
"Macquarrie,  Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph",1979.10.03 - 1994.09.18 ,1979.10.03 , 1994.09.18 ,(Retirement),9999,9999
"Manning,  Ernest Charles",Social Credit Party,Alberta,"Trudeau, Pierre Elliott",1970.10.07 - 1983.09.20 ,1970.10.07 , 1983.09.20 ,(Retirement),9999,9999
"Marchand,  Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.09 - 1983.12.15 ,1976.12.09 , 1983.12.15 ,(Resignation),9999,9999
"Marshall,  Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26 ,1978.03.23 , 1994.11.26 ,(Retirement),9999,9999
"McDonald,  Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),9999,9999
"McElman,  Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),9999,9999
"McGrand,  Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),9999,9999
"McIlraith,  George James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.04.27 - 1983.07.29 ,1972.04.27 , 1983.07.29 ,(Retirement),9999,9999
"McNamara,  William Craig",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 1979.08.08 ,1970.10.07 , 1979.08.08 ,(Retirement),9999,9999
"Molgat,  Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9999,9999
"Molson,  Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),9999,9999
"Muir,  Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1979.03.26 - 1994.11.10 ,1979.03.26 , 1994.11.10 ,(Retirement),9999,9999
"Murray,  Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,9999,9999
"Neiman,  Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),9999,9999
"Norrie,  Margaret Rosamond Fawcett",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1980.10.16 ,1972.04.27 , 1980.10.16 ,(Retirement),9999,9999
"Nurgitz,  Nathan",Progressive Conservative Party,Manitoba,"Clark, Charles Joseph",1979.10.03 - 1993.02.09 ,1979.10.03 , 1993.02.09 ,(Resignation),9999,9999
"Olson,  Horace Andrew (Bud)",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1977.04.05 - 1996.03.07 ,1977.04.05 , 1996.03.07 ,(Resignation),9999,9999
"Paterson,  Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9999,9999
"Perrault,  Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),9999,9999
"Petten,  William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),9999,9999
"Phillips,  Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),9999,9999
"Quart,  Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),9999,9999
"Riel,  Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),9999,9999
"Riley,  Daniel Aloysius",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 1984.09.13 ,1973.12.21 , 1984.09.13 ,(Death),9999,9999
"Rizzuto,  Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),9999,9999
"Robichaud,  Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),9999,9999
"Roblin,  Dufferin (Duff)",Progressive Conservative Party,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1992.06.17 ,1978.03.23 , 1992.06.17 ,(Retirement),9999,9999
"Rousseau,  Yvette Boucher",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1988.03.17 ,1979.03.27 , 1988.03.17 ,(Death),9999,9999
"Rowe,  Frederick William",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1971.12.09 - 1987.09.28 ,1971.12.09 , 1987.09.28 ,(Retirement),9999,9999
"Sherwood,  Cyril Beverly",Progressive Conservative Party,New Brunswick,"Clark, Charles Joseph",1979.10.03 - 1990.07.01 ,1979.10.03 , 1990.07.01 ,(Retirement),9999,9999
"Smith,  Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),9999,9999
"Smith,  George Isaac",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1975.08.07 - 1982.12.19 ,1975.08.07 , 1982.12.19 ,(Death),9999,9999
"Sparrow,  Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9999,9999
"Stanbury,  Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),9999,9999
"Steuart,  David Gordon",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1976.12.09 - 1991.01.26 ,1976.12.09 , 1991.01.26 ,(Retirement),9999,9999
"Sullivan,  Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9999,9999
"Th_riault,  L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16 ,1979.03.26 , 1996.02.16 ,(Retirement),9999,9999
"Thompson,  Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9999,9999
"Tremblay,  Arthur Julien",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1992.06.18 ,1979.09.27 , 1992.06.18 ,(Retirement),9999,9999
"Van Roggen,  George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08 ,1971.11.04 , 1992.06.08 ,(Death),9999,9999
"Wagner,  Claude",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1978.04.21 - 1979.07.11 ,1978.04.21 , 1979.07.11 ,(Death),9999,9999
"Walker,  David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),9999,9999
"Williams,  Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07 ,1971.12.09 , 1982.10.07 ,(Retirement),9999,9999
"Wood,  Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),9999,9999
"Yuzyk,  Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),9999,9999
