Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S22S2V01,S22S2V02,S22S2V03,S22S3V01,S22S3V02,S22S3V03
Date,,,,,,,,03.02.1955,03.23.1955,05.25.1955,03.26.1956,05.30.1956,06.07.1956
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act to amend the Act respecting the Library of Parliament) be now read a third time,Motion that the Bill (An Act respecting Divorce and Matrimonial Matters) be now read a second time,"Motion that the Bill (An Act to amend the BNAA, 1867 to 1952) be now read a second time",Motion that the debate to amend the Rules of the Senate be adjourned,Motion that the Bill (An Act to amend the Act respecting the Court of the Exchequer) be now read a second time,Motion that the Bill (An Act to incorporate the Northern Ontario Pipeline) be now read third time
"Bradette, Joseph-Arthur",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1961.09.12 ,1953.06.12 , 1961.09.12 ,(Death),1,2,2,2,2,1
"Lí©ger, Aurel D.",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.06.12 - 1961.12.28 ,1953.06.12 , 1961.12.28 ,(Death),1,2,2,9,9,9
"Golding, William Henry",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1961.12.31 ,1949.06.25 , 1961.12.31 ,(Death),1,2,2,2,2,1
"Haig, John Thomas",Progressive Conservative Party,Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1962.01.17 ,1935.08.14 , 1962.01.17 ,(Resignation),2,1,1,1,1,2
"Barbour, George Hilton",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.07.06 - 1962.02.06 ,1949.07.06 , 1962.02.06 ,(Death),1,2,2,9,2,1
"Wilson, Cairine Reay",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.02.15 - 1962.03.03 ,1930.02.15 , 1962.03.03 ,(Death),1,1,9,2,1,9
"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13 ,1922.02.10 , 1962.03.13 ,(Death),1,1,9,9,1,9
"McDonald, John Alexander",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1962.04.16 ,1945.04.18 , 1962.04.16 ,(Death),1,2,2,1,2,1
"Wall, William Michael",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1955.07.28 - 1962.07.07 ,1955.07.28 , 1962.07.07 ,(Death),99,99,99,1,2,1
"Bois, Henri Charles",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.01.03 - 1962.07.18 ,1957.01.03 , 1962.07.18 ,(Death),99,99,99,99,99,99
"Farquhar, Thomas",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1948.09.10 - 1962.09.27 ,1948.09.10 , 1962.09.27 ,(Resignation),1,2,2,9,9,1
"Fraser, William Alexander",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1962.10.26 ,1949.06.25 , 1962.10.26 ,(Death),9,2,9,9,9,1
"Bouchard, Tí©lí©sophore-Damien",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1962.11.13 ,1944.03.03 , 1962.11.13 ,(Death),9,9,9,9,9,9
"Raymond, Donat",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.12.20 - 1963.06.05 ,1926.12.20 , 1963.06.05 ,(Death),9,9,9,9,9,9
"Pratt, Calvert Coates",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1963.11.13 ,1951.01.24 , 1963.11.13 ,(Death),9,9,9,9,9,9
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16 ,1943.02.19 , 1964.01.16 ,(Death),9,9,9,9,9,9
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14 ,1947.01.27 , 1964.02.14 ,(Death),1,2,2,9,2,1
"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25 ,1940.02.09 , 1964.03.25 ,(Death),1,2,2,9,2,1
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),1,2,9,9,9,9
"Horner, Ralph Byron",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),2,1,1,1,1,2
"Taylor, Austin Claude",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1957.01.03 - 1965.01.17 ,1957.01.03 , 1965.01.17 ,(Death),99,99,99,99,99,99
"Stambaugh, Wesley",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.09.07 - 1965.06.08 ,1949.09.07 , 1965.06.08 ,(Resignation),1,2,2,2,2,1
"Hodges, Nancy",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1953.11.05 - 1965.06.12 ,1953.11.05 , 1965.06.12 ,(Resignation),1,1,1,2,1,1
"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19 ,1949.06.25 , 1965.08.19 ,(Resignation),1,2,9,9,2,1
"Tremblay, Lí©onard-David Sweezey",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1965.09.02 ,1953.06.12 , 1965.09.02 ,(Resignation),1,2,2,1,2,1
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04 ,1938.01.20 , 1965.11.04 ,(Death),1,1,1,9,2,1
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),9,9,9,9,9,9
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),9,9,9,9,9,9
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),9,9,2,9,9,9
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),9,9,2,9,2,1
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15 ,1953.05.19 , 1966.03.15 ,(Resignation),1,2,9,2,9,9
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30 ,1953.06.12 , 1966.03.30 ,(Death),1,9,9,9,1,1
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),1,1,1,9,1,9
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),1,2,2,9,2,1
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),1,2,2,9,2,1
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01 ,1953.05.19 , 1966.06.01 ,(Resignation),1,2,9,9,2,1
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),9,2,2,2,2,1
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),9,2,9,9,1,1
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),1,1,1,9,2,1
"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11 ,1942.11.19 , 1967.03.11 ,(Death),9,1,9,2,9,9
"McLean, Alexander Neil",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1967.03.12 ,1945.04.18 , 1967.03.12 ,(Death),9,9,9,9,9,1
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11 ,1945.04.18 , 1967.05.11 ,(Death),9,2,2,9,9,1
"Reid, Thomas",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1949.09.07 - 1967.10.14 ,1949.09.07 , 1967.10.14 ,(Resignation),1,2,2,2,1,1
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23 ,1949.08.17 , 1967.11.23 ,(Death),1,1,1,2,1,9
"Macdonald, William Ross",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22 ,1953.06.12 , 1967.12.22 ,(Resignation),1,2,2,1,2,1
"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26 ,1945.04.18 , 1968.03.26 ,(Resignation),1,1,1,9,1,9
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01 ,1942.10.05 , 1968.04.01 ,(Resignation),9,2,2,9,9,9
"Power, Charles Gavan",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.05.30 ,1955.07.28 , 1968.05.30 ,(Death),99,99,99,9,2,1
"Pouliot, Jean-Franí_ois",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.06.28 ,1955.07.28 , 1968.06.28 ,(Resignation),99,99,99,2,2,1
"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31 ,1957.01.03 , 1968.12.31 ,(Resignation),99,99,99,99,99,99
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),9,2,2,9,9,9
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),1,2,2,9,2,1
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),1,1,9,9,9,1
"Leonard, Thomas D'Arcy",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29 ,1955.07.28 , 1970.04.29 ,(Resignation),99,99,99,9,2,1
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),1,9,2,9,2,9
"Savoie, Calixte F.",Independent Liberal,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1970.08.23 ,1955.07.28 , 1970.08.23 ,(Resignation),99,99,99,9,9,9
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),9,1,9,1,1,2
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),9,9,9,1,2,1
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),1,1,1,2,2,1
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),9,1,9,2,9,1
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),1,2,2,2,9,9
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),9,2,2,9,2,1
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),99,99,99,99,99,99
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),99,99,99,99,99,99
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),1,2,2,9,9,9
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),1,9,2,2,2,1
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),99,99,99,1,2,1
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),99,99,99,1,9,1
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),1,2,2,9,2,9
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),2,9,2,9,1,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),1,2,2,9,2,9
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,9,9,9,9,1
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),99,99,99,9,2,1
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),99,99,99,2,1,1
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),99,99,99,1,9,9
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),99,99,99,1,1,1
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),99,99,99,9,2,1
