Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H09S1V001,H09S1V002,H09S1V003,H09S1V004,H09S1V005,H09S1V006,H09S1V007,H09S1V008,H09S1V009,H09S1V010,H09S1V011,H09S1V012,H09S1V013,H09S1V014,H09S1V015,H09S1V016,H09S1V017,H09S1V018,H09S2V001,H09S2V002,H09S2V003,H09S2V004,H09S2V005,H09S2V006,H09S2V007,H09S2V008,H09S2V009,H09S2V010,H09S2V011,H09S2V012,H09S2V013,H09S2V014,H09S2V015,H09S2V016,H09S3V001,H09S3V002,H09S3V003,H09S3V004,H09S3V005,H09S3V006,H09S3V007,H09S3V008,H09S3V009,H09S3V010,H09S3V011,H09S3V012,H09S3V013,H09S3V014,H09S3V015,H09S3V016,H09S3V017,H09S3V018,H09S3V019,H09S3V020,H09S3V021,H09S3V022,H09S3V023,H09S3V024,H09S3V025,H09S3V026,H09S3V027,H09S3V028,H09S3V029,H09S3V030,H09S3V031,H09S3V032,H09S3V033,H09S3V034,H09S3V035,H09S3V036,H09S4V001,H09S4V002,H09S4V003,H09S4V004,H09S4V005,H09S4V006,H09S4V007,H09S4V008,H09S4V009,H09S4V010,H09S4V011,H09S4V012,H09S4V013,H09S4V014,H09S4V015,H09S4V016,H09S4V017,H09S4V018,H09S4V019,H09S4V020,H09S4V021,H09S4V022
545,PERTH SOUTH,Ontario,1867 - 1933,9,1900.11.07,209,0fff3d61-c664-454d-865c-9f991e3b8e8b,"ERB, Dilman Kinsey",2169,0.501,Liberal Party of Canada,"Farmer, principal, teacher",Protestant,0,2,,,,,,,,,,,,,9,1,1,1,1,2,2,1,9,2,2,2,9,9,2,2,2,2,1,2,2,2,2,2,9,2,9,9,9,9,2,2,2,9,9,9,1,1,2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,9,2,9,9,1,2,2,9,9,2,1,9,2,9,2,2,9,2,2,2,2,1,2,2
131,CHAMPLAIN,Quebec,1867 - 2003,9,1900.11.07,225,10ff793c-1b8c-4d96-8d8a-0e0c2bf9fe0b,"ROUSSEAU, J.A.",2903,0.5302,Liberal Party of Canada,Banker,Fr.Catholic,1,1,,,,,,,,,,,,,9,1,1,1,9,2,2,1,9,2,9,9,9,2,9,9,9,2,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,2,9,9,1,2,2,2,9,2,9,9,9,2,2,2,9,9,9,9,2,9,9,2,2,2,1,9,9,9,9,9,9,9,2,2,9,2,2,9,9,2,2,9,2,9,9,9,2,9,9,9,9,2,9,9,9,9,9,2
790,WATERLOO NORTH,Ontario,1867 - 1966,9,1900.11.07,250,12d09f2c-95fe-4a73-a2f8-a5c24e949b29,"SEAGRAM, Joseph E.",accl.,,Conservative (1867-1942),"Breeder, distiller",Protestant,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
626,RUSSELL,Ontario,1867 - 1966,9,1900.11.07-1903.03.16,314,1731ef95-36db-4e61-9a7f-e27e0ed02f1c,"EDWARDS, William C.",3089,0.5504,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,4,,,,,,,,,,Resignation.  Called to the Senate: 1903.03.16,,,9,9,9,1,9,2,2,1,9,2,9,9,9,2,9,9,9,9,9,2,2,9,9,2,9,2,9,1,9,2,9,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
238,GLENGARRY,Ontario,1867 - 1914,9,1900.11.07,316,17421486-feaf-4f28-9943-a2a2a6f49d85,"SCHELL, Jacob T.",2392,0.5744,Liberal Party of Canada,Lumber merchant,Protestant,0,1,,,,,,,,,,,,,9,1,1,1,9,2,2,1,9,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,9,2,9,1,9,9,2,9,9,2,1,9,9,9,2,2,9,9,2,2,2,2,2,2,9,2,9,9,2,9,9,2,2,2,1,1,9,2,2,2,2,2,2,2,9,2,2,9,1,9,9,9,2,9,9,1,2,9,9,9,9,9,1,2,2,9,9,9
37,BEAUHARNOIS,Quebec,1867 - 1933,9,1900.11.07- and 1902.03.26,322,1782b87d-9d67-4f28-a269-0721a09e6a66,"LOY, George M.",2016,0.5369,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,Election declared void: 1900.11.07,,,1,9,9,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,1,2,2,1,9,2,2,2,1,2,1,9,1,1,9,2,2,2,2,2,2,2,2,2,2,2,9,9,9,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,9,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2
280,HASTINGS WEST,Ontario,1867 - 1924,9,1902.01.15,336,185cfc9f-0de6-4492-8cdf-b36fb5308b50,"PORTER, E.G.",1831,0.5792,Conservative (1867-1942),Barrister,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,1,1,1,9,9,9,9,9,1,1,9,9,9,9,1,2,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,1,9,9,9,9,9,1,9,9,1,1,2,1,1,9,1
440,MIDDLESEX EAST,Ontario,1867 - 1966,9,1900.11.07,339,18725f3e-3ecc-470a-9471-7059061535e9,"GILMOUR, James",2619,0.5797,Conservative (1867-1942),Farmer,Protestant,0,2,,,,,,,,,Scotland,,,,9,1,1,1,1,2,1,2,2,2,1,1,2,9,2,1,9,1,1,1,9,1,9,1,2,1,9,9,9,9,1,2,2,9,9,9,9,9,9,1,1,9,1,9,1,1,1,1,1,1,2,1,1,9,9,1,1,1,2,9,1,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,1,1,1,9,9,1,9,9,1,2,9,1,1,1
29,BAGOT,Quebec,1867 - 1933,9,1900.11.07,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",1605,0.5255,Liberal Party of Canada,Merchant,Fr.Catholic,1,2,,,,,,,,,,,,,9,1,1,1,1,2,2,1,9,2,2,2,2,2,2,2,9,2,1,2,2,9,2,2,9,9,9,9,9,2,9,9,9,2,1,9,1,2,2,2,2,9,2,2,2,9,9,9,9,2,1,9,2,9,1,2,2,2,1,1,2,2,2,2,2,2,9,2,9,2,2,2,1,9,9,2,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,2
172,DIGBY,Nova Scotia,1867 - 1914,9,1900.11.07,370,1b37e69f-44fc-46dc-b135-a4c9ead4f523,"COPP, Albert J.S.",1923,0.5756,Liberal Party of Canada,"Crown prosecutor, lawyer",Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,2,9,2,9,2,9,2,2,2,1,2,2,2,9,2,1,9,9,9,9,2,2,9,2,2,1,2,1,1,2,9,2,2,2,9,9,2,1,2,2,2,9,9,2,2,9,2,2,2,1,1,2,2,2,2,2,2,2,9,2,2,2,2,1,9,9,9,2,9,9,2,2,9,2,9,9,2,2,2,2,2,9,2
