Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S27S1V01,S27S1V02,S27S2V01,S27S2V02,S27S2V03
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),2,2,9,2,2
"O'Leary, Clement Augustine",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1969.06.12 ,1962.09.25 , 1969.06.12 ,(Death),9,9,1,9,1
"Thorvaldson, Gunnar Solmundur",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1958.01.29 - 1969.08.02 ,1958.01.29 , 1969.08.02 ,(Death),9,9,2,9,9
"Irvine, Olive Lillian",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1960.01.14 - 1969.11.01 ,1960.01.14 , 1969.11.01 ,(Death),1,9,2,1,1
"Monette, Gustave",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1969.12.23 ,1957.10.12 , 1969.12.23 ,(Death),9,9,9,9,1
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),9,9,9,9,9
"Leonard, Thomas D'Arcy",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29 ,1955.07.28 , 1970.04.29 ,(Resignation),2,2,1,2,2
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),2,9,2,9,2
"Savoie, Calixte F.",Independent Liberal,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1970.08.23 ,1955.07.28 , 1970.08.23 ,(Resignation),9,9,9,9,9
"Phillips, Lazarus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.02.09 - 1970.10.10 ,1968.02.09 , 1970.10.10 ,(Retirement),99,99,99,2,2
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),1,9,2,9,9
"Pearson, Arthur Maurice",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1957.10.12 - 1971.03.31 ,1957.10.12 , 1971.03.31 ,(Resignation),9,9,2,1,1
"Gladstone, James",Independent Conservative,Alberta,"Diefenbaker, John George",1958.01.31 - 1971.03.31 ,1958.01.31 , 1971.03.31 ,(Resignation),9,9,2,1,1
"Hollett, Malcolm Mercer",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1961.10.06 - 1971.03.31 ,1961.10.06 , 1971.03.31 ,(Resignation),9,9,9,1,1
"MacDonald, John Joseph",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1958.01.27 - 1971.04.20 ,1958.01.27 , 1971.04.20 ,(Resignation),9,9,2,1,1
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),2,2,9,9,9
"Urquhart, Earl Wallace",Liberal Party of Canada,Nova Scotia,"Pearson, Lester Bowles",1966.02.24 - 1971.08.17 ,1966.02.24 , 1971.08.17 ,(Death),9,2,9,2,2
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),9,2,1,2,2
"Willis, Harry Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.06.15 - 1972.03.23 ,1962.06.15 , 1972.03.23 ,(Death),9,9,9,1,1
"Mí©thot, Lí©on",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1972.08.06 ,1957.10.12 , 1972.08.06 ,(Death),9,9,2,1,1
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17 ,1957.09.20 , 1972.11.17 ,(Resignation),9,9,2,9,9
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),2,9,9,9,9
"Kinnear, Mary Elizabeth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1973.04.03 ,1967.04.06 , 1973.04.03 ,(Retirement),99,99,1,2,2
"Nichol, John Lang",Liberal Party of Canada,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1973.04.19 ,1966.02.24 , 1973.04.19 ,(Resignation),2,9,1,9,2
"Rattenbury, Nelson",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1964.02.14 - 1973.05.27 ,1964.02.14 , 1973.05.27 ,(Death),2,9,1,2,2
"McLean, Donald Allan",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1973.11.05 ,1968.03.15 , 1973.11.05 ,(Death),99,99,99,9,9
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14 ,1963.07.06 , 1974.08.14 ,(Death),2,2,1,2,2
"Martin, Paul Joseph James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1968.04.20 - 1974.10.30 ,1968.04.20 , 1974.10.30 ,(Resignation),99,99,99,99,99
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28 ,1964.11.10 , 1974.11.28 ,(Resignation),9,9,1,9,2
"Kickham, Thomas Joseph",Liberal Party of Canada,Prince Edward Island,"Pearson, Lester Bowles",1966.07.08 - 1974.12.01 ,1966.07.08 , 1974.12.01 ,(Death),9,9,1,2,2
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),9,9,1,2,2
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14 ,1962.09.25 , 1975.07.14 ,(Resignation),9,9,2,9,9
"Gí©linas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10 ,1963.06.11 , 1975.12.10 ,(Resignation),9,9,9,2,2
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),2,2,9,9,2
"O'Leary, M. Grattan",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1976.04.07 ,1962.09.24 , 1976.04.07 ,(Death),9,9,2,1,9
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),2,9,9,2,2
"Prowse, James Harper",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1976.09.27 ,1966.02.24 , 1976.09.27 ,(Death),2,2,1,9,2
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),1,9,2,1,1
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),9,2,9,2,2
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),2,2,1,2,2
"Carter, Chesley William",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1977.07.28 ,1966.07.08 , 1977.07.28 ,(Retirement),9,9,1,2,2
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),2,2,9,2,2
"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29 ,1962.06.15 , 1977.12.29 ,(Resignation),1,1,2,1,1
"Duggan, James",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1978.02.28 ,1966.07.08 , 1978.02.28 ,(Resignation),9,9,9,9,9
"Michaud, Herví© J.",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1978.06.05 ,1968.03.15 , 1978.06.05 ,(Death),99,99,99,9,9
"Macnaughton, Alan Aylesworth",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1978.07.30 ,1966.07.08 , 1978.07.30 ,(Retirement),9,9,1,2,9
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29 ,1963.04.27 , 1979.03.29 ,(Death),2,9,9,2,9
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),9,9,2,2,2
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),2,9,1,2,2
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),1,9,1,1,1
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),9,9,9,2,2
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),9,2,1,2,2
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),2,2,9,2,2
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),99,99,99,99,99
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),1,1,2,1,1
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,2,2,2
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),2,2,1,2,2
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),1,1,2,1,1
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),99,99,1,2,2
"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),9,9,1,9,9
"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),1,1,2,1,1
"Lamontagne, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12 ,1967.04.06 , 1983.06.12 ,(Death),99,99,1,2,9
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,9,9,9,2
"Cook, Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),9,9,1,2,2
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),9,2,1,2,2
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9,9,2,1,1
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),9,9,2,9,1
"Deschatelets, Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10 ,1966.02.24 , 1986.01.10 ,(Resignation),2,2,1,2,2
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),2,2,1,2,2
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),1,9,9,1,1
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),2,9,1,2,9
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),2,9,1,2,2
"Langlois, J. G. Lí©opold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02 ,1966.07.08 , 1988.10.02 ,(Retirement),2,9,2,2,2
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),9,9,9,1,1
"McElman, Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),2,2,1,9,2
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),9,9,1,1,1
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),9,9,1,2,2
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),2,9,2,2,2
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),9,9,1,2,2
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9,1,2,1,1
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),9,9,2,9,9
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),99,99,1,2,2
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),2,2,1,9,2
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),9,2,1,2,2
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),2,9,1,2,2
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),1,9,9,1,1
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),99,99,99,99,99
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),99,99,1,2,9
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),99,99,99,2,2
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),1,9,2,9,1
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),99,99,99,2,2
