Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S20S1V01,S20S2V01,S20S2V02,S20S2V03,S20S2V04,S20S2V05,S20S3V01,S20S3V02,S20S3V03,S20S4V01,S20S4V02
"McGeer, Gerald Grattan",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1945.06.09 - 1947.08.11 ,1945.06.09 , 1947.08.11 ,(Death),2,1,9,2,1,1,9,9,9,99,99
"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09 ,1918.02.05 , 1947.09.09 ,(Death),9,1,1,2,1,1,1,1,9,99,99
"Foster, Walter Edward",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1928.12.06 - 1947.11.14 ,1928.12.06 , 1947.11.14 ,(Death),1,2,1,2,1,2,2,1,1,99,99
"Bench, John Joseph",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1947.12.09 ,1942.11.19 , 1947.12.09 ,(Death),1,1,9,2,2,2,1,9,1,99,99
"Robicheau, Jean-Louis Philippe",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1948.03.01 ,1935.07.20 , 1948.03.01 ,(Death),1,9,9,9,9,9,2,9,9,99,99
"Molloy, John Patrick",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1925.10.06 - 1948.03.16 ,1925.10.06 , 1948.03.16 ,(Death),9,1,1,2,9,9,1,2,9,99,99
"Riley, Daniel Edward",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1926.06.25 - 1948.04.27 ,1926.06.25 , 1948.04.27 ,(Death),9,2,9,9,9,2,1,2,9,9,99
"Johnston, John Frederick",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1943.10.05 - 1948.05.09 ,1943.10.05 , 1948.05.09 ,(Death),1,2,1,2,1,2,2,1,9,2,2
"Donnelly, James J.",Progressive Conservative Party,Ontario,"Borden, Robert Laird",1913.05.26 - 1948.10.20 ,1913.05.26 , 1948.10.20 ,(Death),9,1,9,1,2,9,1,9,9,9,9
"White, Gerald Verner",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1919.11.06 - 1948.10.24 ,1919.11.06 , 1948.10.24 ,(Death),1,1,2,1,2,1,1,1,2,1,1
"Macdonald, John Alexander",Conservative (1867-1942),Prince Edward Island,"Bennett, Richard Bedford",1935.07.20 - 1948.11.15 ,1935.07.20 , 1948.11.15 ,(Death),1,2,9,1,9,9,2,1,9,1,2
"McDonald, John Anthony",Independent,New Brunswick,"Meighen, Arthur",1921.02.17 - 1948.12.12 ,1921.02.17 , 1948.12.12 ,(Death),1,2,9,9,9,9,9,9,9,1,1
"Sutherland, Donald",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1949.01.01 ,1935.07.20 , 1949.01.01 ,(Death),9,9,9,9,9,9,9,9,9,9,9
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17 ,1915.12.03 , 1949.01.17 ,(Death),9,9,9,1,9,9,9,1,9,9,9
"Robinson, Brewer Waugh",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1945.04.19 - 1949.01.20 ,1945.04.19 , 1949.01.20 ,(Death),1,2,1,2,1,9,2,1,9,2,2
"Murdock, James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.03.20 - 1949.05.15 ,1930.03.20 , 1949.05.15 ,(Death),2,1,9,1,1,2,1,2,1,2,1
"Mackenzie, Ian Alistair",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1948.01.19 - 1949.09.02 ,1948.01.19 , 1949.09.02 ,(Death),99,99,99,99,99,99,99,99,99,2,2
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),1,2,1,2,9,9,2,2,1,2,2
"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23 ,1930.06.07 , 1949.12.23 ,(Death),1,2,9,2,1,2,2,2,1,2,2
"St-PíÂre, íŠdouard-Charles",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1950.01.31 ,1940.02.09 , 1950.01.31 ,(Death),1,1,1,2,9,9,9,9,1,2,9
"Lesage, Joseph Arthur",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1950.03.09 ,1944.03.03 , 1950.03.09 ,(Death),1,9,1,9,9,2,2,9,1,2,2
"Lí©ger, Antoine Joseph",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1950.04.07 ,1935.08.14 , 1950.04.07 ,(Death),1,2,9,1,2,1,2,1,2,9,2
"Jones, George Burpee",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.07.20 - 1950.04.27 ,1935.07.20 , 1950.04.27 ,(Death),9,9,9,1,2,9,2,1,9,9,9
"Mullins, Henry Alfred",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1950.09.05 ,1935.08.14 , 1950.09.05 ,(Death),9,9,9,1,9,9,9,9,9,9,9
"Ballantyne, Charles Colquhoun",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1932.02.03 - 1950.10.19 ,1932.02.03 , 1950.10.19 ,(Death),9,1,9,1,9,1,9,1,9,9,9
"Ferland, Charles-íŠdouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1951.04.18 ,1945.04.18 , 1951.04.18 ,(Resignation),9,2,9,2,1,2,2,9,9,2,2
"Paquet, EugíÂne",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1951.05.08 ,1935.08.14 , 1951.05.08 ,(Death),9,2,9,1,2,9,2,9,9,1,2
"Moraud, Lucien",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1933.12.30 - 1951.05.29 ,1933.12.30 , 1951.05.29 ,(Death),9,2,2,9,9,1,2,1,9,9,9
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),9,2,9,9,9,9,9,9,9,9,9
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),9,2,9,9,9,1,9,1,9,9,9
"Fogo, James Gordon",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.01.25 - 1952.07.06 ,1949.01.25 , 1952.07.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18 ,1928.01.10 , 1953.01.18 ,(Death),9,1,9,2,9,1,9,1,1,1,1
"David, Louis-Athanase",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1953.01.26 ,1940.02.09 , 1953.01.26 ,(Death),1,1,9,2,9,9,9,2,9,9,9
"Doone, James Joseph Hayes",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1953.04.06 ,1949.06.25 , 1953.04.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Duff, William",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1936.02.28 - 1953.04.25 ,1936.02.28 , 1953.04.25 ,(Death),9,1,9,9,9,9,9,1,9,9,1
"MacLennan, Donald",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1940.01.29 - 1953.10.19 ,1940.01.29 , 1953.10.19 ,(Death),9,2,1,2,9,9,9,2,9,9,2
"Davis, John Caswell",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1949.01.25 - 1953.10.25 ,1949.01.25 , 1953.10.25 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Dennis, William Henry",Progressive Conservative Party,Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18 ,1932.02.03 , 1954.01.18 ,(Death),9,9,9,9,9,9,9,9,9,9,9
"Hushion, William James",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.15 - 1954.01.29 ,1940.02.15 , 1954.01.29 ,(Death),1,2,9,2,2,1,1,2,9,2,1
"Emmerson, Henry Read",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1954.06.21 ,1949.06.25 , 1954.06.21 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),2,1,9,2,1,2,1,9,9,1,9
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27 ,1940.02.09 , 1954.08.27 ,(Death),1,2,1,2,9,2,2,2,9,9,2
"Hurtubise, Joseph Raoul",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.06.09 - 1955.01.31 ,1945.06.09 , 1955.01.31 ,(Death),1,9,1,2,1,9,2,1,9,2,2
"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14 ,1940.01.29 , 1955.05.14 ,(Death),1,2,9,2,1,9,2,2,9,2,2
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),9,9,9,9,9,2,9,9,9,9,9
"Du Tremblay, Pamphile Rí©al Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06 ,1942.11.19 , 1955.10.06 ,(Death),9,9,9,9,9,9,9,9,9,9,9
"Fallis, Iva Campbell",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),9,2,9,1,9,1,2,1,2,9,1
"Calder, James Alexander",Progressive Conservative Party,Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),9,2,2,1,9,1,2,1,9,1,2
"Godbout, Joseph Adí©lard",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1949.06.25 - 1956.09.18 ,1949.06.25 , 1956.09.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21 ,1940.01.29 , 1956.09.21 ,(Death),9,2,9,9,9,9,2,9,9,2,2
"Ross, George Henry",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1948.12.01 - 1956.09.26 ,1948.12.01 , 1956.09.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Pirie, Frederick William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1956.10.03 ,1945.04.19 , 1956.10.03 ,(Death),2,2,9,9,9,1,9,9,9,9,2
"Duffus, Joseph James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.15 - 1957.02.07 ,1940.02.15 , 1957.02.07 ,(Death),1,2,1,2,1,2,2,2,9,9,2
"Daigle, Armand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1957.03.08 ,1944.03.03 , 1957.03.08 ,(Death),1,2,1,2,9,9,2,2,1,9,2
"McIntyre, James Peter",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1943.02.19 - 1957.04.08 ,1943.02.19 , 1957.04.08 ,(Death),1,9,9,2,1,2,2,1,9,2,9
"McGuire, William Henry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1957.10.31 ,1926.12.20 , 1957.10.31 ,(Death),9,2,2,2,2,9,2,2,9,2,1
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18 ,1949.05.09 , 1958.04.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18 ,1931.07.06 , 1958.08.18 ,(Death),1,2,2,1,9,1,2,1,2,1,2
"Nicol, Jacob",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.07.14 - 1958.09.23 ,1944.07.14 , 1958.09.23 ,(Death),1,9,9,9,9,9,9,9,9,9,9
"Howden, John Power",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1959.11.04 ,1945.04.18 , 1959.11.04 ,(Death),9,1,9,2,9,9,9,1,9,1,1
"Quinn, Felix Patrick",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1961.03.28 ,1935.07.20 , 1961.03.28 ,(Death),1,1,9,1,2,9,1,1,9,9,1
"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15 ,1940.05.11 , 1961.07.15 ,(Death),9,1,9,1,9,9,1,1,9,1,1
"Golding, William Henry",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1961.12.31 ,1949.06.25 , 1961.12.31 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Haig, John Thomas",Progressive Conservative Party,Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1962.01.17 ,1935.08.14 , 1962.01.17 ,(Resignation),1,2,9,1,2,9,2,1,2,1,2
"Wilson, Cairine Reay",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.02.15 - 1962.03.03 ,1930.02.15 , 1962.03.03 ,(Death),9,9,1,9,9,2,1,1,1,1,1
"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13 ,1922.02.10 , 1962.03.13 ,(Death),2,1,9,9,9,9,9,9,9,9,1
"McDonald, John Alexander",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1962.04.16 ,1945.04.18 , 1962.04.16 ,(Death),9,2,9,9,9,9,2,2,9,9,2
"Farquhar, Thomas",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1948.09.10 - 1962.09.27 ,1948.09.10 , 1962.09.27 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99
"Fraser, William Alexander",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1962.10.26 ,1949.06.25 , 1962.10.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Bouchard, Tí©lí©sophore-Damien",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1962.11.13 ,1944.03.03 , 1962.11.13 ,(Death),2,1,9,2,9,9,9,1,9,9,9
"Raymond, Donat",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.12.20 - 1963.06.05 ,1926.12.20 , 1963.06.05 ,(Death),9,2,9,9,9,9,9,9,9,9,9
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16 ,1943.02.19 , 1964.01.16 ,(Death),2,1,9,1,2,9,1,2,9,9,1
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14 ,1947.01.27 , 1964.02.14 ,(Death),99,99,99,99,99,99,2,1,1,9,2
"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25 ,1940.02.09 , 1964.03.25 ,(Death),1,2,9,2,1,2,2,2,9,9,2
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),1,2,9,2,9,2,9,9,9,9,2
"Horner, Ralph Byron",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),9,2,2,1,2,1,9,9,9,9,2
"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19 ,1949.06.25 , 1965.08.19 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04 ,1938.01.20 , 1965.11.04 ,(Death),2,1,1,1,2,9,1,2,1,1,1
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),1,2,1,2,1,2,9,2,1,2,2
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),99,99,99,99,99,99,2,9,1,9,2
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),2,1,1,2,1,1,9,2,1,1,1
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),1,2,1,9,9,2,2,2,9,2,2
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),9,1,9,2,9,9,1,1,9,9,1
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),1,1,9,9,9,2,1,1,1,2,1
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),99,99,99,99,99,99,9,2,1,2,2
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),9,1,9,2,1,9,1,2,9,1,1
"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11 ,1942.11.19 , 1967.03.11 ,(Death),1,1,9,9,9,1,1,1,9,2,9
"McLean, Alexander Neil",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1967.03.12 ,1945.04.18 , 1967.03.12 ,(Death),2,9,9,2,1,1,1,2,1,2,1
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11 ,1945.04.18 , 1967.05.11 ,(Death),1,2,1,2,1,2,2,1,9,2,9
"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26 ,1945.04.18 , 1968.03.26 ,(Resignation),9,2,1,1,1,9,2,2,9,9,9
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01 ,1942.10.05 , 1968.04.01 ,(Resignation),1,9,1,2,9,2,9,9,9,2,9
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),9,2,9,2,1,9,2,1,9,2,2
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),1,2,9,9,1,9,2,1,9,1,2
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),1,2,9,9,9,9,9,1,1,9,2
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),1,9,1,2,1,9,2,1,1,9,2
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),9,9,2,1,2,9,2,1,9,9,9
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),1,2,9,9,9,9,2,1,9,9,9
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),1,1,1,2,1,1,1,2,2,9,9
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),9,9,1,2,1,2,2,1,1,2,2
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,1,9,2,1,9,9,1,1,9,9
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),2,1,9,9,9,9,1,1,1,1,9
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,1,9,1,2,2,1,1,9,9,1
