Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H23S1V001,H23S1V002,H23S1V003,H23S1V004,H23S1V005,H23S1V006,H23S1V007,H23S1V008,H23S1V009,H23S1V010,H23S1V011,H23S1V012,H23S1V013,H23S1V014,H23S1V015,H23S1V016,H23S1V017,H23S1V018
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.17.1957,10.29.1957,11.11.1957,11.14.1957,11.15.1957,11.15.1957,11.19.1957,12.02.1957,12.10.1957,12.12.1957,12.13.1957,01.07.1958,01.21.1958,01.21.1958,01.23.1958,01.24.1958,01.29.1958,01.31.1958
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,
170,DAVENPORT,Ontario,1933 - ,23,1957.06.10,373,1b75bce5-9fb6-4c8c-ac94-a086fd41ed1b,"MORTON, Murray Douglas",8989,0.4073,Progressive Conservative Party,"Barrister, lawyer",,0,1,,,,,,,,,,,,,1,9,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
67,BRANT--HALDIMAND,Ontario,1952 - 1966,23,1957.06.10,389,1cf83763-b6c0-49ab-8a68-9f7cb2a108af,"CHARLTON, John A.",12858,0.5569,Progressive Conservative Party,"Farmer, veterinarian",,0,4,,,1,,,,,,,,,,1,1,2,2,9,9,2,2,9,1,2,2,2,2,9,1,9,9
352,LABELLE,Quebec,1892 - 1987,23,1957.06.10,397,1d4d038a-aefe-49a4-9186-aa1defc70ccd,"COURTEMANCHE, Henri",9406,0.539,Independent Progressive Conservative,Lawyer,,1,2,,,,,,,,,,,,,1,1,2,2,2,2,9,9,2,1,2,2,2,2,2,1,2,9
748,TRINITY,Ontario,1933 - 1987,23,1957.06.10,428,1f6ad92a-d937-48f3-9640-2bd76aa82544,"HAIDASZ, Stanley",7068,0.3666,Liberal Party of Canada,Physician,,0,1,,,,,,,,,,,,,1,1,2,2,9,9,2,9,9,1,9,2,2,1,9,9,1,1
384,LAVAL,Quebec,1947 - 1976,23,1957.06.10,4103,1f786e7e-544a-4527-9b52-d177b0af1951,"DEMERS, Leopold",26254,0.6061,Liberal Party of Canada,Agrologist,,1,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
281,HASTINGS--FRONTENAC,Ontario,1952 - 1966,23,1957.11.04,435,1fb0cee5-846d-4b1f-91d8-4e04271a7ef4,"SMITH, Sidney Earle",10513,0.9753,Progressive Conservative Party,"Dean, lawyer, teacher, university president",,0,1,,1,,,,,,,,,,,99,99,9,9,9,9,2,2,2,9,9,2,2,2,2,9,9,1
201,EDMONTON WEST,Alberta,1914 - 1987,23,1957.06.10,446,2094cd47-759f-4f54-8d75-9da36dd888a2,"LAMBERT, Marcel",14173,0.347,Progressive Conservative Party,Lawyer,,1,1,,,1,,,,,,,,,,1,1,2,9,2,2,9,2,2,1,2,9,2,2,9,9,9,1
522,OTTAWA WEST,Ontario,1933 - 1996,23,1957.06.10,451,20afcc72-88d0-433e-8b61-a7bcd98b2ec9,"MCILRAITH, George",19434,0.573,Liberal Party of Canada,"Barrister, lawyer",,0,5,,,,,,,,,,,,,1,1,2,2,2,2,2,9,2,9,1,9,2,1,9,9,9,1
487,NIPISSING,Ontario,1892 - 2003,23,1957.06.10,468,2236b2c9-14e1-4268-abd9-ae0c588ce1df,"GARLAND, John Richard",12528,0.5726,Liberal Party of Canada,"Journalist, manager, manufacturer",,0,3,,,,,,,,,,,,,1,1,9,9,9,9,9,9,9,9,9,2,2,1,2,1,9,1
235,GASPE,Quebec,1867 - 1996,23,1957.06.10,469,22691cc8-99a5-478f-9a90-cfbe8bd59516,"ENGLISH, Roland",10916,0.4902,Progressive Conservative Party,"Manufacturer, organizer, teacher",,1,1,,,,,,,,,,,,,1,1,9,9,9,9,9,9,2,1,2,2,2,2,2,1,2,1
778,VICTORIA,Ontario,1903 - 1966,23,1957.06.10,487,23a7a700-cb63-453a-9f72-9f556f34686c,"HODGSON, Clayton Wesley",14153,0.6503,Progressive Conservative Party,Lumber merchant,,0,4,,,1,,,,,,,,,,1,1,9,2,2,2,2,2,2,1,2,2,2,2,2,1,9,2
614,RIMOUSKI,Quebec,1867 - 1980,23,1957.06.10,499,2483630e-fc4c-430a-965d-01f22df62836,"LEGARE, Gerard",14642,0.6002,Liberal Party of Canada,"Editor, journalist, printer, publisher",,1,2,,,,,,,,,,,,,9,1,9,2,2,2,2,2,2,1,1,2,9,9,2,9,2,1
41,BEAUHARNOIS--SALABERRY,Quebec,1952 - 1966,23,1957.06.10,510,2564db19-f94d-4ff3-9c55-3b52003bddef,"CAUCHON, Robert",14030,0.6561,Liberal Party of Canada,Stenographer,,1,3,,,,,,,,,,,,,9,9,2,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9
223,FORT WILLIAM,Ontario,1924 - 1976,23,1957.06.10,533,273960a5-f067-4902-953e-30912d31347f,"MCIVOR, Dan",8552,0.3821,Liberal Party of Canada,Clergyperson,,0,6,,,,,,,,,Ireland,,,,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,9,1
848,YORK WEST,Ontario,1914 - ,23,1957.06.10,539,27b84d19-ac1e-40e2-9c06-e6f7e7fb20ce,"HAMILTON, John B.",27035,0.5555,Progressive Conservative Party,Barrister,,0,2,,,1,,,,,,,,,,1,1,2,9,9,9,2,2,2,1,2,2,2,2,2,1,2,9
626,RUSSELL,Ontario,1867 - 1966,23,1957.06.10,546,28478279-3e64-4bf5-88c5-a77a5e5707bd,"GOUR, Joseph-Omer",20673,0.5819,Liberal Party of Canada,"Farmer, merchant",,1,4,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,1,1,2,2,1,9,9,9,1
312,INVERNESS--RICHMOND,Nova Scotia,1933 - 1966,23,1957.06.10,560,29120c21-7fca-48fe-bd93-53ba86e83429,"MACEACHEN, Allan Joseph",8035,0.5282,Liberal Party of Canada,"Economist, professor",,0,2,,,,,,,,,,,,,1,1,2,9,9,9,2,2,9,9,9,2,2,1,2,1,1,1
430,MEADOW LAKE,Saskatchewan,1947 - 1976,23,1957.06.10,577,2a607277-8fd6-4d14-bbff-ad0897e6cc46,"HARRISON, John Hornby",4140,0.3245,Liberal Party of Canada,"Agent, merchant, trader",,0,3,,,,,,,,,England,,,,1,1,2,9,9,9,9,1,2,9,9,2,2,1,2,1,9,1
281,HASTINGS--FRONTENAC,Ontario,1952 - 1966,23,1957.06.10-1957.09.19,580,2a9ae8fb-7717-4e1b-980d-a158b2437895,"WHITE, George Stanley",11602,0.62,Progressive Conservative Party,"Barrister and solicitor, lawyer",,0,5,,,,,,,,,,Resignation. Called to the Senate: 1957.09.19,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
849,YORK--HUMBER,Ontario,1952 - 1966,23,1957.06.10,591,2b9a38f2-003f-4cb2-bfac-cd09ffcce2fc,"AITKEN, Margaret",18449,0.5197,Progressive Conservative Party,"Author, columnist, journalist",,0,2,,,,,,,,,,,,,1,1,2,2,9,9,2,2,2,1,9,2,2,2,9,1,2,9
619,ROSEDALE,Ontario,1933 - 1996,23,1957.06.10,594,2bc2f317-d0f5-4f2a-bf75-774028875d7e,"WALKER, David J.",12415,0.5428,Progressive Conservative Party,"Businessman, insurance agent",,0,1,,,1,,,,,,,,,,1,1,2,2,2,2,2,2,2,1,9,2,2,2,9,9,2,1
354,LAC-SAINT-JEAN,Quebec,1947 - 2000,23,1957.06.10,606,2d123090-f328-4f9a-a347-e37a3f3bc0d4,"GAUTHIER, Andre",10129,0.6138,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,1,1,2,2,9,9,2,2,2,1,9,2,2,1,9,9,9,1
217,ESSEX WEST,Ontario,1924 - 1966,23,1957.06.10,610,2d568860-5a4d-4225-b24d-37f0111ad012,"BROWN, Don",15180,0.4336,Liberal Party of Canada,"Barrister, lawyer",,0,4,,,,,,,,,,,,,9,2,9,9,9,9,2,1,2,1,9,2,2,1,9,9,9,9
394,LETHBRIDGE,Alberta,1914 - 1977,23,1957.06.10,615,2db22441-d3ea-4e76-8d18-f4753949bd74,"BLACKMORE, John Horne",10910,0.5302,Social Credit,"School principal, teacher",,0,6,,,,,,,,,United States,,,,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,1
683,SHERBROOKE,Quebec,1924 - ,23,1957.06.10,616,2df4baf0-e350-451a-9752-f08863983180,"GINGUES, Maurice",16324,0.6251,Liberal Party of Canada,"Knitter, merchant, real estate agent, real estate broker",,1,5,,,,,,,,,,,,,9,1,2,9,9,9,2,9,2,1,9,2,2,1,2,9,1,1
132,CHAPLEAU,Quebec,1933 - 1966,23,1957.06.10,622,2e59918e-57af-4474-9291-d42d280b6b46,"BARBES, Charles-Noel",11428,0.5081,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,1,2,2,2,2,2,2,2,9,1,1,2,2,1,2,1,2,1
373,LAPOINTE,Quebec,1947 - 1976,23,1957.06.10,661,315469ae-751c-4a50-8768-3be96d6efbd9,"BRASSARD, Augustin",13671,0.5251,Liberal Party of Canada,"Lawyer, secretary, teacher",,1,1,,,,,,,,,,,,,9,1,2,2,2,2,2,9,9,1,9,9,2,1,2,9,9,1
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,23,1957.06.10,675,31f9003f-61b2-46f3-8583-3537e0560943,"MACINNIS, Donald",14894,0.4039,Progressive Conservative Party,Miner,,0,1,,,,,,,,,,,,,1,1,2,2,2,2,2,9,2,1,9,2,2,2,2,9,2,1
685,SIMCOE EAST,Ontario,1882 - 1966,23,1957.06.10,686,329379c4-3b01-4b09-87ba-4c5de970dabc,"RYNARD, Philip Bernard",12497,0.5478,Progressive Conservative Party,"Physician, surgeon",,0,1,,,,,,,,,,,,,9,1,2,2,9,9,2,9,2,1,9,9,2,2,2,1,2,9
263,HALIFAX,Nova Scotia,1867 - ,23,1957.06.10,697,3339c35a-5f0e-4122-9fb3-eada7d8f5bf7,"MCCLEAVE, Robert",41140,0.2532,Progressive Conservative Party,"Dean, editor, journalist, judge, lawyer",,0,1,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
1127,SAINT-HENRI,Quebec,1952 - 1977,23,1957.06.10,714,3413bfe1-a1b8-4c3d-97e3-5ad40c4ab2c7,"BONNIER, Joseph-Arsene",12489,0.4912,Liberal Party of Canada,"Contractor, person of independent means, undertaker",,1,6,,,,,,,,,,,,,9,9,9,2,9,9,2,9,2,1,9,2,2,1,2,1,2,9
364,LAMBTON WEST,Ontario,1882 - 1966,23,1957.06.10,736,35a61aaf-7c98-4099-aa37-d5384b719315,"MURPHY, Joseph Warner",13096,0.4808,Progressive Conservative Party,"Farmer, gentleman, lawyer",,0,4,,,,,,,,,,,,,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
365,LAMBTON--KENT,Ontario,1933 - 1976,23,1957.06.10,748,369e6b82-3e40-4471-9422-3e5042908ee9,"CAMPBELL, Ernest John",9745,0.557,Progressive Conservative Party,Farmer,,0,1,,,,,,,,,,,,,1,1,2,2,9,9,2,2,2,1,2,2,2,2,2,1,2,1
424,MARQUETTE,Manitoba,1871 - 1976,23,1957.06.10,753,370da791-e7ce-4318-b030-1863dd5185ee,"MANDZIUK, Nicholas",9695,0.4381,Progressive Conservative Party,"Barrister, insurance broker, lawyer, solicitor, teacher",,0,1,,,,,,,,,Ukraine,,,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
