Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,YORK NORTH,Ontario,1867 - 2003,18,1935.10.14,1260,5c6d13ed-6be7-40bb-aa19-642b489d17de,"MULOCK, William Pate",9638,0.4855,Liberal Party of Canada,"Fruit grower, lawyer",,0,2,,,,,,,,,,,,,2,1,9,1,2,2,9,2,2,1,1,2,2,2,2,2,9,2,2,2,2,9,2,1,9,2,2,1,2,2,1,2,1,1,9,1,1,9,2,1,2,9,2
528,OXFORD,Ontario,1933 - ,18,1935.10.14,1265,5ce55de7-d2dd-4916-a4ab-0a9d644a9a9a,"RENNIE, Almon Secord",11438,0.4779,Liberal Party of Canada,"Gentleman, merchant",,0,2,,,,,,,,,,,,,2,1,2,1,2,2,1,9,9,9,9,9,2,2,1,9,9,2,2,2,2,9,2,1,1,9,9,9,2,2,1,2,1,1,2,1,9,9,9,9,9,9,2
318,JOLIETTE--L'ASSOMPTION--MONTCALM,Quebec,1933 - 1966,18,1935.10.14,1283,5dde948f-34aa-44fb-9205-893fc2e1ba4c,"FERLAND, Charles-Edouard",14087,0.7962,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,2,1,2,1,9,9,9,2,2,1,9,2,2,2,9,2,1,2,2,2,2,9,2,9,1,9,9,9,2,2,1,2,1,9,2,1,9,2,2,1,2,9,2
61,BRANDON,Manitoba,1892 - 1952,18,1935.10.14-1938.09.01,1297,5f11e096-b65a-473d-912d-4dd17984ea15,"BEAUBIER, David Wilson",6575,0.3892,Conservative (1867-1942),"Businessman, farmer",,0,2,,,,,,,,,,Died in office: 1938.09.01,,,9,1,2,2,2,2,9,2,1,1,9,1,9,1,2,1,9,9,1,1,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
822,WINNIPEG NORTH,Manitoba,1914 - 1997,18,1935.10.14,1301,5f73217f-27d7-4bec-9943-554ca0daade8,"HEAPS, Abraham Albert",12093,0.4216,Co-operative Commonwealth Federation,"Agent, upholsterer",,0,4,,,,,,,,,England,,,,1,2,1,1,2,1,2,2,2,9,1,1,9,1,2,1,9,1,1,1,1,9,2,2,9,1,1,2,1,1,2,2,1,2,1,1,2,9,9,9,2,1,2
396,LEVIS,Quebec,1867 - 1998,18,1935.10.14,1309,5fc11127-6221-488e-8a50-245110854a70,"DUSSAULT, Joseph-Etienne",8488,0.6722,Liberal Party of Canada,"Contractor, editor, industrialist",,1,3,,,,,,,,,,,,,2,1,9,1,2,2,9,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,9,9,1,9,9,9,2,2,9,2,1,9,2,1,9,9,9,1,9,9,9
590,QUEENS--LUNENBURG,Nova Scotia,1924 - 1947,18,1935.10.14,1362,63603592-a656-4876-8bc2-dceb6a41d1ca,"KINLEY, John James",10238,0.5187,Liberal Party of Canada,"Industrialist, pharmaceutical chemist",,0,1,,,,,,,,,,,,,2,1,2,1,9,9,1,9,9,9,9,2,2,2,9,2,1,2,2,2,2,2,9,1,9,2,2,1,2,2,1,9,9,1,2,1,9,9,9,1,2,9,2
831,WRIGHT,Quebec,1892 - 1947,18,1936.08.03,1363,637de48a-ed71-4008-b906-a8381850bc28,"LEDUC, Rodolphe",accl.,,Liberal Party of Canada,Dentist,,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,9,2,2,9,2,9,9,2,2,2,2,2,9,1,2,2,1,2,2,1,2,1,1,2,9,1,9,2,1,9,1,2
666,SASKATOON CITY,Saskatchewan,1933 - 1947,18,1939.12.18,1367,63e63ba4-497f-465c-94ff-a74c25aed54d,"BROWN, Walter George",10756,0.651,United Reform Movement,Minister,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
407,LOTBINIERE,Quebec,1867 - 2000,18,1937.12.27-1940.02.08,1390,6592aee2-9d14-4a5e-963c-510d06f68f44,"FRANCOEUR, Joseph-Napoleon",9910,0.6542,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,Resignation. Appointed Judge of the Court of King's Bench of Quebec: 1940.02.08,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,9,9,9,1,2,2,1,2,2,1,2,1,9,2,1,1,2,2,1,2,9,2
336,KING'S,Prince Edward Island,1892 - 1966,18,1935.10.14,1413,6792a121-6206-4847-a79d-bb270d5cc6a7,"GRANT, Thomas Vincent",5895,0.6106,Liberal Party of Canada,"Clerk, coroner, physician, teacher",,0,1,,,,,,,,,,,,,2,1,2,9,9,9,1,2,2,1,1,9,9,9,9,9,9,2,9,2,2,9,2,1,1,2,2,1,2,2,9,2,1,1,2,9,9,9,2,1,2,9,2
723,TERREBONNE,Quebec,1867 - 1996,18,1935.10.14,1424,6846aa67-d7a5-49d0-9f1e-42c07427ecae,"PARENT, Louis-Etienne",9900,0.6508,Liberal Party of Canada,"Industrialist, lumber merchant",,1,2,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,1,9,1,9,2,2,2,9,9,9,1,2,2,1,2,2,1,2,1,9,2,1,1,9,2,1,9,9,2
131,CHAMPLAIN,Quebec,1867 - 2003,18,1935.10.14,1449,6993af7d-05b9-4da7-ba4b-31fd3bf7e2b3,"BRUNELLE, Herve-Edgar",8172,0.5267,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,9,2,9,2,2,2,2,9,2,9,9,2,2,1,9,9,9,2,1,9,2,1,1,2,2,9,9,9,9
564,PRINCE,Prince Edward Island,1903 - 1966,18,1935.10.14-1939.10.28,1453,69d2b29f-abec-4ff0-bf0e-2a7e2bd02ddf,"MACLEAN, Alfred Edgar",9233,0.6458,Liberal Party of Canada,"Farmer, rancher, trader",,0,5,,,,,,,,,,Died in office: 1939.10.28,,,2,9,2,1,2,2,9,2,2,1,1,2,2,9,1,2,9,2,2,2,2,9,2,1,9,9,9,9,2,2,1,2,9,1,2,1,9,9,9,1,9,9,9
858,YUKON,Yukon,1902 - 1947,18,1935.10.14,1456,6a3cb3cf-befb-4d93-8a69-ce71923d6ff9,"BLACK, Martha Louise",696,0.5564,Independent Conservative,"Author, homemaker",,0,1,,,,,,,,,United States,,,,9,9,2,2,2,2,9,2,2,9,2,1,2,9,9,9,1,9,1,1,2,1,9,2,9,2,1,2,9,9,9,1,1,1,1,9,1,9,9,9,9,1,2
431,MEDICINE HAT,Alberta,1907 - ,18,1935.10.19,1460,6a8ee615-9a99-401e-a149-d88bbca7e7af,"MITCHELL, Archibald Hugh",6752,0.5213,Social Credit,Farmer,,0,1,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,1,2,9,9,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,9,9,9,9,9,2,1,1,2,9,9,9
619,ROSEDALE,Ontario,1933 - 1996,18,1935.10.14,1492,6d0c8a19-be0f-49cd-8fdc-020ad3a842fe,"CLARKE, Harry Gladstone",9491,0.4026,Conservative (1867-1942),"Gentleman, insurance agent",,0,1,,,,,,,,,,,,,2,1,2,2,2,2,9,2,1,1,2,1,2,1,2,1,1,1,1,1,1,9,1,2,2,2,1,2,2,1,2,9,1,1,1,2,1,1,1,9,9,9,2
562,PORTNEUF,Quebec,1867 - 2004,18,1935.10.14-1936.01.14,1503,6d7aad3a-b476-424b-8f8f-8ece71f89882,"CANNON, Hon. Lucien",5981,0.3863,Liberal Party of Canada,Lawyer,,1,5,,,,,,,,,,Resignation. Appointed Judge of the Superior Court of Qubec: 1936.01.14,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
328,KENT,Ontario,1914 - 1966,18,1935.10.14-1939.02.27,1507,6db73a6e-5e29-42ac-ae6a-415f6ee7c3a3,"RUTHERFORD, James Warren",11281,0.5979,Liberal Party of Canada,"Physician, surgeon",,0,3,,,,,,,,,,Died in office: 1939.02.27,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99
764,VANCOUVER SOUTH,British Columbia,1914 - 1996,18,1935.10.14,1512,6dec82d6-fab3-438b-b40f-c7720a93d8c1,"GREEN, Howard Charles",9491,0.3069,Conservative (1867-1942),Barrister,,0,1,,,,,,,,,,,,,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,9,1,1,1,1,2,2,2,1,2,2,1,2,9,1,2,1,2,9,1,1,2,2,1,2
645,ST. JOHNS--IBERVILLE--NAPIERVILLE,Quebec,1933 - 1947,18,1935.10.14,1545,706d30b6-787c-40d0-aa68-81075c7ff522,"RHEAUME, Martial",9422,0.8739,Liberal Party of Canada,Butcher and meat cutter,,1,2,,,,,,,,,,,,,2,1,9,1,9,2,9,2,2,9,9,2,2,2,1,2,9,9,2,2,2,2,2,9,1,2,2,1,2,2,1,2,1,9,2,1,1,9,2,1,9,9,2
614,RIMOUSKI,Quebec,1867 - 1980,18,1935.10.14-1939.12.13,1561,71af9d62-c992-4c6b-a2b9-30ba0cf75966,"FISET, Sir Eugene",9238,0.6386,Liberal Party of Canada,"Person of independent means, physician, surgeon",,1,5,,,,,,,,,,Resignation. Appointed Lieutenant-Governor of Quebec: 1939.12.13,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,9,9,2,9,2,2,9,2,1,9,2,2,1,9,9,9,2,1,9,2,1,9,9,2,1,9,9,2
269,HAMILTON EAST,Ontario,1903 - 2003,18,1935.10.14,1571,72301392-358f-43d7-8b68-608085a933ee,"BROWN, Albert A.",10078,0.359,Conservative (1867-1942),"Barrister, lawyer, professional football player",,0,1,,,,,,,,,,,,,9,1,2,2,2,2,9,9,9,1,9,9,2,1,2,9,9,9,1,1,1,9,9,9,9,2,1,2,9,9,2,9,9,9,1,2,9,9,1,2,9,9,2
348,KOOTENAY WEST,British Columbia,1914 - 1987,18,1935.10.14,1579,7289333e-9b18-4136-9210-28bebf7b5017,"ESLING, William Kemble",4995,0.4221,Conservative (1867-1942),"Agent, newspaper publisher",,0,4,,,,,,,,,United States,,,,2,1,2,2,2,2,9,2,1,9,2,1,2,1,9,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2
230,FRONTENAC--ADDINGTON,Ontario,1924 - 1952,18,1937.11.01,1637,7694530d-6e08-410f-b37d-8507990d5377,"MCCALLUM, Angus Neil",accl.,,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,9,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
855,YORK--SUNBURY,New Brunswick,1914 - 1987,18,1935.10.14,1644,76eaca3b-9405-4328-ba70-83c44093f5c4,"CLARK, W.G.",9296,0.4685,Liberal Party of Canada,Merchant,,0,1,,,,,,,,,,,,,9,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,9,2,2,2,2,9,1,1,2,2,1,2,2,1,9,9,1,2,1,9,2,2,1,2,9,2
655,ST. MARY,Quebec,1892 - 1947,18,1935.10.14,1665,7823773e-c76d-4b06-a5b5-c5c775718966,"DESLAURIERS, Hermas",18479,0.5734,Liberal Party of Canada,Physician,,1,6,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,9,9,2,2,9,9,2,2,1,2,2,1,2,1,1,2,1,9,2,2,9,2,9,2
538,PEEL,Ontario,1867 - 1966,18,1935.10.14,1682,795045ac-0a2d-489d-aac6-1477f9c815d1,"GRAYDON, Gordon",7132,0.4465,Conservative (1867-1942),"Barrister, lawyer, solicitor",,0,1,,,,,,,,,,,,,2,1,2,2,2,2,9,2,1,9,2,1,2,1,9,1,1,1,1,1,1,1,1,9,2,2,1,2,2,1,2,1,1,9,9,2,9,1,1,2,9,1,2
471,MUSKOKA--ONTARIO,Ontario,1924 - 1947,18,1935.10.14,1703,7aa0abf2-5f52-4068-a97d-25b6a870eda1,"FURNISS, Stephen Joseph",8183,0.472,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,9,2,1,9,2,9,1,9,2,1,2,1,2
352,LABELLE,Quebec,1892 - 1987,18,1935.10.14,1712,7b7a1667-f768-454a-b262-8018665ad0f0,"LALONDE, Maurice",7280,0.5736,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,2,2,2,1,9,9,2,2,2,2,2,9,9,1,2,2,1,9,9,1,9,1,9,2,1,9,9,2,1,2,9,9
698,ST. BONIFACE,Manitoba,1924 - 1947,18,1935.10.14,1719,7bbf3d8c-bf7e-4a23-9a8e-a716f6c61d8d,"HOWDEN, John Power",7353,0.5682,Liberal Party of Canada,Physician,,0,4,,,,,,,,,,,,,2,1,2,9,2,2,1,2,2,1,1,9,2,9,2,2,9,2,2,2,2,2,9,1,1,9,9,9,2,2,1,2,9,9,2,1,9,9,9,9,9,9,2
327,KENT,New Brunswick,1867 - 1966,18,1935.10.14,1735,7c81af1f-bca1-45d6-a248-3db1d7f90609,"ROBICHAUD, Louis Prudent Alexandre",6504,0.6818,Liberal Party of Canada,Barrister,,1,1,,,,,,,,,,,,,2,9,2,9,2,2,1,2,2,1,1,2,9,2,9,2,1,2,2,2,2,9,9,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
512,ONTARIO,Ontario,1924 - 1996,18,1935.10.14,1771,804da642-0e5b-4688-bee6-0d23b1bbb6dd,"MOORE, William Henry",10228,0.492,Liberal Party of Canada,"Farmer, lawyer",,0,2,,,,,,,,,,,,,9,9,2,9,9,9,9,9,2,1,1,9,9,1,9,9,9,9,2,2,2,9,9,9,9,9,9,9,2,2,1,9,9,9,2,9,9,2,2,9,2,9,9
398,LINCOLN,Ontario,1903 - 1996,18,1935.10.14,1775,8071f7cb-6056-4879-99dc-e913be0cb2ec,"LOCKHART, Norman James Macdona",11398,0.4366,Conservative (1867-1942),Merchant,,0,1,,,,,,,,,,,,,2,1,9,2,9,9,2,2,1,9,9,1,2,1,9,1,1,1,1,1,1,9,1,2,2,2,1,2,2,1,2,1,1,1,1,2,9,1,1,9,9,9,9
772,VERDUN,Quebec,1933 - 1947,18,1935.10.14,1776,80756127-6320-4727-90a4-8ace8ff96ca3,"WERMENLINGER, Edgar-Jules",5602,0.2239,Conservative (1867-1942),"Civil engineer, merchant",,0,1,,,,,,,,,,,,,2,9,9,2,2,2,9,2,2,9,9,1,9,1,2,9,9,9,1,9,9,1,1,9,1,2,1,2,2,1,9,1,1,1,9,2,1,9,1,9,2,9,2
440,MIDDLESEX EAST,Ontario,1867 - 1966,18,1935.10.14,1781,80c4694b-1dd4-413e-a15a-989b16f74db2,"ROSS, Duncan Graham",7151,0.4501,Liberal Party of Canada,Merchant,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,2,2,9,2,9,9,9,2,2,9,9,9,1,9,9,9,9,9,1,2,1,9,9,1,1,9,9,1,2,9,9
608,RICHELIEU--VERCHERES,Quebec,1933 - 1966,18,1935.10.14,1794,813dc256-6e33-4184-9974-dd19238a9aaf,"CARDIN, Hon. Pierre-Joseph-Arthur",11022,0.7641,Liberal Party of Canada,Lawyer,,1,7,,1,,,,,,,,,,,2,9,9,1,2,2,9,2,2,1,1,2,2,2,9,2,9,9,9,2,2,2,9,9,9,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,2,1,2
400,LISGAR,Manitoba,1871 - 1987,18,1935.10.14,1804,81c6273a-3e4d-4184-a386-e74f813aaac8,"WINKLER, Howard Waldemar",4973,0.4879,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,1,2,1,2,2,2,2,9,9,1,1,2,2,1,2,2,9,2,1,1,2,1,9,9,2,1,2,1,2
437,MELVILLE,Saskatchewan,1924 - 1966,18,1935.10.14,1806,81e9d110-f6b1-4643-a4a5-d110dba9135f,"MOTHERWELL, Hon. William Richard",8726,0.4754,Liberal Party of Canada,Farmer,,0,5,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,9,9,9,9,9,2,2,2,2,2,9,1,9,2,2,1,2,2,1,9,9,9,2,1,1,9,2,2,9,9,2
47,BERTHIER--MASKINONGE,Quebec,1924 - 1952,18,1935.10.14,1811,8241a718-8670-4462-9e71-08c9ea6fc145,"FERRON, J-Emile",8459,0.5472,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,9,1,2,2,1,2,2,9,2,1,1,2,1,1,2,2,1,9,9,9
198,EDMONTON EAST,Alberta,1914 - 2000,18,1935.10.14-1938.01.26,1821,82aeea31-865f-4b1a-8f30-2136e9297b4e,"HALL, William Samuel",5721,0.3529,Social Credit,Dentist,,0,1,,,,,,,,,,Died in office: 1938.01.26,,,2,2,9,9,1,2,9,9,9,9,1,9,1,9,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
845,YORK EAST,Ontario,1933 - 1987,18,1935.10.14,1852,84b55602-3be7-4f1f-bb26-c4fdcb3bdd11,"MCGREGOR, Robert Henry",11634,0.3478,Conservative (1867-1942),"Contractor, gardener",,0,3,,,,,,,,,,,,,9,1,2,2,2,2,1,2,1,2,2,1,2,1,9,1,9,1,1,1,1,1,9,2,2,2,1,2,2,1,2,1,1,9,1,2,1,1,1,2,2,1,2
622,ROSETOWN--BIGGAR,Saskatchewan,1933 - 1966,18,1935.10.14,1861,85a45525-d20a-41db-8c2a-1b91c360656b,"COLDWELL, Major James",6806,0.4469,Co-operative Commonwealth Federation,"Author, gentleman, principal, teacher",,0,1,,,,,,,,,England,,,,1,2,1,1,2,1,9,1,1,2,1,1,1,1,2,9,9,1,1,1,1,9,9,9,9,1,1,2,1,1,2,2,1,2,1,1,9,1,1,2,2,1,2
313,JACQUES CARTIER,Quebec,1867 - 1952,18,1935.10.14-1939.04.17,1871,86a005af-94be-430c-8107-bce88f870a8e,"MALLETTE, Joseph-Leon-Vital",7309,0.4575,Liberal Party of Canada,"Miller, secretary-treasurer",,1,1,,,,,,,,,,Died in office: 1939.04.17,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,2,9,2,2,2,2,2,2,9,1,2,2,1,2,2,9,2,1,1,2,1,1,99,99,99,99,99,99
386,LAVAL--TWO MOUNTAINS,Quebec,1914 - 1949,18,1935.10.14,1872,86a624bc-69e6-4134-9a05-ba60c0113aab,"LACOMBE, Liguori",6551,0.5678,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,2,2,2,1,2,9,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,2,9,9,9,9,9
157,COMPTON,Quebec,1867 - 1947,18,1935.10.14,1874,86cdb90c-8049-4642-8b59-ba1d2f99d892,"BLANCHETTE, Joseph-Adeodat",7388,0.5368,Liberal Party of Canada,Merchant,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,9,2,2,9,1,2,2,2,2,2,9,2,2,2,2,2,9,1,1,2,2,1,2,2,9,2,1,9,2,9,9,2,2,1,2,9,9
206,ELGIN,Ontario,1933 - 1990,18,1935.10.14,1895,883e950d-37a3-4980-9fc8-9b112eeae713,"MILLS, Wilson Henry",11295,0.4999,Liberal Party of Canada,"Farmer, fruit grower",,0,2,,,,,,,,,,,,,9,1,9,1,2,2,9,2,2,1,1,9,9,2,9,2,9,9,2,2,2,9,2,9,9,9,9,9,9,9,1,2,1,1,9,9,9,2,2,9,9,9,2
51,BONAVENTURE,Quebec,1867 - 1971,18,1935.10.14-1937.01.29,1896,8844037f-c912-404d-a505-6bf56321dd9a,"MARCIL, Hon. Charles",8498,0.5888,Liberal Party of Canada,Journalist,,1,10,,,,,,,,,,Died in office: 1937.01.29,,,9,9,2,9,9,9,9,9,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
263,HALIFAX,Nova Scotia,1867 - ,18,1935.10.14,1914,895c4cad-3c13-40aa-a4f8-6c40237c8f59,"FINN, Robert Emmett",23312,0.2719,Liberal Party of Canada,"Barrister, lawyer",,0,2,,,,,,,,,,,,,9,1,2,1,2,2,1,9,9,9,1,9,2,9,9,9,9,2,2,9,9,2,9,9,9,9,9,9,2,2,1,9,9,1,2,1,9,9,9,9,9,1,9
315,JASPER--EDSON,Alberta,1933 - 1966,18,1935.10.14,1921,89fd07b7-fffb-4fe0-af27-59f1d5a94e62,"KUHL, Walter Frederick",7208,0.491,Social Credit,Teacher,,0,1,,,,,,,,,,,,,2,2,1,1,1,2,9,1,1,2,1,1,1,1,2,1,2,1,1,2,1,9,9,2,9,1,1,2,1,1,2,2,1,2,1,1,2,9,1,2,1,9,1
103,CALGARY WEST,Alberta,1914 - 1952,18,1939.09.18,1945,8b84a5d4-1264-4bdb-b3fd-79bff5c59760,"CUNNINGTON, Douglas George Leopold",accl.,,Conservative (1867-1942),"Author, correspondent, newspaper editor, newspaper owner",,0,1,,,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
648,ST. LAWRENCE--ST. GEORGE,Quebec,1914 - 1947,18,1935.10.14,1950,8c3c5f1e-ca27-4173-b0cf-e45c76058ebe,"CAHAN, Charles Hazlitt",6862,0.4895,Conservative (1867-1942),"Counsel, lawyer, newspaper editor",,0,4,,,,,,,,,,,,,2,9,2,2,2,2,1,2,2,1,9,9,2,1,2,1,9,1,1,1,1,9,9,2,9,2,1,2,2,1,9,9,9,9,9,2,9,9,9,9,2,2,2
625,ROYAL,New Brunswick,1914 - 1966,18,1935.10.14,1953,8c51ae75-79fc-49b3-8235-510e727a7dad,"BROOKS, Alfred J.",7474,0.4775,Conservative (1867-1942),"Barrister, teacher",,0,1,,,,,,,,,,,,,2,1,9,2,2,2,2,2,1,1,2,9,9,1,2,1,1,9,1,1,1,1,1,9,2,2,1,2,2,1,9,1,1,9,1,2,9,1,1,2,9,9,2
365,LAMBTON--KENT,Ontario,1933 - 1976,18,1935.10.14,1962,8cf4c9d2-88c2-4c4a-b5d5-2a6c5bcebc07,"MCKENZIE, Hugh Alexander",6744,0.4449,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,9,9,2,2,9,2,2,2,2,2,2,2,2,9,1,2,2,1,2,2,1,2,1,1,9,1,9,9,2,1,9,1,2
686,SIMCOE NORTH,Ontario,1867 - ,18,1935.10.14,1966,8d197c55-d298-40c1-b274-671f327a2bae,"MCCUAIG, Duncan Fletcher",7244,0.5008,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,1,9,1,2,2,1,2,2,1,9,1,2,2,9,2,9,2,2,9,9,9,2,1,1,2,2,1,2,2,1,9,9,1,2,9,9,9,9,1,2,9,9
435,MEGANTIC--FRONTENAC,Quebec,1933 - 1947,18,1935.10.14,1998,8f7d3a4d-4568-4969-94f2-d6b8b2df15d9,"ROBERGE, Eusebe",8619,0.5339,Liberal Party of Canada,Merchant,,1,5,,,,,,,,,,,,,2,1,9,1,2,2,1,2,2,1,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2
780,VICTORIA,British Columbia,1924 - ,18,1937.11.29,2015,90d6e5ac-2c11-4268-b248-88253c330c2a,"MAYHEW, Robert Wellington",9493,0.4006,Liberal Party of Canada,Industrialist,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,1,1,2,1,1,9,2,1,9,9,9
320,KAMLOOPS,British Columbia,1933 - 1966,18,1935.10.14,2092,9611dea6-ce2a-49a9-886a-7755bf4ef21f,"O'NEILL, Thomas James",4190,0.3752,Liberal Party of Canada,Locomotive engineer,,0,1,,,,,,,,,,,,,2,9,2,9,9,9,9,9,9,9,9,2,2,2,9,2,2,2,2,2,2,1,1,1,9,2,2,1,2,2,1,2,1,1,2,1,9,1,2,1,2,9,2
824,WINNIPEG SOUTH,Manitoba,1914 - 1976,18,1935.10.14,2104,96d3f989-75c3-41f6-9e25-2d6cd12ef0a3,"MUTCH, Leslie Alexander",10871,0.4395,Liberal Party of Canada,"Advertising executive, agent, teacher",,0,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,1,2,1,9,9,2,2,9,9,1,1,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,9,1,2
831,WRIGHT,Quebec,1892 - 1947,18,1935.10.14-1936.06.28,2112,97506db1-a520-445c-8df7-11933204bbb5,"PERRAS, Fizalam-William",5945,0.5605,Liberal Party of Canada,Lumber merchant,,0,4,,,,,,,,,,Died in office: 1936.06.28,,,2,9,2,9,2,2,1,9,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
