Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,WELLINGTON NORTH,Ontario,1867 - 1952,18,1935.10.14,293,15d2a1ed-71cc-41ad-a359-69ee5412750f,"BLAIR, John Knox",7063,0.5508,Liberal Party of Canada,"Physician, teacher",,0,2,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,9,1,1,2,2,1,9,9,2
632,ST. DENIS,Quebec,1914 - 1947,18,1935.10.14,298,1647b84c-1764-48b8-a6af-5e29cbded7d7,"DENIS, Azellus",19047,0.6266,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,1,9,1,2,2,9,2,2,1,1,2,2,2,9,2,1,2,2,2,2,9,2,9,1,2,2,1,2,2,9,2,1,1,2,1,9,2,2,9,9,9,2
555,PORT ARTHUR,Ontario,1933 - 1976,18,1935.10.14,310,1716566b-edef-40b2-9552-49510618c3bb,"HOWE, Clarence Decatur",6591,0.53,Liberal Party of Canada,"Civil engineer, consulting engineer, professor",,0,1,,1,,,,,,,United States,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,2,1,2,2,2,2,2,2,1,9,2,2,1,9,9,1,9,1,9,9,1,1,9,2,1,9,9,2
150,COCHRANE,Ontario,1933 - 1976,18,1935.10.14,312,17232084-6a45-4ebd-bd5d-cab516ff3bfd,"BRADETTE, Joseph Arthur",12719,0.6502,Liberal Party of Canada,"Farmer, merchant",,1,3,,,,,,,,,,,,,2,9,2,1,2,2,9,9,9,9,9,2,2,2,9,9,9,2,2,2,2,9,2,1,1,9,9,9,2,2,1,2,1,1,2,1,9,2,2,1,2,9,9
61,BRANDON,Manitoba,1892 - 1952,18,1938.11.14,334,1843efa3-f3ae-41d8-a3eb-e1938a2fd457,"MATTHEWS, James Ewen",6583,0.4177,Liberal Party of Canada,"Insurance agent, journalist, teacher",,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,9,2,1,1,2,1,9,9,2,9,9,9,2
856,YORKTON,Saskatchewan,1924 - 1966,18,1935.10.14,343,18b8cc86-9739-4ae6-84d6-27c2ad62b115,"MCPHEE, George Washington",7491,0.4201,Liberal Party of Canada,"Barrister, crown prosecutor",,0,4,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,9,9,2,2,2,2,2,9,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
308,HURON--PERTH,Ontario,1933 - 1952,18,1935.10.14,353,19b57531-d55f-4ce5-9bb6-5a6b5c119570,"GOLDING, William H.",6260,0.5801,Liberal Party of Canada,Machinist,,0,2,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,9,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,9,2
489,NORFOLK,Ontario,1933 - 1966,18,1935.10.14,358,1a32ab2a-7522-4e79-8458-5338b67ab725,"TAYLOR, William Horace",7623,0.529,Liberal Party of Canada,Farmer,,0,3,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,9,9,2,1,2,2,2,2,2,9,9,1,2,2,1,2,2,1,9,1,9,2,1,9,9,9,1,9,9,2
255,GREY--BRUCE,Ontario,1933 - 1966,18,1935.10.14,399,1d6a8f18-7d15-4909-b0f5-88f9b514f20a,"MACPHAIL, Agnes C.",7210,0.3997,United Farmers of Ontario-Labour,"Farmer, teacher",,0,5,,,,,,,,,,,,,1,9,9,1,9,1,2,1,1,2,2,9,1,1,9,1,2,9,1,9,9,1,9,2,9,1,1,2,1,1,9,2,1,2,1,9,9,9,1,9,9,1,2
666,SASKATOON CITY,Saskatchewan,1933 - 1947,18,1935.10.14-1939.07.09,401,1dae37f1-a2e5-4fa6-aa14-5877460dc660,"YOUNG, Alexander MacGillivray",7690,0.3998,Liberal Party of Canada,Physician,,0,3,,,,,,,,,,Died in office: 1939.07.09,,,2,1,9,1,2,2,1,2,2,1,9,2,2,2,2,2,1,2,2,2,2,9,9,9,9,9,9,9,2,2,1,2,1,1,2,1,9,2,2,1,9,1,99
564,PRINCE,Prince Edward Island,1903 - 1966,18,1940.01.02,412,1e31f4aa-36bd-40a6-a784-7d94f0e97979,"RALSTON, James Layton",accl.,,Liberal Party of Canada,Barrister,,0,3,,1,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
