Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H16S1V001,H16S1V002,H16S1V003,H16S1V004,H16S1V005,H16S1V006,H16S1V007,H16S1V008,H16S1V009,H16S1V010,H16S1V011,H16S1V012,H16S1V013,H16S1V014,H16S1V015,H16S1V016,H16S1V017,H16S2V001,H16S2V002,H16S2V003,H16S2V004,H16S2V005,H16S2V006,H16S2V007,H16S2V008,H16S2V009,H16S2V010,H16S2V011,H16S2V012,H16S2V013,H16S2V014,H16S2V015,H16S2V016,H16S2V017,H16S2V018,H16S2V019,H16S2V020,H16S2V021,H16S2V022,H16S2V023,H16S2V024,H16S3V001,H16S3V002,H16S3V003,H16S3V004,H16S3V005,H16S3V006,H16S3V007,H16S3V008,H16S3V009,H16S3V010,H16S3V011,H16S3V012,H16S3V013,H16S3V014,H16S3V015,H16S3V016,H16S3V017,H16S3V018,H16S3V019,H16S3V020,H16S3V021,H16S3V022,H16S3V023,H16S3V024,H16S3V025,H16S3V026,H16S3V027,H16S3V028,H16S4V001,H16S4V002,H16S4V003,H16S4V004,H16S4V005,H16S4V006,H16S4V007,H16S4V008,H16S4V009,H16S4V010,H16S4V011,H16S4V012,H16S4V013,H16S4V014,H16S4V015,H16S4V016,H16S4V017,H16S4V018,H16S4V019,H16S4V020,H16S4V021,H16S4V022,H16S4V023,H16S4V024,H16S4V025
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.14.1927,03.02.1927,03.02.1927,03.07.1927,03.15.1927,03.17.1927,03.17.1927,03.23.1927,03.28.1927,03.28.1927,04.05.1927,04.11.1927,04.13.1927,04.13.1927,04.13.1927,04.13.1927,04.14.1927,03.13.1928,03.13.1928,03.14.1928,03.14.1928,03.20.1928,03.27.1928,03.29.1928,04.26.1928,04.26.1928,04.27.1928,05.02.1928,05.09.1928,05.09.1928,05.09.1928,05.11.1928,05.15.1928,05.16.1928,05.16.1928,05.18.1928,05.21.1928,05.22.1928,05.23.1928,05.26.1928,06.09.1928,02.14.1929,02.19.1929,02.21.1929,02.21.1929,02.26.1929,02.28.1929,03.06.1929,04.11.1929,04.11.1929,04.11.1929,04.15.1929,04.15.1929,04.15.1929,04.16.1929,04.16.1929,04.23.1929,05.01.1929,05.14.1929,05.14.1929,05.16.1929,05.22.1929,05.23.1929,05.31.1929,06.10.1929,06.11.1929,06.11.1929,06.14.1929,06.14.1929,03.03.1930,03.04.1930,03.10.1930,03.11.1930,03.13.1930,03.18.1930,03.18.1930,03.25.1930,03.25.1930,03.27.1930,03.27.1930,04.01.1930,04.01.1930,04.08.1930,04.28.1930,04.28.1930,05.06.1930,05.06.1930,05.06.1930,05.06.1930,05.13.1930,05.15.1930,05.15.1930,05.15.1930,05.28.1930
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,KINDERSLEY,Saskatchewan,1914 - 1966,16,1926.09.14,251,12d60483-a079-4161-ac90-f451a1581cfc,"CARMICHAEL, Archibald M.",5540,0.5098,Progressive,"Farmer, minister, teacher",,0,3,,,,,,,,,,,,,1,1,2,1,2,2,1,2,1,2,1,1,9,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,9,1,2,9,2,1,2,1,2,1,2,9,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,9,9,9,2,2,1,9,2,9,9,9,9,2,1,1,9,9,2,9,1,1,9,9,9,9,1,9,9,1,1,2,2,9,1,2,2,1
152,COLCHESTER,Nova Scotia,1867 - 1933,16,1926.09.14,294,15d50b80-abbc-4331-a609-a57c74e93cb9,"MACNUTT, George T.",6067,0.5997,Conservative (1867-1942),"Contractor, lumber merchant",,0,2,,,,,,,,,,,,,9,2,2,1,1,1,2,9,1,2,1,1,9,2,1,1,1,2,1,2,2,2,9,9,9,9,9,1,1,9,9,1,1,1,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,2,1,9,2,2,2,2,1,1,9,2,1,2,1
479,NEW WESTMINSTER,British Columbia,1872 - 1976,16,1926.09.14,309,16dc5348-21c1-425b-aab3-26e16d448fdb,"MCQUARRIE, William Garland",8624,0.4651,Conservative (1867-1942),"Barrister, lawyer",,0,4,,,,,,,,,,,,,9,2,2,9,1,1,2,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,9,9,1,1,9,1,1,2,2,9,1,9,9,2,9,2,1,9,9,2,1,1,1,1,2,1,2,1,2,1,1,9,1,1,9,1,9,9,1,9,2,9,9,9,9,9,9,1,1,1,1,2,1,2,1,2,1,2,2,1,1,9,9,9,9,9,9,9,2,1,2,1
732,TIMISKAMING NORTH,Ontario,1924 - 1933,16,1926.09.14,312,17232084-6a45-4ebd-bd5d-cab516ff3bfd,"BRADETTE, Joseph",8707,0.5355,Liberal Party of Canada,"Farmer, merchant",,1,1,,,,,,,,,,,,,2,2,1,2,9,2,2,2,2,1,2,2,1,9,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,9,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,9,9,9,2,2,2,2,9,9,2,2,1,9,1,9,9,9,9,1,1,2,2,1,2,1,1,1,2,2,1,2,9,1,9,1,1,2,2,2,2,2,1,1
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,16,1926.09.14,321,177a65fd-a518-4af6-ae02-6b1b29546f4f,"MACDONALD, Finlay",8924,0.5819,Conservative (1867-1942),Barrister,,0,2,,,,,,,,,,,,,2,2,2,1,9,1,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,2,9,9,1,1,9,1,9,9,1,1,9,1,1,1,1,2,1,2,9,2,9,1,1,9,9,1,9,9,9,9,9,9,9,1,1,9,9,9,9,1,9,1,1,2,2,9,9,9,1,9,9,9,9,9,1,9,9,9,2,2,9,9,9,9,9,9,9,9,2,9,1,9
529,OXFORD NORTH,Ontario,1867 - 1933,16,1926.09.14,330,17d6d249-d844-4208-8c2e-6b09abd28c0c,"ALLAN, Hugh",6565,0.5146,Liberal Party of Canada,"Clerk, conveyancer, notary",,0,1,,,,,,,,,,,,,2,2,1,9,1,2,2,1,2,1,2,9,1,1,2,2,2,2,2,1,1,9,2,1,2,2,2,1,2,9,1,9,1,2,2,1,9,1,2,9,9,2,2,2,2,9,9,2,2,2,1,9,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,9,9,2,9,9,2,1,1,1,1,2,2,9,9,9,9,9,1,1,2,2,9,2,2,1,2
343,KINGSTON CITY,Ontario,1924 - 1952,16,1926.09.14,331,17d9fbdf-1bc5-4137-ac59-4e782464990f,"ROSS, Arthur Edward",6256,0.5998,Conservative (1867-1942),"Physician, professor",,0,3,,,,,,,,,,,,,9,2,2,1,9,1,2,9,1,2,1,1,1,2,1,1,1,2,1,2,2,9,2,1,1,1,1,1,1,9,9,1,2,1,1,9,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,9,1,9,1,1,1,1,2,2,1,1,2,1,9,9,9,1,1,9,1,1,9,2,1,2,1,2,1,2,2,1,1,9,9,2,2,9,9,9,9,9,9,1
856,YORKTON,Saskatchewan,1924 - 1966,16,1926.09.14,343,18b8cc86-9739-4ae6-84d6-27c2ad62b115,"MCPHEE, George Washington",4421,0.5862,Liberal Party of Canada,"Barrister, crown prosecutor",,0,2,,,,,,,,,,,,,2,2,1,9,1,2,2,2,2,1,2,1,9,1,2,2,2,2,2,1,1,1,2,9,2,2,9,1,2,2,1,2,1,2,2,2,2,2,2,9,9,2,2,2,2,1,9,2,2,2,1,1,1,1,1,2,2,2,2,2,9,9,9,9,9,9,9,1,1,9,2,2,1,2,1,1,9,2,9,9,9,1,9,9,9,9,9,9,9,9,2,2,1,2
632,ST. DENIS,Quebec,1914 - 1947,16,1926.09.14,349,19361366-c528-430b-9bee-470c51580e81,"DENIS, Joseph-Arthur",21497,0.8155,Liberal Party of Canada,Physician,,1,3,,,,,,,,,,,,,2,2,1,9,1,9,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,9,9,9,2,2,2,1,9,1,2,2,2,2,1,2,9,2,2,2,2,2,2,1,2,2,2,1,9,9,2,2,2,2,2,9,9,2,2,2,9,9,9,9,9,9,1,1,2,2,1,2,1,1,1,9,9,1,2,2,1,1,1,1,2,2,2,2,2,1,2
492,NORFOLK--ELGIN,Ontario,1924 - 1933,16,1926.09.14,358,1a32ab2a-7522-4e79-8458-5338b67ab725,"TAYLOR, William Horace",8568,0.5016,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,2,1,9,1,2,2,2,2,1,2,9,1,1,2,2,2,2,2,1,1,1,2,1,2,2,9,1,9,2,1,9,9,2,2,2,9,9,9,9,9,2,9,2,2,2,9,2,9,9,9,9,9,9,1,2,2,2,2,2,2,2,2,9,9,9,9,1,1,9,2,9,2,2,2,1,1,1,2,2,1,2,2,9,9,9,1,2,2,9,2,2,1,2
