Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H15S1V001,H15S1V002,H15S1V003,H15S1V004,H15S1V005,H15S1V006,H15S1V007,H15S1V008,H15S1V009,H15S1V010,H15S1V011,H15S1V012,H15S1V013,H15S1V014,H15S1V015,H15S1V016,H15S1V017,H15S1V018,H15S1V019,H15S1V020,H15S1V021,H15S1V022,H15S1V023,H15S1V024,H15S1V025,H15S1V026,H15S1V027
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,01.15.1926,02.01.1926,02.02.1926,02.03.1926,02.05.1926,02.05.1926,02.08.1926,02.16.1926,03.02.1926,03.02.1926,03.03.1926,05.06.1926,05.19.1926,05.19.1926,05.19.1926,06.01.1926,06.16.1926,06.16.1926,06.25.1926,06.26.1926,06.26.1926,06.26.1926,06.29.1926,06.30.1926,06.30.1926,06.30.1926,07.02.1926
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BAGOT,Quebec,1867 - 1933,15,1925.10.29-1925.11.05,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",3571,0.5608,Liberal Party of Canada,Merchant,,1,8,,,,,,,,,,Died in office: 1925.11.05,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
856,YORKTON,Saskatchewan,1924 - 1966,15,1925.10.29,343,18b8cc86-9739-4ae6-84d6-27c2ad62b115,"MCPHEE, George Washington",3702,0.4941,Liberal Party of Canada,"Barrister, crown prosecutor",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
632,ST. DENIS,Quebec,1914 - 1947,15,1925.10.29,349,19361366-c528-430b-9bee-470c51580e81,"DENIS, Joseph-Arthur",13850,0.487,Liberal Party of Canada,Physician,,1,2,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
382,LAURIER--OUTREMONT,Quebec,1914 - 1933,15,1925.10.29,368,1b1e9995-c96d-482b-a5ce-b58a0df081f3,"MERCIER, Joseph-Alexandre",12889,0.5605,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,9,2,1,1
538,PEEL,Ontario,1867 - 1966,15,1925.10.29,372,1b64bce7-d840-42c6-9af1-8dc647e68c79,"CHARTERS, Samuel",7047,0.5184,Conservative (1867-1942),"Newspaper editor, newspaper owner, publisher",,0,3,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,9
697,SPRINGFIELD,Manitoba,1914 - 1966,15,1925.10.29,380,1bed44fb-f672-4868-8f66-648136aee00a,"HAY, Thomas",2259,0.4,Conservative (1867-1942),Farmer,,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
689,SKEENA,British Columbia,1914 - 2003,15,1925.10.29,391,1d01da2a-2e6a-4b27-b361-049038f72487,"STORK, Alfred",3633,0.4951,Liberal Party of Canada,Merchant,,0,2,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,9,1,2,2,1,1,1,1,1,1,2,1,1
254,GREY SOUTHEAST,Ontario,1914 - 1933,15,1925.10.29,399,1d6a8f18-7d15-4909-b0f5-88f9b514f20a,"MACPHAIL, Agnes C.",6652,0.5591,Progressive,"Farmer, teacher",,0,2,,,,,,,,,,,,,2,2,9,2,2,1,9,2,1,1,1,1,2,1,1,2,2,2,9,1,1,1,1,2,1,1,1
765,VANCOUVER--BURRARD,British Columbia,1924 - 1966,15,1925.10.29,400,1d94c4b4-8378-4f3c-9aa1-bdfa6e79bfab,"CLARK, John Arthur",9897,0.472,Conservative (1867-1942),Barrister and solicitor,,0,2,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
664,SASKATOON,Saskatchewan,1907 - 1933,15,1925.10.29,401,1dae37f1-a2e5-4fa6-aa14-5877460dc660,"YOUNG, Alexander MacGillivray",5303,0.4481,Liberal Party of Canada,Physician,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,1,2,1,1
123,CARLETON,Ontario,1867 - 1966,15,1925.10.29,414,1e502396-052a-4afd-8d90-249bea49b95c,"GARLAND, William Foster",7757,0.5744,Conservative (1867-1942),"Breeder, pharmacist",,0,3,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,9,9,1,1,2,2,2,2,2,2,1,2,2
533,PARKDALE,Ontario,1914 - 1976,15,1925.10.29,436,1fd6461a-ee02-4d2c-880e-860b930c4499,"SPENCE, David",14483,0.7321,Conservative (1867-1942),Merchant,,0,2,,,,,,,,,Ireland,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
677,SHEFFORD,Quebec,1867 - ,15,1925.10.29,440,20153f1d-4d12-4d52-b34f-744ffb0e1cd0,"BOIVIN, George Henri",5910,0.5678,Liberal Party of Canada,Lawyer,,1,4,,1,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
836,YAMASKA,Quebec,1867 - 1933,15,1925.10.29,455,212572eb-4fe5-4eef-8f4b-e193f8ac082a,"BOUCHER, Aime",3438,0.5552,Liberal Party of Canada,Notary,,1,3,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
683,SHERBROOKE,Quebec,1924 - ,15,1925.10.29,486,2383d6a2-7bc8-4d50-94b0-288e425fa899,"HOWARD, Charles B.",6566,0.5465,Liberal Party of Canada,"Businessman, industrialist, lumber merchant",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,1,2,9,9
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,15,1925.10.29,509,255d2664-d4b3-46aa-9933-79b13d340d2e,"HEENAN, Peter",3898,0.4659,Liberal Party of Canada,Locomotive engineer,,0,1,,,,,,,,,Ireland,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
1235,ATHABASKA,Alberta,1924 - 1966,15,1925.10.29,558,28f68fcb-ba1b-4bb2-8f3b-89b7d48a8f07,"CROSS, Charles Wilson",5078,0.542,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,9,9,9,9,9,9,9,9,9,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9
394,LETHBRIDGE,Alberta,1914 - 1977,15,1925.10.29,566,29612186-3b57-4a50-befd-ae4084917f56,"JELLIFF, Lincoln Henry",5399,0.5369,Progressive,"Farmer, insurance advisor, lawyer",,0,2,,,,,,,,,United States,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
198,EDMONTON EAST,Alberta,1914 - 2000,15,1925.10.29,571,29f4a12d-1127-490f-9ae1-2d9ac93671eb,"BURY, Ambrose Upton Gledstanes",3927,0.3875,Conservative (1867-1942),Barrister,,0,1,,,,,,,,,Ireland,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
138,CHARLOTTE,New Brunswick,1867 - 1966,15,1925.10.29,574,2a17a0bf-d088-4fe1-b6a8-333ec303eb19,"GRIMMER, Robert Watson",5426,0.6237,Conservative (1867-1942),Merchant,,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
745,TORONTO--HIGH PARK,Ontario,1924 - 1933,15,1925.10.29,575,2a491fe5-0fd9-41c0-9a96-951b3efa94eb,"ANDERSON, Alexander James",15809,0.7431,Conservative (1867-1942),"Barrister, lawyer",,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
352,LABELLE,Quebec,1892 - 1987,15,1925.10.29,579,2a8c7330-53c3-44dc-9f77-c16aa6af7898,"BOURASSA, Henri",5843,0.6082,Independent,"Newspaper editor, publicist",,1,4,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,9,1,9,2,1,1,9,2,2,1,1,1,1,1,2,2,1,1
106,CAMROSE,Alberta,1924 - 1952,15,1925.10.29,597,2c4fde50-eb86-4288-a3d6-0ecb43786cf0,"LUCAS, William Thomas",4202,0.5606,United Farmers of Alberta,Farmer,,0,2,,,,,,,,,,,,,1,2,2,1,9,1,1,2,1,9,1,1,2,1,1,9,1,1,2,2,2,2,2,2,1,2,2
143,CHICOUTIMI,Quebec,1924 - 2000,15,1925.10.29,602,2cb62e8c-ec6c-4ba0-9a05-d3ea855236b5,"DUBUC, Julien Edouard Alfre",7198,0.5412,Independent Liberal,"Bank manager, director, manufacturer",,1,1,,,,,,,,,,,,,2,2,2,2,2,1,1,9,1,1,1,9,2,1,1,1,9,2,1,1,1,1,1,1,2,1,9
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,15,1925.10.29,617,2df864ed-c24d-486c-88af-85ed437213fd,"FISH, Charles Elijah",5331,0.5852,Conservative (1867-1942),"Building contractor, businessman, lumber merchant",,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
599,RENFREW NORTH,Ontario,1867 - 1972,15,1925.10.29,628,2eb2f904-eec2-402a-86ad-818a3c0118f4,"COTNAM, Ira Delbert",5303,0.5394,Conservative (1867-1942),Physician,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,9
217,ESSEX WEST,Ontario,1924 - 1966,15,1925.10.29,643,2fa8e34f-4647-4535-baf7-231e1bb218b4,"ROBINSON, Sidney Cecil",11029,0.5645,Conservative (1867-1942),"Business executive, gentleman, industrialist, manager",,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,9,9,9,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
350,L'ASSOMPTION--MONTCALM,Quebec,1914 - 1933,15,1925.10.29,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SEGUIN, Paul-Arthur",6261,0.7163,Liberal Party of Canada,Notary,,1,5,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,9,1,2,2,1,1,1,1,1,1,2,1,1
275,HANTS--KINGS,Nova Scotia,1924 - 1933,15,1925.10.29,652,309d145e-738e-4612-99e6-0c6fd1fba2a4,"FOSTER, Arthur de Witt",10168,0.5274,Conservative (1867-1942),"Broker, teacher",,0,2,,,,,,,,,,,,,1,1,1,1,1,2,9,1,9,9,9,2,1,2,2,2,1,9,2,2,2,2,2,2,1,2,2
544,PERTH NORTH,Ontario,1867 - 1933,15,1925.10.29,660,314b09ca-4429-41de-ac6c-a6c360fc243b,"WRIGHT, David McKenzie",7386,0.5234,Conservative (1867-1942),Industrialist,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,9,9,2,2,2,1,2,9,9,1,1,2,2,2,2,2,2,1,2,2
44,BELLECHASSE,Quebec,1867 - 1996,15,1925.10.29,688,329d25ef-2eba-400a-8105-2bf4bef49bfd,"FOURNIER, Charles-Alphonse",4596,0.7057,Liberal Party of Canada,Pharmacist,,1,3,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,9,9,2,2,1,1,1,1,1,1,2,1,1
266,HALTON,Ontario,1867 - 1987,15,1925.10.29,744,3624878e-997f-42b3-9c67-995f7259584c,"ANDERSON, Robert King",6775,0.5554,Conservative (1867-1942),"Physician, teacher",,0,3,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,9,2,2,2,2,2,2,1,2,2
283,HASTINGS--PETERBOROUGH,Ontario,1924 - 1952,15,1925.10.29,747,368ca079-0e87-47f0-bcbe-47c0c5c90dce,"EMBURY, Alexander Thomas",6511,0.6347,Conservative (1867-1942),Physician,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,9,9,2,2,2,2,2,9,1,2,2
858,YUKON,Yukon,1902 - 1947,15,1925.10.29,755,3738c10d-d188-441d-ad40-3689553b373a,"BLACK, George",742,0.5936,Conservative (1867-1942),"Barrister, lawyer",,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
791,WATERLOO SOUTH,Ontario,1867 - 1966,15,1925.10.29,761,37ffe576-bd7c-473c-af0b-328099234a8c,"EDWARDS, Alexander McKay",8089,0.6106,Conservative (1867-1942),"Manufacturer, pharmacist",,0,1,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,9,1,2,2,2,1,1,9,9,9,9,2,2,1,9,9
630,ST. ANTOINE,Quebec,1892 - 1933,15,1925.10.29,768,3850751d-297f-4e2c-9a59-3e144a3e1783,"BELL, Leslie Gordon",6433,0.5205,Conservative (1867-1942),Lawyer,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,9,1,9,2,2,2,2,2,2,1,2,2
304,HURON SOUTH,Ontario,1867 - 1933,15,1925.10.29,774,38cceb1c-80d8-43a5-8f9d-6d8b97e0989e,"MCMILLAN, Thomas",4947,0.437,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2,9,1,1,1,2,1,1,9,2,2,1,1,1,1,1,1,2,1,1
530,OXFORD SOUTH,Ontario,1867 - 1933,15,1925.10.29,790,39733e89-5c63-44ea-a981-bc71336702b7,"SUTHERLAND, Donald",5400,0.5094,Conservative (1867-1942),Farmer,,0,4,,1,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
563,PRESCOTT,Ontario,1867 - 1952,15,1925.10.29,793,39a5a6e7-faa8-4dc5-b4fe-29dd600d8651,"EVANTUREL, Gustave",4198,0.4611,Liberal Party of Canada,Notary,,0,1,,,,,,,,,,,,,2,2,2,2,9,9,1,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,1,2,1,1
