Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S32S1V01,S32S1V02,S32S1V03,S32S1V04,S32S1V05,S32S1V06,S32S1V07,S32S1V08,S32S1V09,S32S1V10,S32S1V11,S32S1V12,S32S1V13,S32S1V14,S32S1V15,S32S1V16,S32S1V17,S32S1V18,S32S1V19,S32S1V20,S32S1V21,S32S1V22,S32S1V23,S32S1V24,S32S1V25,S32S1V26,S32S1V27,S32S1V28,S32S1V29,S32S1V30,S32S1V31,S32S1V32,S32S1V33,S32S1V34,S32S1V35,S32S1V36,S32S1V37,S32S1V38,S32S1V39,S32S1V40,S32S1V41,S32S1V42,S32S2V01,S32S2V02,S32S2V03,S32S2V04,S32S2V05
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fournier, Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29 ,1971.12.09 , 1980.09.29 ,(Retirement),2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Norrie, Margaret Rosamond Fawcett",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1980.10.16 ,1972.04.27 , 1980.10.16 ,(Retirement),2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),1,1,2,2,1,1,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),2,2,1,1,2,2,1,9,2,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),1,9,9,9,9,9,2,1,1,2,8,1,1,1,1,1,1,1,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),9,9,9,9,9,9,9,9,9,1,1,2,2,9,2,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),2,9,9,9,9,9,1,2,9,1,1,2,9,9,2,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Williams, Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07 ,1971.12.09 , 1982.10.07 ,(Retirement),9,9,9,9,9,9,9,9,9,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Goldenberg, Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20 ,1971.11.04 , 1982.10.20 ,(Retirement),9,2,9,9,9,9,1,2,9,1,1,2,2,2,2,2,2,2,2,2,1,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Smith, George Isaa",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1975.08.07 - 1982.12.19 ,1975.08.07 , 1982.12.19 ,(Death),9,9,2,2,1,1,2,1,1,2,8,1,1,1,1,2,1,1,9,1,2,9,9,9,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bird, Florence Bayard",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1983.01.15 ,1978.03.23 , 1983.01.15 ,(Retirement),2,2,1,1,2,2,1,2,9,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),9,1,2,2,1,1,2,1,1,2,8,1,9,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lamontagne, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12 ,1967.04.06 , 1983.06.12 ,(Death),9,2,1,1,2,2,1,2,2,1,1,2,2,9,9,9,9,9,9,9,9,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99
"McIlraith, George James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.04.27 - 1983.07.29 ,1972.04.27 , 1983.07.29 ,(Retirement),2,9,1,1,2,2,1,2,2,1,8,8,2,2,9,2,2,2,2,2,1,9,2,9,2,9,9,9,9,9,9,1,2,1,1,9,9,9,9,1,9,99,99,99,99,99,99
"Manning, Ernest Charles",Social Credit Party,Alberta,"Trudeau, Pierre Elliott",1970.10.07 - 1983.09.20 ,1970.10.07 , 1983.09.20 ,(Retirement),2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,2,1,1,2,9,9,9,2,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,1,99,99,99,99,99,99
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,9,9,9,9,9,1,1,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99
"Marchand, Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.09 - 1983.12.15 ,1976.12.09 , 1983.12.15 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99
"Cook, Eric",Independent,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),2,2,2,9,9,9,2,2,1,2,8,8,2,2,2,2,2,2,2,2,1,9,2,9,2,1,9,9,9,9,9,1,9,2,1,2,2,2,1,2,9,2,9,9,9,9,9
"Riley, Daniel Aloysius",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 1984.09.13 ,1973.12.21 , 1984.09.13 ,(Death),2,2,1,1,2,2,1,2,2,9,9,9,2,9,2,2,2,2,2,2,1,2,2,2,1,2,2,9,9,9,9,9,2,9,9,9,9,9,9,9,2,2,2,9,2,2,2
"Donahoe, Richard Alphonsus",Progressive Conservative Party,Nova Scotia,"Clark, Charles Joseph",1979.09.13 - 1984.09.27 ,1979.09.13 , 1984.09.27 ,(Retirement),1,1,2,2,1,1,2,1,9,2,8,1,1,9,1,1,1,1,1,1,2,1,9,1,2,8,9,9,9,9,9,2,9,2,9,9,9,9,9,9,9,1,1,1,1,1,1
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),9,9,9,9,9,9,9,9,9,1,1,2,9,9,2,2,2,2,2,2,1,9,9,2,9,9,9,9,9,9,9,2,9,9,1,9,9,9,9,1,8,2,9,9,9,9,9
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9,9,9,9,9,9,2,9,9,9,9,9,9,1,1,1,1,1,1,1,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),9,1,2,9,9,9,2,1,1,9,9,9,1,1,1,1,1,1,1,1,2,1,1,9,2,1,9,9,9,9,9,2,1,2,9,1,1,1,2,2,1,1,1,1,9,1,1
"Deschatelets, Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10 ,1966.02.24 , 1986.01.10 ,(Resignation),9,1,9,9,9,9,9,2,1,1,8,1,9,1,1,2,1,2,1,1,2,1,9,9,1,2,2,2,1,1,2,9,9,1,1,9,9,9,9,1,1,9,9,9,9,9,9
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),2,2,9,9,9,9,9,9,2,9,9,9,2,9,2,9,2,2,9,9,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,9,9
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),1,9,2,2,9,9,2,1,1,9,9,9,1,9,1,1,1,1,1,1,1,1,9,1,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,1,1,1
"GiguíÂre, Louis de Gonzague",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1968.09.10 - 1986.12.18 ,1968.09.10 , 1986.12.18 ,(Retirement),2,2,1,1,2,2,1,2,2,9,9,9,2,9,9,9,9,9,9,9,9,2,2,9,1,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,2,9,2,9,2,2,2
"Lapointe, Louise Marguerite Renaude",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03 ,1971.11.10 , 1987.01.03 ,(Retirement),2,2,1,1,2,2,1,2,2,1,1,9,2,2,2,9,2,2,2,9,1,2,2,9,1,2,2,2,1,1,2,1,9,1,1,2,2,2,1,1,2,9,2,2,2,2,2
"Godfrey, John Morrow",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1973.10.05 - 1987.06.28 ,1973.10.05 , 1987.06.28 ,(Retirement),9,2,1,1,2,2,1,2,2,1,1,2,9,2,2,2,2,2,2,2,1,2,9,2,1,2,2,9,9,9,9,1,2,1,1,9,9,9,9,9,2,9,2,2,9,2,2
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),2,2,9,9,9,9,1,2,2,1,1,2,2,2,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,1,2,1,9,2,2,2,1,1,9,2,9,9,9,9,9
"Rowe, Frederick William",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1971.12.09 - 1987.09.28 ,1971.12.09 , 1987.09.28 ,(Retirement),9,9,1,1,2,2,1,2,2,9,9,9,9,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,2,2,1,1,2,9,1,9,9,9,9,9,2,9,9,9,9,2,2
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),2,9,1,1,2,9,1,2,9,9,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,9,9,9,9,9,1,9,1,1,2,2,2,1,1,2,2,2,2,9,2,2
"Barrow, Augustus Irvine",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15 ,1974.05.08 , 1988.02.15 ,(Retirement),2,2,1,1,2,2,1,2,9,1,1,2,2,9,2,2,2,2,2,2,1,9,9,9,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,9,9,9,9,2,2,2
"Le Moyne, Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1982.12.23 - 1988.02.17 ,1982.12.23 , 1988.02.17 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,2,2,2,1,1,2,2,9,2,2,2,2
"Rousseau, Yvette Boucher",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1988.03.17 ,1979.03.27 , 1988.03.17 ,(Death),2,2,9,9,9,9,1,2,2,1,1,9,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,9,2,9,2,9
"Lafond, Paul C.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1988.05.27 ,1970.10.07 , 1988.05.27 ,(Death),2,2,1,1,2,2,1,9,2,1,8,8,2,1,1,1,1,1,1,1,2,9,2,9,1,2,9,2,9,9,9,2,1,1,9,2,2,2,1,1,2,9,1,9,9,2,2
"Sinclair, Ian David",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1983.12.23 - 1988.09.27 ,1983.12.23 , 1988.09.27 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,9,2
"Langlois, J. G. Lí©opold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02 ,1966.07.08 , 1988.10.02 ,(Retirement),9,2,9,9,9,9,1,2,2,1,1,2,9,2,2,2,2,2,2,2,1,2,2,2,9,9,2,2,9,9,9,1,2,1,1,2,2,2,1,1,2,9,9,2,2,9,9
"Cottreau, Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28 ,1974.05.08 , 1989.01.28 ,(Retirement),9,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,9,9,9,9,2,2,2,1,1,2,2,2,2,2,2,2
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),9,9,2,2,1,9,2,1,9,2,8,8,9,1,1,1,1,1,1,1,1,9,9,1,2,1,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1
"Bell (Heath), Ann Elizabeth Haddon",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29 ,1970.10.07 , 1989.11.29 ,(Death),2,9,1,2,9,9,9,2,9,9,8,8,1,9,1,9,9,1,1,9,2,9,9,9,2,8,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,1,9,9,9,1
"Hicks, Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05 ,1972.04.27 , 1990.03.05 ,(Retirement),9,9,1,1,9,2,1,2,9,1,8,2,2,2,2,2,2,2,2,2,1,2,9,9,2,1,2,2,1,1,1,1,2,1,9,2,2,2,1,9,2,9,2,2,9,2,9
"McElman, Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),9,9,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,2,2,8,1,2,1,9,9,9,9,9,9,2,2,2,9,9,9,2
"Sherwood, Cyril Beverly",Progressive Conservative Party,New Brunswick,"Clark, Charles Joseph",1979.10.03 - 1990.07.01 ,1979.10.03 , 1990.07.01 ,(Retirement),1,1,2,2,1,1,2,9,9,2,8,1,1,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,1,1
