Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S28S1V01,S28S1V02,S28S1V03,S28S1V04,S28S1V05,S28S1V06,S28S1V07,S28S1V08,S28S2V01,S28S2V02,S28S3V01,S28S3V02,S28S3V03,S28S3V04,S28S3V05,S28S3V06,S28S3V07,S28S3V08
Date,,,,,,,,10.16.1968,11.19.1968,04.22.1969,06.03.1969,06.03.1969,06.10.1969,06.17.1969,06.26.1969,05.12.1970,05.13.1970,12.03.1970,12.03.1970,06.02.1971,06.29.1971,12.16.1971,12.16.1971,12.21.1971,12.31.1971
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Report concerning Bill S-8 (An Act to amend the Act respecting the Supreme Court of Canada) be referred back to the Standing Committee on Banking and Commerce,"Motion that the Bill S-15 (An Act to amend the Act on Food and Drugs, and the Act on Narcotics, and by way of consequence, The Criminal Code) be not now read a third time, but amended",Motion that the Bill C-165 (An Act to amend the Act on Revenue Taxation and the Act on Inheritance Taxation) be now read a second time,Motion that the debate be adjourned,"Motion that the substitution of Senators on the Standing Committee on Judicial and Constitutional Affairs, be not immediate, but that it be made after the presentation of the Report of the Committee on Bill S-21 (An Act to amend the Criminal Code)","Motion that the Bill C-150 (An Act to amend the Criminal Code, etc.) be now read a second time",Motion that the Bill S-21 (An Act to amend the Criminal Code) be now read a third time,"Motion that the Bill S-24 (An Act to amend the Electoral Act (Age of Voters)) be not now read a third time, but be referred to Committee","Motion that the Bill C-3 (An Act to amend the Criminal Code) be not now read a second time, but be referred to the Supreme Court",Motion that the Bill C-3 (An Act to amend the Criminal Code) be now read a second time,"Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be amended","Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be referred back to Committee","Motion that the Senate opposes the Transalaskian Crude Oil Pipeline and the Transport of Crude by Ships, on reasons of safety and efficiency, and that the matters be referred to Committee",Motion that the debate be adjourned,Motion that the Rules of Senate 44. 45 & 78 be suspended for the remaining of the sitting for Bills of public interest,Motion that the Senate adjourn today to the 10th of January 1972,Motion that the Bill C-259 (An Act to amend the Act on Revenue Taxation) be now read a third time,Motion that the debate be adjourned to January the 11th 1972
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),2,2,9,9,9,1,9,9,2,1,2,2,9,9,1,2,1,2
"Carter, Chesley William",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1977.07.28 ,1966.07.08 , 1977.07.28 ,(Retirement),1,2,1,2,2,1,1,9,2,2,2,2,1,9,1,2,9,9
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,2,1,9,9,9,1,1,9,9,2,2,9,2,1,2,9,9
"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29 ,1962.06.15 , 1977.12.29 ,(Resignation),1,2,2,9,9,2,9,1,1,2,9,9,2,2,2,1,9,9
"Duggan, James",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1978.02.28 ,1966.07.08 , 1978.02.28 ,(Resignation),9,9,9,2,2,1,1,9,2,1,2,2,1,2,1,2,1,2
"CíÇtí©, Joseph Julien Jean-Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1978.04.20 ,1972.09.01 , 1978.04.20 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Michaud, Herví© J.",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1978.06.05 ,1968.03.15 , 1978.06.05 ,(Death),9,9,9,9,9,1,9,9,9,9,2,2,9,2,1,2,1,2
"Macnaughton, Alan Aylesworth",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1978.07.30 ,1966.07.08 , 1978.07.30 ,(Retirement),2,2,9,9,9,1,1,9,2,1,2,2,9,1,9,9,9,9
"Greene, John James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1978.10.23 ,1972.09.01 , 1978.10.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29 ,1963.04.27 , 1979.03.29 ,(Death),2,2,1,2,2,1,1,1,2,1,2,9,1,9,9,2,1,2
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),9,9,9,9,9,9,2,9,9,9,1,1,9,9,9,9,9,9
"Forsey, Eugene Alfred",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1970.10.07 - 1979.05.29 ,1970.10.07 , 1979.05.29 ,(Retirement),99,99,99,99,99,99,99,99,99,99,2,2,9,1,1,2,9,1
"McNamara, William Craig",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 1979.08.08 ,1970.10.07 , 1979.08.08 ,(Retirement),99,99,99,99,99,99,99,99,99,99,9,9,1,9,1,2,1,2
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),2,2,1,2,2,1,1,9,9,9,9,9,1,2,9,9,9,9
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),9,1,2,1,1,2,2,1,1,2,1,1,2,9,2,1,2,9
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),9,2,1,1,1,1,2,9,2,9,2,2,1,9,9,9,9,9
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),1,9,1,2,2,1,1,1,2,1,2,2,1,2,1,2,9,9
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),9,2,1,2,9,1,2,9,2,1,2,2,1,2,1,2,1,2
"Fournier, Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29 ,1971.12.09 , 1980.09.29 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,9
"Norrie, Margaret Rosamond Fawcett",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1980.10.16 ,1972.04.27 , 1980.10.16 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),2,2,1,9,9,1,1,1,9,1,2,2,1,2,1,2,1,9
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),2,1,2,1,1,2,2,1,1,2,1,1,9,1,2,1,9,9
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,9,9,9,9,9,1,9,2,2,2,9,2,1,1,9,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),2,2,1,9,9,1,9,9,2,1,2,2,1,2,1,2,1,2
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),1,2,9,1,1,2,2,2,1,2,9,9,2,2,2,1,2,1
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),2,9,1,9,9,9,9,1,2,1,2,9,1,2,1,2,1,9
"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),9,9,9,9,9,1,9,9,2,1,2,9,9,2,9,9,1,2
"Williams, Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07 ,1971.12.09 , 1982.10.07 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,9
"Goldenberg, Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20 ,1971.11.04 , 1982.10.20 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,2
