Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S40S1V01,S40S1V02,S40S2V01,S40S2V02,S40S2V03,S40S2V04,S40S2V05,S40S2V06,S40S2V07,S40S2V08,S40S2V09,S40S2V10,S40S2V11,S40S2V12,S40S2V13,S40S2V14,S40S2V15,S40S2V16,S40S2V17,S40S2V18,S40S2V19,S40S2V20,S40S2V21,S40S2V22,S40S2V23,S40S2V24,S40S3V01,S40S3V02,S40S3V03,S40S3V04,S40S3V05,S40S3V06,S40S3V07,S40S3V08,S40S3V09,S40S3V10,S40S3V11,S40S3V12,S40S3V13,S40S3V14,S40S3V15,S40S3V16,S40S3V17,S40S3V18,S40S3V19,S40S3V20,S40S3V21
"Cordy, Jane",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",2000.06.09 - ,2000.06.09 , ,,1,2,2,2,9,9,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,9,2,1,9,2,1,2,1,1,2,2,2,2,2,2,1
"Hubley, Elizabeth",Liberal Party of Canada,Prince Edward Island,"Chrí©tien, Joseph Jacques Jean",2001.03.08 - ,2001.03.08 , ,,1,2,2,2,8,1,2,1,1,9,9,1,1,2,1,1,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,9,2,1,2,9,9,9,2,2,2,2,2,1
"Jaffer, Mobina S.B.",Liberal Party of Canada,British Columbia,"Chrí©tien, Joseph Jacques Jean",2001.06.13 - ,2001.06.13 , ,,1,2,2,2,8,1,9,1,1,1,9,1,9,2,1,1,1,9,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2
"Day, Joseph A.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",2001.10.04 - ,2001.10.04 , ,,1,2,2,2,9,9,2,1,9,1,1,1,1,2,1,1,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,9,2,1,2,1,1,2,2,2,2,2,2,1
"Baker, George",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",2002.03.26 - ,2002.03.26 , ,,9,9,2,2,1,2,9,1,9,9,1,9,9,9,1,1,9,9,9,1,1,2,2,9,1,1,1,9,1,9,9,2,2,1,9,2,1,2,9,9,9,2,2,9,9,9,9
"Smith, David P.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",2002.06.25 - ,2002.06.25 , ,,1,2,2,2,9,9,9,1,1,1,1,9,9,2,9,9,1,2,2,1,1,2,2,9,9,9,1,1,1,2,1,2,9,9,1,2,1,2,1,1,2,9,2,2,2,9,9
"Chaput, Maria",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean",2002.12.12 - ,2002.12.12 , ,,1,2,2,2,9,9,2,1,9,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Merchant, Pana",Liberal Party of Canada,Saskatchewan,"Chrí©tien, Joseph Jacques Jean",2002.12.12 - ,2002.12.12 , ,,1,2,2,2,9,9,9,1,9,1,9,9,9,2,9,9,1,9,2,9,9,9,9,9,1,1,1,1,1,2,1,2,2,1,1,2,9,9,9,9,9,2,2,2,9,9,9
"Ringuette, Pierrette",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",2002.12.12 - ,2002.12.12 , ,,1,2,2,2,8,1,2,9,1,1,1,1,1,2,1,8,9,2,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,9,9,9
"Downe, Percy E.",Liberal Party of Canada,Prince Edward Island,"Chrí©tien, Joseph Jacques Jean",2003.06.26 - ,2003.06.26 , ,,1,2,2,2,9,9,9,9,1,1,1,1,1,9,9,9,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,1,9,1,2,1,1,2,2,2,2,2,2,1
"Massicotte, Paul J.",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2003.06.26 - ,2003.06.26 , ,,9,9,9,9,9,9,2,1,9,1,1,1,9,9,1,9,9,9,2,1,1,2,2,9,1,1,9,1,1,2,1,2,2,1,1,9,1,2,1,1,2,2,9,9,9,9,9
"Harb, Mac",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",2003.09.09 - ,2003.09.09 , ,,9,2,2,2,1,2,2,1,9,1,9,9,1,9,9,1,1,2,2,1,1,9,9,9,9,1,1,9,9,2,1,2,2,1,1,2,1,2,9,9,9,2,9,9,9,9,9
"Mercer, Terry M.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",2003.11.07 - ,2003.11.07 , ,,1,2,2,2,8,1,9,1,1,1,1,1,1,2,1,1,1,9,2,1,1,2,2,2,9,9,1,1,1,2,9,9,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Munson, Jim",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",2003.12.10 - ,2003.12.10 , ,,9,2,2,2,8,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Cowan, James S.",Liberal Party of Canada,Nova Scotia,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,1,2,2,2,8,1,2,1,9,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,9,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Dallaire, Romí©o",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,1,2,9,9,9,9,9,9,9,9,9,9,1,2,9,9,1,2,2,1,1,2,2,2,1,1,9,9,9,2,1,2,2,1,9,2,9,2,1,1,2,2,9,9,2,2,9
"Dyck, Lillian Eva",Liberal Party of Canada,Saskatchewan,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,9,2,2,2,8,1,9,1,1,1,1,1,9,9,1,1,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,9,9,9,9,1,1,2,2,2,2,2,2,1
"Eggleton, Art",Liberal Party of Canada,Ontario,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,1,2,2,2,8,1,2,1,9,1,1,1,1,2,1,8,9,2,2,1,1,2,2,9,1,1,1,1,1,9,9,9,2,1,9,2,1,2,1,1,2,2,2,2,2,2,1
"McCoy, Elaine",Progressive Conservative Party,Alberta,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,9,9,9,9,1,8,2,9,9,9,9,9,9,9,9,9,1,9,2,1,1,9,2,9,1,1,1,1,1,2,1,2,2,1,9,2,1,2,1,1,2,1,9,9,9,9,9
"Mitchell, Grant",Liberal Party of Canada,Alberta,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,1,2,2,2,8,1,9,1,9,1,9,9,9,2,9,1,1,2,2,9,1,2,2,9,1,1,1,1,9,2,1,2,2,1,1,9,9,2,1,1,2,2,2,2,2,2,1
Nancy Ruth,Conservative Party of Canada,Ontario,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,9,9,1,1,2,1,1,2,9,2,2,2,2,1,9,9,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,9,1,2,2,1,2,1,2,2,1,1,1,9,1,9,2
"Peterson, Robert W.",Liberal Party of Canada,Saskatchewan,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,9,9,2,2,8,1,9,1,1,1,9,1,1,2,1,1,9,2,2,1,1,2,2,9,1,1,9,1,1,2,1,9,2,1,1,2,1,2,9,1,2,2,2,2,2,9,9
"Tardif, Claudette",Liberal Party of Canada,Alberta,"Martin, Paul Edgar Philippe",2005.03.24 - ,2005.03.24 , ,,1,2,2,2,8,1,2,1,9,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,9,2,1,1,2,1,2,1,1,2,2,9,2,2,2,1
"Campbell, Larry W.",Liberal Party of Canada,British Columbia,"Martin, Paul Edgar Philippe",2005.08.02 - ,2005.08.02 , ,,1,2,2,9,9,9,9,1,1,9,1,1,9,2,1,9,9,9,2,1,1,2,2,2,1,1,1,1,9,9,9,2,2,1,9,9,1,2,9,9,9,2,2,2,2,9,9
