Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S15S1V01,S15S1V02
"L'Espí©rance, David Ovide",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.26 - 1941.08.31 ,1917.07.26 , 1941.08.31 ,(Death),9,9
"McMeans, Lendrum",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.07.26 - 1941.09.13 ,1917.07.26 , 1941.09.13 ,(Death),2,2
"Webster, Lorne Campbell",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1920.01.10 - 1941.09.27 ,1920.01.10 , 1941.09.27 ,(Death),9,9
"Gordon, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1912.10.17 - 1942.02.03 ,1912.10.17 , 1942.02.03 ,(Death),2,9
"Dandurand, Raoul",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.01.22 - 1942.03.11 ,1898.01.22 , 1942.03.11 ,(Death),1,1
"Sharpe, William Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1916.02.10 - 1942.04.19 ,1916.02.10 , 1942.04.19 ,(Death),2,2
"Blondin, Pierre íŠdouard",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1918.07.20 - 1943.10.29 ,1918.07.20 , 1943.10.29 ,(Death),2,9
"MacArthur, Creelman",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1943.12.27 ,1925.09.05 , 1943.12.27 ,(Death),1,9
"Pope, Rufus Henry",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1911.11.14 - 1944.05.16 ,1911.11.14 , 1944.05.16 ,(Death),2,2
"Robinson, Clifford William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1924.05.05 - 1944.07.27 ,1924.05.05 , 1944.07.27 ,(Death),1,1
"Turgeon, Oní©siphore",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1922.10.27 - 1944.11.18 ,1922.10.27 , 1944.11.18 ,(Death),9,9
"Griesbach, William Antrobus",Conservative (1867-1942),Alberta,"Meighen, Arthur",1921.09.15 - 1945.01.21 ,1921.09.15 , 1945.01.21 ,(Death),2,2
"Black, Frank Bunting",Conservative (1867-1942),New Brunswick,"Meighen, Arthur",1921.11.25 - 1945.02.28 ,1921.11.25 , 1945.02.28 ,(Death),2,2
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08 ,1917.10.23 , 1945.11.08 ,(Resignation),9,2
"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10 ,1913.05.26 , 1946.01.10 ,(Resignation),2,2
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13 ,1917.01.20 , 1946.01.13 ,(Death),2,2
"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15 ,1919.12.31 , 1946.07.15 ,(Death),2,9
"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05 ,1921.10.03 , 1946.10.05 ,(Death),2,2
"Michener, Edward",Conservative (1867-1942),Alberta,"Borden, Robert Laird",1918.02.05 - 1947.06.16 ,1918.02.05 , 1947.06.16 ,(Death),9,9
"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09 ,1918.02.05 , 1947.09.09 ,(Death),9,1
"Molloy, John Patrick",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1925.10.06 - 1948.03.16 ,1925.10.06 , 1948.03.16 ,(Death),1,9
"Riley, Daniel Edward",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1926.06.25 - 1948.04.27 ,1926.06.25 , 1948.04.27 ,(Death),99,99
"Donnelly, James J.",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1948.10.20 ,1913.05.26 , 1948.10.20 ,(Death),2,9
"White, Gerald Verner",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1919.11.06 - 1948.10.24 ,1919.11.06 , 1948.10.24 ,(Death),2,2
"McDonald, John Anthony",Independent,New Brunswick,"Meighen, Arthur",1921.02.17 - 1948.12.12 ,1921.02.17 , 1948.12.12 ,(Death),2,9
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17 ,1915.12.03 , 1949.01.17 ,(Death),9,9
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),1,9
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),2,1
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),2,9
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),1,1
"Calder, James Alexander",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),2,2
"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13 ,1922.02.10 , 1962.03.13 ,(Death),1,9
