Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H08S1V001,H08S1V002,H08S1V003,H08S2V001,H08S2V002,H08S2V003,H08S2V004,H08S3V001,H08S3V002,H08S3V003,H08S3V004,H08S3V005,H08S3V006,H08S3V007,H08S3V008,H08S3V009,H08S3V010,H08S3V011,H08S3V012,H08S3V013,H08S3V014,H08S3V015,H08S3V016,H08S3V017,H08S4V001,H08S4V002,H08S4V003,H08S4V004,H08S4V005,H08S4V006,H08S4V007,H08S4V008,H08S4V009,H08S4V010,H08S4V011,H08S4V012,H08S4V013,H08S4V014,H08S4V015,H08S4V016,H08S4V017,H08S4V018,H08S4V019,H08S4V020,H08S4V021,H08S4V022,H08S4V023,H08S4V024,H08S4V025,H08S5V001,H08S5V002,H08S5V003,H08S5V004,H08S5V005,H08S5V006,H08S5V007,H08S5V008,H08S5V009,H08S5V010,H08S5V011,H08S5V012,H08S5V013,H08S5V014,H08S5V015,H08S5V016,H08S5V017,H08S5V018,H08S5V019,H08S5V020,H08S5V021,H08S5V022,H08S5V023,H08S5V024,H08S5V025,H08S5V026,H08S5V027,H08S5V028,H08S5V029,H08S5V030,H08S5V031,H08S5V032,H08S5V033,H08S5V034,H08S5V035,H08S5V036,H08S5V037,H08S5V038
417,MAISONNEUVE,Quebec,1892 - 1933,8,1896.06.23,951,44d0a22c-b8bf-4240-9943-1aa2f95274ee,"PREFONTAINE, R.",3912,0.6255,Liberal Party of Canada,Lawyer,Fr.Catholic,1,4,,,,,,,,,,,,,2,2,2,9,1,1,9,2,1,9,1,2,1,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,1,9,2,2,9,9,1,1,9,9,2,1,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,1,1,2,9,9,9,9,9,9,9,9
390,LEEDS SOUTH,Ontario,1867 - 1903,8,1896.06.23,989,47b47c19-8fe1-4407-b84f-9029f6aec230,"TAYLOR, George",2501,0.5236,Conservative (1867-1942),Industrialist,Protestant,0,4,,,,,,,,,,,,,1,1,2,2,1,2,9,1,2,1,1,9,2,2,1,1,2,9,1,9,1,1,1,2,2,2,2,9,9,9,2,1,2,2,2,2,9,2,9,2,9,9,1,1,1,9,9,9,9,1,2,2,1,2,2,1,1,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,9,9,9,9,1,1,1,9
238,GLENGARRY,Ontario,1867 - 1914,8,1896.06.23,997,48b8cc78-e084-457c-85a3-4f4bd7557e3f,"MCLENNAN, Roderick R.",2486,0.5866,Conservative (1867-1942),"Banker, railway contractor",Protestant,0,2,,,,,,,,,,,,,1,1,9,9,9,9,9,1,2,9,9,9,2,9,9,9,9,9,1,9,1,9,1,9,2,2,2,9,9,9,9,9,2,9,2,2,9,9,9,2,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,1,1,9,9,9,9,1,1,9,9,9,9,1,1,1,1,9,9,2,2,1,1,2,9,9,9,9,9,9
252,GREY NORTH,Ontario,1867 - 1966,8,1896.08.25,1033,4c0343e7-af09-409c-8b15-82597243d468,"PATERSON, Hon. Wm.",2840,0.5403,Liberal Party of Canada,Confectioner,Protestant,0,7,,1,,,,,,,,,,,2,2,2,2,9,9,2,2,1,2,9,9,1,1,9,2,1,1,9,2,9,9,2,1,9,1,1,9,1,9,9,2,1,9,1,1,2,1,2,1,2,9,2,9,2,9,9,9,9,2,2,1,2,9,9,2,2,2,2,2,1,2,2,2,9,2,2,2,1,2,2,2,2,2,9,2,1,1,2,2,1,2,2,2,2,2,1
456,MONTMAGNY,Quebec,1867 - 1933,8,1896.06.23-1898.07.06,1057,4dce9d20-2749-41b3-a080-b8eac398146e,"CHOQUETTE, P.A.",1143,0.5592,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,,,,,,,,,"Resignation. Appointed Puisne Judge of the Superior Court of Quebec, Arthabaska District: 1898.07.06",,,2,2,9,9,9,9,9,2,1,2,1,2,1,9,9,2,9,2,9,9,2,2,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
743,WEST TORONTO,Ontario,1867 - 1903,8,1896.06.23,1059,4e01e3c6-73dc-40cf-8a42-e6156318db32,"OSLER, E.B.",5370,0.2757,Conservative (1867-1942),Financier,Protestant,0,1,,,,,,,,,,,,,1,1,2,2,1,9,9,1,2,9,9,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
392,LENNOX,Ontario,1867 - 1903,8,1896.06.23,1083,4fa6e520-c225-437f-92e4-2fe6af783ace,"WILSON, Uriah",1192,0.4075,Conservative (1867-1942),Merchant,Protestant,0,3,,,,,,,,,,,,,1,1,2,2,2,2,9,1,2,9,2,1,2,9,9,9,2,2,1,2,1,1,1,2,2,2,2,2,9,9,9,1,2,9,2,2,1,9,1,2,1,9,1,9,1,9,9,9,9,1,2,2,1,1,2,1,1,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,2,1,2,1,1,1,2,9,9,1,1,1,2
396,LEVIS,Quebec,1867 - 1998,8,1896.06.23-1899.02.19,1096,50e36853-c956-48b6-9204-d01bc20b4a0b,"GUAY, P. Malcolm",2271,0.5364,Liberal Party of Canada,"Physician, surgeon",Fr.Catholic,1,4,,,,,,,,,,Died in office 1899.02.19,,,9,2,9,9,1,1,2,2,1,2,1,2,1,9,9,2,9,9,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
677,SHEFFORD,Quebec,1867 - ,8,1896.06.23,1099,5120759d-e9ec-4ab0-a8e6-af6ef1245289,"PARMELEE, C.H.",2191,0.5594,Liberal Party of Canada,Publisher,Protestant,0,1,,,,,,,,,,,,,2,2,9,9,9,9,9,2,1,9,2,1,1,9,2,2,9,9,2,9,2,9,9,1,2,1,1,1,1,9,9,9,9,9,1,1,9,1,2,1,2,9,2,2,2,9,9,9,9,2,2,1,2,9,9,2,2,9,2,2,1,2,9,9,2,2,9,9,9,9,2,2,9,9,2,2,1,1,2,2,1,2,2,2,2,2,1
252,GREY NORTH,Ontario,1867 - 1966,8,1896.06.23-1896.07.27,1104,519c7be7-393b-454f-822d-a147087c683c,"CLARK, John",2559,0.5031,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,Died before the opening of the 8th Parliament: 1896.07.27,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,8,1896.06.23,1106,51c322a1-5829-4745-8d30-a6c6f52f1c1c,"TUCKER, Joseph John",3924,0.4288,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,England,,,,2,2,9,2,9,9,9,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,1,9,1,9,9,9,9,9,1,1,2,1,2,1,2,2,9,2,2,9,9,9,2,2,2,9,9,9,9,9,2,2,2,9,1,2,9,2,2,2,2,2,1,9,2,2,2,2,2,2,9,9,2,2,1,2,2,2,2,2,1
501,NORTHUMBERLAND WEST,Ontario,1867 - 1914,8,1896.06.23,1151,54b672a0-5cd7-4ecb-89ba-f60701ad23a8,"GUILLET, George",1200,0.4066,Conservative (1867-1942),Merchant,Protestant,0,5,,,,,,,,,,,,,1,1,2,2,9,9,9,1,2,1,2,9,2,2,1,1,2,2,1,1,1,1,9,9,9,9,9,2,2,1,2,1,9,9,9,9,1,9,9,2,1,9,9,1,1,1,1,2,1,1,2,2,1,2,1,9,1,1,9,1,2,1,1,1,9,1,1,1,2,9,9,9,1,1,2,9,2,2,1,1,2,1,2,1,9,1,2
274,HANTS,Nova Scotia,1867 - 1924,8,1896.06.23-1900.04.23,1188,56ef08f5-6385-42c3-9bab-db7ece8949b9,"HALEY, Allen",1838,0.5048,Liberal Party of Canada,"Broker, dentist, insurance agent, shipbuilder, shipowner",Protestant,0,1,,,,,,,,,,Died in office: 1900.04.23,,,2,2,2,2,1,1,9,2,1,2,1,1,1,1,9,2,1,2,2,2,2,1,9,1,1,1,1,1,9,9,2,9,1,2,1,1,2,9,2,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
207,ELGIN EAST,Ontario,1867 - 1924,8,1896.06.23,1203,57ed8b95-0f38-4d6d-9502-1000823660c3,"INGRAM, A.B.",2862,0.474,Liberal-Conservative,Real estate agent,Protestant,0,2,,,,,,,,,,,,,1,9,9,9,1,2,9,1,2,9,9,9,9,9,9,9,9,9,1,9,1,1,1,9,2,2,9,9,2,9,9,1,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,1,9,9,9,1,9,9,1,1,1,1,1,9,1,9,9,9,9,9,9,9,9,2,1,2,2,1,1,2,9,9,2,1,1,9
134,CHARLEVOIX,Quebec,1867 - 1914,8,1896.06.23,1207,58113211-2e8a-496f-8a31-2dab947f0155,"ANGERS, Louis Charles A.",1403,0.5243,Liberal Party of Canada,"Lawyer, teacher",Fr.Catholic,1,2,,,,,,,,,,,,,9,2,2,9,1,2,9,9,9,2,9,9,9,9,9,9,9,2,9,2,9,2,9,9,1,1,9,9,9,2,2,9,1,9,1,1,9,9,2,1,2,9,9,9,9,9,9,9,9,2,1,9,9,9,2,9,9,9,9,2,1,9,9,9,9,9,9,2,1,9,2,9,2,2,2,9,9,9,9,9,9,9,9,2,2,2,1
654,ST. ANNE,Quebec,1892 - 1914,8,1896.06.23,1214,58ede619-5853-4967-b034-af0567f72095,"QUINN, M.F.J.",3071,0.5099,Conservative (1867-1942),Lawyer,Catholic,0,1,,,,,,,,,,,,,1,1,1,2,1,9,9,1,2,9,1,2,2,9,1,1,2,1,9,2,9,1,1,2,2,2,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,1,9,1,1,9,9,9,9,9,9,1,1,2,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,1,9
550,PICTOU,Nova Scotia,1867 - 1966,8,1896.06.23,1235,59ffa06f-4177-4aef-8f3c-df8d6c63bf2a,"BELL, Adam C.",3503,0.2545,Conservative (1867-1942),"Author, merchant",Protestant,0,1,,,,,,,,,,,,,1,1,2,2,1,2,9,1,2,1,1,2,2,2,9,1,9,9,1,9,9,9,1,9,2,2,2,9,9,2,9,1,9,2,2,2,9,9,1,2,1,9,9,9,1,9,9,9,9,1,9,9,9,9,2,2,1,1,9,1,1,1,1,9,1,9,9,1,2,9,1,1,9,9,2,1,2,2,9,1,2,2,2,1,1,9,9
253,GREY SOUTH,Ontario,1867 - 1914,8,1896.06.23,1250,5b784d04-8c77-412a-b958-2c751b7bd2bf,"LANDERKIN, George",1819,0.3815,Liberal Party of Canada,Physician,Protestant,0,6,,,,,,,,,,,,,2,2,2,2,1,1,9,2,1,2,9,1,1,1,2,2,9,1,2,2,2,2,2,1,9,9,1,9,1,9,9,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,9,9,1,9,9,9,9,9,9,2,2,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,2,1,9,2,2,1,2,2,2,2,2,9
364,LAMBTON WEST,Ontario,1882 - 1966,8,1896.06.23-1898.06.20,1251,5b820118-a127-4673-816f-c89a4e166132,"LISTER, J. Frederick",2365,0.5313,Liberal Party of Canada,Lawyer,Protestant,0,4,,,,,,,,,,Resignation. Appointed Judge of the Court of Appeal of Ontario: 1898.06.20,,,2,2,9,2,1,1,2,2,1,2,2,1,1,1,9,2,9,9,2,9,9,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
261,HALDIMAND AND MONCK,Ontario,1892 - 1903,8,1896.06.23,1259,5c3e28ae-1e3c-4d71-85b7-908ab98713a1,"MONTAGUE, Hon. W.H.",2197,0.4983,Conservative (1867-1942),Physician,Protestant,0,3,,,,,,,,,,,,,9,1,2,9,9,9,9,1,2,9,2,2,2,9,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,9,2,2,9,9,9,1,1,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,2,2,2,9,9,9,9
44,BELLECHASSE,Quebec,1867 - 1996,8,1896.06.23,1261,5c86a0e1-d905-447a-9089-949a4a72123a,"TALBOT, Onesiphore-Ernest",1537,0.5561,Liberal Party of Canada,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,9,1,1,9,2,1,2,9,9,9,1,9,2,1,1,2,9,2,9,9,1,9,9,9,2,9,9,9,2,9,9,9,9,9,9,2,1,2,9,2,9,9,9,9,9,9,2,2,1,9,9,9,9,9,2,2,2,9,2,2,2,9,9,2,2,1,2,9,9,2,2,9,2,1,1,2,2,1,2,2,2,2,2,1
389,LEEDS NORTH AND GRENVILLE NORTH,Ontario,1867 - 1903,8,1896.06.23,1262,5c936443-f8a0-4061-a16b-06a35d662d44,"FROST, Francis T.",1432,0.5016,Liberal Party of Canada,Manufacturer,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,1,1,9,2,1,9,2,2,1,9,9,2,9,2,9,2,2,1,2,1,9,9,1,9,1,1,9,2,9,2,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,2,9,1,2,2,2,9,9,2,9,2,1,9,9,2,9,9,9,9,9,9,2,2,2,2,2,2,1,1,9,2,1,2,2,2,2,2,1
263,HALIFAX,Nova Scotia,1867 - ,8,1896.06.23,1290,5e8a24b4-f155-4f3d-aacc-e6da13c93756,"BORDEN, R.L.",6170,0.2653,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,9,9,1,2,9,1,2,9,9,2,9,9,9,9,9,9,9,9,9,1,9,9,1,2,9,9,9,9,9,1,2,9,2,2,9,9,9,2,1,9,9,9,1,9,9,9,9,1,2,2,9,9,9,9,9,1,1,9,1,1,9,1,1,1,1,9,9,9,1,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9
411,MACDONALD,Manitoba,1892 - 1947,8,1897.04.27,1293,5edbc40f-91d6-42ee-9a2e-9183aa748c81,"RUTHERFORD, J.G.",2619,0.557,Liberal Party of Canada,"Editor, veterinary surgeon",Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,2,1,1,2,2,1,9,2,1,1,9,9,9,9,9,2,2,2,2,2,1,2,1,1,9,1,9,9,2,1,1,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,2,2,1,2,1,1,9,2,2,9,2,2,2,2,2,9,9,2,9,9,9,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1
399,LINCOLN AND NIAGARA,Ontario,1882 - 1903,8,1896.06.23,1382,64fe82b2-b4ed-479c-840a-3d77c82f57cc,"GIBSON, Wm.",2945,0.5386,Liberal Party of Canada,"Contractor, engineer",Protestant,0,2,,,,,,,,,Scotland,,,,9,2,2,2,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,1,9,9,2,1,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,2,9,1,1,9,2,1,9,9,9,2,2,9
806,WEST PRINCE,Prince Edward Island,1892 - 1903,8,1898.04.13,1388,657d11c1-2ba8-471b-9a0b-bef4db0cff62,"MCLELLAN, Bernard Donald",1828,0.5473,Liberal Party of Canada,"Farmer, teacher",Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,1,2,1,1,1,1,1,9,9,9,9,9,9,1,1,9,1,2,1,9,2,2,9,2,2,2,1,2,2,2,1,2,2,9,9,2,2,2,9,1,9,9,2,9,9,9,9,9,9,9,9,9,9,2,2,1,1,2,2,1,2,2,2,2,2,1
164,CUMBERLAND,Nova Scotia,1867 - 1966,8,1896.06.23,1430,687c4488-2a54-4da2-b396-df8a4613b4fb,"LOGAN, H.J.",3462,0.5114,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,1,1,2,2,1,2,2,1,9,1,9,2,1,9,9,2,2,9,2,9,2,1,1,9,9,2,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,1,2,9,9,9,2,2,2,9,9,9,9,9,2,9,9,9,9,9,2,2,9,9,9,9,2,1,2,2,1,2,2,2,2,2,1
518,OTTAWA (CITY OF),Ontario,,8,1896.06.23,1436,68ca90e4-411e-41a7-8215-43fc6b3c6c46,"HUTCHINSON, W.",3333,0.2419,Liberal Party of Canada,Mill owner,Protestant,0,1,,,,,,,,,,,,,9,9,2,9,9,9,9,2,1,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,9,2,2,1,9,2,2,1,2,2,2,9,2,2,2,2,1,2,9,2,2,2,9,2,1,2,2,2,2,2,2,2,9,9,9,2,1,9,9,9,2,2,1
606,RICHELIEU,Quebec,1867 - 1933,8,1896.06.23,1475,6c0998c5-ccd5-471e-aec6-76892fd3374b,"BRUNEAU, A.A.",1609,0.5217,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,9,1,1,9,9,9,9,1,9,1,9,2,2,9,9,9,9,2,1,2,9,1,1,9,1,9,9,9,2,9,9,1,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,2,9,2,2,9,2,9,9,2,9,2,9,9,9,2,9,9,9,9,2,1,1,9,2,1,2,2,9,2,2,9
793,WELLAND,Ontario,1867 - 1987,8,1896.06.23,1480,6c5a77a6-e687-4bcd-8629-abb11316ed42,"MCCLEARY, Wm.",2705,0.5161,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,,,,,1,1,9,9,1,2,9,1,2,1,9,1,9,2,2,1,9,2,1,1,9,1,9,2,2,2,9,9,2,9,2,1,9,9,2,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,2,2,1,9,9,1,1,9,1,1,9,9,9,9,9,9,9,1,2,1,1,1,1,1,9,9,2,2,1,1,2,9,9,1,1,9,9
835,YALE--CARIBOO,British Columbia,1892 - 1914,8,1896.06.23,1495,6d2239f0-68df-4f36-b0c9-3be648d7d592,"BOSTOCK, H.",1824,0.5522,Liberal Party of Canada,"Fruit grower, lawyer, rancher",Protestant,0,1,,,,,,,,,England,,,,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,9,2,9,9,9,2,1,1,1,9,1,1,2,1,9,1,1,9,1,2,1,2,2,2,2,2,9,9,9,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
723,TERREBONNE,Quebec,1867 - 1996,8,1896.06.23,1519,6e38af32-04ee-46e5-b3d5-1647a50f6a56,"CHAUVIN, L.A.",1862,0.5178,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,9,1,9,1,2,9,1,2,1,9,9,9,9,9,1,9,2,9,2,9,9,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9
323,KAMOURASKA,Quebec,1867 - 1976,8,1896.06.23,1520,6e3db2e0-2894-483a-8384-8acea5841cbb,"CARROLL, H.G.",1414,0.502,Liberal Party of Canada,Lawyer,Catholic,0,2,,,,,,,,,,,,,2,2,2,9,1,1,9,2,1,2,1,2,9,9,9,2,9,2,2,2,9,9,9,9,9,9,9,1,1,2,2,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,2,2,1,9,2,2,9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,1,9,9,9,9,9,9,2,2,9,9
7,ALBERTA (PROVISIONAL DISTRICT),Northwest Territories,,8,1896.06.23,1525,6e8d69a0-c443-4d32-9982-364df1473067,"OLIVER, Frank",3647,0.5542,Liberal Party of Canada,Publisher,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2,2,2,2,1,1,2,9,2,1,1,2,1,2,1,9,1,2,1,1,9,1,1,1,2,9,1,9,9,9,9,1,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,9,2,9,9,9,9,9,9,9,9,2,2,2,1,9,2,2,9,1,2,9,9,9,2,2,1
663,SASKATCHEWAN (PROVISIONAL DISTRICT),Northwest Territories,,8,1896.12.19,1537,6f8757b8-14e1-4066-84f8-108affd94890,"DAVIS, T.O.",1060,0.5475,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,2,9,1,2,2,1,2,1,2,1,2,9,2,9,9,9,2,2,9,9,1,9,9,1,1,9,9,9,2,9,1,1,1,9,1,2,9,2,9,2,2,2,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1,9,2,9,9
837,YARMOUTH,Nova Scotia,1867 - 1914,8,1896.06.23,1550,71065e43-328a-445d-9053-17777de777cd,"FLINT, Thos. B.",1640,0.5783,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,2,2,2,2,1,1,2,2,1,2,2,9,1,1,9,2,1,1,2,2,2,9,2,9,2,1,1,9,1,9,9,2,9,9,9,9,9,9,9,1,2,9,9,2,9,9,9,9,9,2,2,1,2,2,2,2,2,2,2,9,1,2,2,9,9,9,9,9,9,9,2,2,9,9,9,9,2,1,9,9,9,2,2,9,9,9,9
83,BRUCE WEST,Ontario,1882 - 1903,8,1896.06.23,1553,713cf301-7f68-479b-b74d-641d8d140855,"TOLMIE, John",2110,0.5654,Liberal Party of Canada,Manufacturer,Protestant,0,1,,,,,,,,,Scotland,,,,2,2,1,2,2,1,9,2,1,2,9,1,1,9,2,2,9,9,2,9,2,9,9,9,2,1,1,9,1,1,9,9,9,9,9,9,9,9,9,1,9,9,2,2,9,9,9,9,2,2,2,1,2,1,9,9,9,2,2,2,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,2,1,1,2,2,1,1,1,9,9,9,9
609,RICHMOND,Nova Scotia,1867 - 1914,8,1896.06.23,1555,7157cc74-b9b4-4db8-b67d-94da275ff62f,"GILLIES, J.A.",1078,0.5052,Conservative (1867-1942),"Lawyer, solicitor",Catholic,0,2,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,1,9,9,9,2,2,1,9,9,1,2,1,1,1,9,9,2,2,2,2,9,2,1,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,2,2,9,1,9,9,1,1,1,1,9,1,1,1,9,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,9,9
79,BRUCE EAST,Ontario,1882 - 1903,8,1896.06.23,1564,71e5597a-15da-411d-82fd-60def944d8cf,"CARGILL, Henry",2048,0.5213,Conservative (1867-1942),"Farmer, lumber merchant, merchant",Protestant,0,3,,,,,,,,,,,,,9,1,2,9,1,2,1,1,2,1,1,2,2,2,9,1,9,1,1,2,9,9,9,9,2,2,2,2,9,1,9,9,9,9,2,2,1,9,9,9,1,9,9,9,9,9,9,9,9,1,2,2,1,9,9,9,1,9,1,1,9,1,1,9,1,1,9,9,9,9,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9
485,NICOLET,Quebec,1867 - 1933,8,1897.12.21,1574,72630a4b-a851-4722-b204-86c9db18620b,"LEDUC, J.H.",2265,0.5288,Liberal Party of Canada,Merchant,Fr.Catholic,1,2,,,,,,,,,,,,,99,99,99,99,99,99,99,2,1,2,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
235,GASPE,Quebec,1867 - 1996,8,1896.06.23,1590,733cae8a-7e57-46c6-ab2e-478ac991835f,"LEMIEUX, Rodolphe",1658,0.5064,Liberal Party of Canada,"Author, lawyer, lecturer",Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,9,1,1,2,2,1,9,1,2,1,9,2,2,9,2,2,9,9,1,2,9,9,9,9,1,1,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,2,2,9,2,2,9,9,9,9,2,2,2,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9
624,ROUVILLE,Quebec,1867 - 1914,8,1896.06.23,1592,73436b70-d382-4eb3-9baf-bb0e92fdbf12,"BRODEUR, L.P.",1840,0.679,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,9,1,9,2,2,1,2,1,2,1,9,9,9,1,1,2,9,2,9,2,9,9,9,9,9,1,9,9,2,9,9,1,1,9,9,9,9,9,9,2,2,2,9,9,1,2,2,9,1,2,2,1,9,9,2,2,2,9,2,2,2,2,2,2,2,1,2,2,9,2,2,2,2,1,2,2,2,1,9,9,2,2,2,1
582,QUEBEC WEST,Quebec,1867 - 1933,8,1896.06.23,1608,74b44666-9b8f-48fa-b35f-158b38e1b686,"DOBELL, R.R.",1057,0.5613,Liberal Party of Canada,Businessman,Protestant,0,1,,1,,,,,,,England,,,,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,2,2,9,9,9,1,9,9,9,9,9,9,9,2,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,2,9,9,9,2,9,9,2,9,9,2,2,2,2,2,9
