Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H19S1V001,H19S1V002,H19S1V003,H19S1V004,H19S1V005,H19S1V006,H19S2V001,H19S2V002,H19S2V003,H19S2V004,H19S2V005,H19S2V006,H19S2V007,H19S3V001,H19S3V002,H19S3V003,H19S3V004,H19S3V005,H19S3V006,H19S3V007,H19S3V008,H19S3V009,H19S3V010,H19S3V011,H19S3V012,H19S3V013,H19S3V014,H19S3V015,H19S3V016,H19S4V001,H19S4V002,H19S4V003,H19S4V004,H19S4V005,H19S4V006,H19S4V007,H19S4V008,H19S4V009,H19S4V010,H19S4V011,H19S4V012,H19S4V013,H19S4V014,H19S4V015,H19S4V016,H19S4V017,H19S4V018,H19S4V019,H19S4V020,H19S5V001,H19S5V002,H19S5V003,H19S5V004,H19S5V005,H19S5V006,H19S5V007,H19S5V008,H19S5V009,H19S5V010,H19S5V011,H19S5V012,H19S5V013,H19S5V014,H19S5V015,H19S5V016,H19S5V017,H19S5V018,H19S5V019,H19S5V020,H19S5V021,H19S5V022,H19S5V023,H19S5V024,H19S5V025,H19S5V026,H19S5V027,H19S5V028,H19S6V001,H19S6V002
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,06.03.1940,06.18.1940,06.19.1940,07.05.1940,07.05.1940,07.05.1940,12.03.1940,12.03.1940,12.05.1940,03.25.1941,05.01.1941,05.01.1941,05.22.1941,02.18.1942,02.19.1942,02.19.1942,02.19.1942,02.19.1942,03.04.1942,03.04.1942,03.17.1942,04.20.1942,07.02.1942,07.07.1942,07.07.1942,07.16.1942,07.23.1942,07.23.1942,07.28.1942,02.02.1943,02.18.1943,02.23.1943,02.23.1943,02.25.1943,03.01.1943,03.08.1943,03.25.1943,03.25.1943,03.25.1943,03.30.1943,05.06.1943,05.10.1943,05.10.1943,05.19.1943,05.20.1943,06.07.1943,06.30.1943,07.05.1943,07.19.1943,02.08.1944,02.10.1944,02.10.1944,02.10.1944,02.10.1944,02.21.1944,02.22.1944,03.10.1944,03.20.1944,03.27.1944,05.08.1944,05.11.1944,05.11.1944,05.15.1944,06.13.1944,06.29.1944,07.11.1944,07.25.1944,07.28.1944,07.31.1944,07.31.1944,08.09.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,03.25.1945,04.13.1945
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,HALIFAX,Nova Scotia,1867 - ,19,1940.03.26,163,0cd180b9-3a82-4810-b0ce-83bc28f5b7c5,"ISNOR, Gordon B.",19398,0.219,Liberal Party of Canada,Merchant,,0,2,,,,,,,,,,,,,9,1,1,2,2,1,2,2,9,2,9,9,1,2,1,2,2,1,2,2,9,2,1,1,1,2,2,1,2,1,2,2,2,2,2,9,2,2,1,2,1,2,2,1,2,9,1,9,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,9,2,1,9,9,9,1,2,2,1,1,1,1,1,2
169,DAUPHIN,Manitoba,1903 - 1983,19,1940.03.26,181,0e1575e1-8782-4de1-8bdb-742a2019685e,"WARD, William John",5953,0.3503,Liberal Party of Canada,"Farmer, insurance agent, real estate agent",,0,5,,,,,,,,,,,,,2,1,1,2,2,1,2,2,2,2,9,9,1,2,1,2,2,1,2,2,2,9,1,1,1,2,2,1,9,1,2,2,2,2,2,1,2,2,1,2,9,9,9,1,2,9,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,9,9,9,2,1,1,9,9,1,2,2,1,9,1,1,1,2
141,CHATEAUGUAY--HUNTINGDON,Quebec,1914 - 1947,19,1940.03.26,211,100769e9-710c-4d67-8e3a-77ef5e47b396,"BLACK, Donald E.",5773,0.7382,Liberal Party of Canada,"Farmer, merchant",,0,2,,,,,,,,,,,,,9,1,1,2,2,1,2,9,2,9,2,2,9,2,1,2,2,1,2,2,2,9,9,1,1,2,2,1,2,9,2,2,2,2,9,9,2,2,1,9,1,9,9,1,9,9,1,9,9,2,2,2,2,1,9,9,9,9,9,9,1,9,9,1,9,2,1,9,9,9,1,1,2,1,1,1,1,1,2
823,WINNIPEG NORTH CENTRE,Manitoba,1924 - 1996,19,1942.11.30,215,103e48f0-b6bb-43eb-9c06-7ceffaf3ea78,"KNOWLES, Stanley H.",11639,0.7021,Co-operative Commonwealth Federation,"Clergyperson, minister, printer",,0,1,,,,,,,,,United States,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,1,1,2,9,9,9,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,9,2,2,2,2,1,1,1,2
167,DANFORTH,Ontario,1933 - 1966,19,1940.03.26,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",11847,0.5698,Conservative (1867-1942),"Businessman, director, manager, manufacturer",,0,6,,,,,,,,,,,,,2,1,1,2,1,1,2,1,2,2,9,9,2,2,1,2,1,2,2,1,1,9,9,1,2,1,2,1,1,9,2,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,1,2,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,2,2,1,9
549,PETERBOROUGH WEST,Ontario,1867 - 1952,19,1940.03.26,240,122985bb-8354-4928-95e2-c74d0fbd4fa4,"FRASER, Gordon Knapman",9683,0.5046,National Government,"Financial agent / adviser / consultant, gentleman",,0,1,,,,,,,,,,,,,1,9,9,2,1,1,9,9,9,9,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,9,9,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,9,1,2,1,9,2,1,9,1,1,9,1,2,1,9,9,9,9,9,9,9,9,9,1,2
796,WELLINGTON NORTH,Ontario,1867 - 1952,19,1940.03.26,293,15d2a1ed-71cc-41ad-a359-69ee5412750f,"BLAIR, John Knox",5748,0.574,Liberal Party of Canada,"Physician, teacher",,0,3,,,,,,,,,,,,,9,1,1,9,9,9,2,2,2,2,2,2,1,2,9,9,9,9,2,2,9,2,9,1,1,9,2,9,2,1,2,2,2,2,2,9,2,2,1,2,9,2,2,9,9,2,1,9,2,2,2,9,9,9,9,2,2,2,9,2,1,9,1,1,9,2,1,9,1,1,9,9,9,1,1,1,1,1,2
723,TERREBONNE,Quebec,1867 - 1996,19,1940.03.26-1944.07.26,295,15f7b640-a209-4f80-8dd3-69851bfeb8ad,"BERTRAND, Lionel",7839,0.4494,Independent Liberal,"Journalist, newspaper editor",,1,1,,,,,,,,,,Resignation. Enters provincial politics in Quebec: 1944.07.26,,,2,1,1,2,2,1,2,2,9,2,9,9,1,2,2,9,2,2,9,9,9,2,9,2,9,1,1,2,9,1,2,1,2,9,9,9,9,9,9,9,9,1,1,9,9,1,9,2,9,2,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
632,ST. DENIS,Quebec,1914 - 1947,19,1940.03.26,298,1647b84c-1764-48b8-a6af-5e29cbded7d7,"DENIS, Azellus",18948,0.6496,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,9,1,1,9,9,9,2,2,2,9,2,2,9,2,1,2,2,1,9,9,2,9,1,2,9,9,9,9,2,1,2,2,2,2,9,9,2,2,1,2,1,9,9,1,2,9,9,9,9,2,2,2,2,1,9,2,9,9,9,9,1,9,9,1,9,2,9,1,9,9,9,1,2,1,1,2,2,1,9
555,PORT ARTHUR,Ontario,1933 - 1976,19,1940.03.26,310,1716566b-edef-40b2-9552-49510618c3bb,"HOWE, Hon. Clarence Decatur",10327,0.5532,Liberal Party of Canada,"Civil engineer, consulting engineer, professor",,0,2,,1,,,,,,,United States,,,,2,1,1,2,9,1,2,2,9,9,9,9,9,2,1,2,2,1,2,2,9,2,9,1,1,2,2,1,2,1,9,2,2,2,2,9,2,2,1,2,1,9,9,1,9,2,1,9,9,2,9,9,9,9,1,9,2,2,1,9,1,9,9,9,9,9,9,1,9,9,9,2,2,1,1,1,1,1,2
