Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S36S1V001,S36S1V002,S36S1V003,S36S1V004,S36S1V005,S36S1V006,S36S1V007,S36S1V008,S36S1V009,S36S1V010,S36S1V011,S36S1V012,S36S1V013,S36S1V014,S36S1V015,S36S1V016,S36S1V017,S36S1V018,S36S1V019,S36S1V020,S36S1V021,S36S1V022,S36S1V023,S36S1V024,S36S1V025,S36S1V026,S36S1V027,S36S1V028,S36S1V029,S36S1V030,S36S1V031,S36S1V032,S36S1V033,S36S1V034,S36S1V035,S36S1V036,S36S1V037,S36S1V038,S36S1V039,S36S1V040,S36S1V041,S36S1V042,S36S1V043,S36S1V044,S36S1V045,S36S1V046,S36S1V047,S36S1V048,S36S1V049,S36S1V050,S36S1V051,S36S1V052,S36S1V053,S36S1V054,S36S1V055,S36S1V056,S36S1V057,S36S1V058,S36S2V001,S36S2V002,S36S2V003,S36S2V004,S36S2V005,S36S2V006,S36S2V007,S36S2V008,S36S2V009,S36S2V010,S36S2V011,S36S2V012,S36S2V013,S36S2V014,S36S2V015,S36S2V016,S36S2V017,S36S2V018,S36S2V019,S36S2V020,S36S2V021,S36S2V022
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),2,2,2,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),2,9,2,1,2,1,2,1,9,1,9,1,2,9,9,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),2,1,9,9,9,1,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,1,1,1,2,1,9,9,9,1,2,1,2,1,1,9,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,9,2,1,1,1,1,2,2,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,8,1,9,9,1,2,1,9,1,1,1,1,1,2,1,1,9,9
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12 ,1979.09.13 , 1999.12.12 ,(Death),9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,2,1,9,1,1,2,2,1,9,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21 ,1979.09.27 , 1997.06.21 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),9,9,9,9,9,2,1,9,9,2,1,9,1,9,9,1,1,2,1,1,1,1,2,9,1,1,1,1,1,2,9,2,1,1,1,1,2,2,1,9,1,1,1,1,1,9,1,1,1,9,9,9,9,9,1,1,1,2,1,1,2,1,8,1,1,2,1,2,1,9,1,1,1,1,1,2,9,9,9,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),2,2,2,1,2,1,2,1,1,1,9,9,2,9,2,9,9,9,9,9,9,9,9,9,2,2,2,2,9,1,2,1,2,2,2,2,2,2,1,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,2,1,2,1,9,9,2,2,2,2,2,1,9,2,9,9
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,1,1,8,9,2,9,1,2,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,8,2,8,1,9,2,8,8,8,9,9,1,1,1,1,1,2,9,9,9,9
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott",1982.12.23 - 2000.07.21 ,1982.12.23 , 2000.07.21 ,(Retirement),9,9,9,2,1,2,1,2,1,1,9,9,9,9,9,1,1,2,1,1,1,1,2,9,9,9,9,1,9,9,9,9,9,1,1,1,2,2,1,9,1,9,9,9,9,9,9,9,1,9,9,9,9,9,1,1,1,2,9,9,9,9,9,9,1,2,8,8,9,9,1,1,1,1,1,8,9,9,9,9
"Hí©bert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.04.20 - 1998.06.21 ,1983.04.20 , 1998.06.21 ,(Retirement),2,2,2,1,2,1,2,1,1,1,1,1,2,9,2,2,2,1,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18 ,1983.12.23 , 2004.01.18 ,(Retirement),2,9,9,9,9,9,9,9,1,1,9,9,2,9,9,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,2,9,9,2,1,9,9,2,2,2,2,2,1,2,9,9,2
"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,2,2,2,1,8,1,1,1,2,2,1,1,9,2,2,2,2,1,2,2,2,9,9,1,2,1,2,2,2,1,2,1,2,2,2,9,9,9,9,1,2,1,2,2,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,8,2,8,8,2,9,1,1,1,1,1,2,2,9,9,2
"GigantíÂs, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.13 - 1998.08.16 ,1984.01.13 , 1998.08.16 ,(Retirement),2,2,9,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 1999.11.19 ,1984.01.13 , 1999.11.19 ,(Retirement),2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,9,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),2,2,9,1,2,1,2,1,9,2,9,9,9,2,9,2,2,1,2,2,2,2,1,1,9,9,9,2,2,1,2,9,9,9,9,9,9,9,9,1,2,1,2,2,2,9,2,2,2,2,2,2,2,1,9,9,9,9,2,9,9,9,9,2,2,1,9,9,2,9,2,2,2,2,2,1,2,9,9,2
