Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S16S1V01,S16S1V02,S16S2V01,S16S2V02,S16S4V01,S16S4V02,S16S4V03,S16S4V04
Date,,,,,,,,03.24.1926,03.24.1926,03.22.1928,05.08.1928,05.15.1930,05.20.1930,05.30.1930,05.30.1930
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,"Motion that the Bill (An Act respecting Old Age Pensions) be committed to a Committee of the Whole, presently, with the following instructions",Motion that the Bill (An Act to anebd the Post Office Act (Newspaper Ownership)) be read a second time six months hence,Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,Motion that the Bill (An Act to provide in the province of Ontario for the dissolution and the annulment of Marriage) be read a second time six months hence,"Motion that the Bill (An Act to amend the Export Act) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended"
"Rankin, James Palmer",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.09 - 1934.06.15 ,1925.09.09 , 1934.06.15 ,(Death),1,2,1,1,2,9,1,1
"Hatfield, Paul Lacombe",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1926.10.07 - 1935.01.28 ,1926.10.07 , 1935.01.28 ,(Death),1,2,2,9,9,2,9,9
"Bí©land, Henri Sí©ví©rin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1935.04.22 ,1925.09.05 , 1935.04.22 ,(Death),9,9,9,9,1,2,1,1
"Martin, Peter Francis",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.12.05 - 1935.05.02 ,1921.12.05 , 1935.05.02 ,(Death),1,2,9,2,9,9,2,2
"Lewis, John",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.05.18 ,1925.09.05 , 1935.05.18 ,(Death),1,2,1,1,2,2,9,9
"Schaffner, Frederick Laurence",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.10.23 - 1935.05.22 ,1917.10.23 , 1935.05.22 ,(Death),1,2,1,2,2,2,2,2
"Murphy, Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.11.24 ,1925.09.05 , 1935.11.24 ,(Death),1,2,1,9,9,9,9,9
"Planta, Albert",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.06.26 - 1935.12.11 ,1917.06.26 , 1935.12.11 ,(Resignation),1,2,9,2,2,1,9,9
"McLean, John",Conservative (1867-1942),Prince Edward Island,"Borden, Robert Laird",1915.12.03 - 1936.02.20 ,1915.12.03 , 1936.02.20 ,(Death),1,2,9,2,2,2,9,9
"McCormick, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.09.21 - 1936.02.21 ,1921.09.21 , 1936.02.21 ,(Death),1,2,1,9,9,2,2,2
