Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S26S1V01,S26S2V01,S26S2V02,S26S2V03,S26S2V04,S26S2V05,S26S2V06,S26S2V07,S26S2V08,S26S2V09,S26S3V01
Date,,,,,,,,12.04.1963,05.06.1964,07.21.1964,07.27.1964,12.14.1964,12.17.1964,12.17.1964,03.04.1965,03.16.1965,03.16.1965,06.02.1965
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Bill C-95: Amendment Act on the income tax as amended.,"Second reading of the Bill S-17: Law on the Territorial Sea and Fishing Zones of Canada
","vote for the application to the Supreme Court of Canada for the opinion on the constitutionality of Bill S-16 An Act to amend the Law on Marriage and Divorce
","Bill S-6: legislation to incorporate the Banq of Western Canada as amended (to send back to the standing committee)
",vote to support the ruling that the notice of one day by Senator Connolly in respect of a motion regarding the appointment of a National Flag of Canada is sufficient under the Rules of the Senate,Motion of the Honourable Senator Connolly that the House recommends that the government take the necessary steps to be designated as a National Flag with a red flag äó_  as amended (p.787),Motion of the Honourable Senator Connolly that the House recommends that the government take the necessary steps to be designated as a National Flag with a red flag äó_ (p.788),Motion of the Honourable Senator Grosart that the report be not now adopted but that it be referred to the Committee on Banking and Commerce for further consideration,"Third reading of Bill C-126: Law on working hours, minimum wages, annual leave and paid holidays in the works, undertakings and businesses under federal jurisdiction as amended ","Third reading of Bill C-126: Law on working hours, minimum wages, annual leave and paid holidays in the works, undertakings and businesses under federal jurisdiction as amended once again ",Third reading of Bill C-98 An Act establishing the retirement of members of the Senate as amended 
"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25 ,1940.02.09 , 1964.03.25 ,(Death),9,99,99,99,99,99,99,99,99,99,99
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),9,9,9,9,99,99,99,99,99,99,99
"Horner, Ralph Byron",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),1,1,9,9,99,99,99,99,99,99,99
"Taylor, Austin Claude",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1957.01.03 - 1965.01.17 ,1957.01.03 , 1965.01.17 ,(Death),2,9,9,9,9,9,9,99,99,99,99
"Robertson, John Alexander",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.11.29 - 1965.02.19 ,1962.11.29 , 1965.02.19 ,(Death),1,1,1,9,2,1,2,99,99,99,99
"Stambaugh, Wesley",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.09.07 - 1965.06.08 ,1949.09.07 , 1965.06.08 ,(Resignation),2,2,1,2,1,2,1,9,9,9,2
"Hodges, Nancy",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1953.11.05 - 1965.06.12 ,1953.11.05 , 1965.06.12 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9
"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19 ,1949.06.25 , 1965.08.19 ,(Resignation),9,9,9,9,1,2,1,9,9,9,9
"Tremblay, Lí©onard-David Sweezey",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1965.09.02 ,1953.06.12 , 1965.09.02 ,(Resignation),2,9,9,9,9,9,9,9,9,9,9
"Buchanan, John Alexander",Progressive Conservative Party,Alberta,"Diefenbaker, John George",1959.01.15 - 1965.10.02 ,1959.01.15 , 1965.10.02 ,(Resignation),1,1,1,9,2,1,2,9,1,1,9
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04 ,1938.01.20 , 1965.11.04 ,(Death),2,2,2,2,1,9,9,2,9,9,2
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),9,9,9,9,9,9,9,9,9,9,9
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),2,2,9,9,9,9,9,9,9,9,9
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),2,2,9,9,9,9,9,9,9,9,9
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),9,2,9,9,9,2,1,9,9,9,9
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15 ,1953.05.19 , 1966.03.15 ,(Resignation),2,2,9,9,9,2,1,9,2,2,2
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30 ,1953.06.12 , 1966.03.30 ,(Death),9,9,9,9,9,9,9,9,9,9,2
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),2,9,9,9,1,9,9,9,9,9,9
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),2,2,1,9,9,2,1,9,9,9,9
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),9,9,9,9,1,2,1,2,2,2,2
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01 ,1953.05.19 , 1966.06.01 ,(Resignation),2,2,2,9,9,2,1,9,2,2,2
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),2,9,9,9,9,9,9,9,9,9,9
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),9,9,9,9,9,9,9,1,2,2,9
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),9,2,2,2,1,9,9,2,2,2,2
"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11 ,1942.11.19 , 1967.03.11 ,(Death),2,9,9,9,1,2,1,9,2,2,9
"McLean, Alexander Neil",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1967.03.12 ,1945.04.18 , 1967.03.12 ,(Death),2,2,1,1,9,9,9,9,2,2,9
"Hnatyshyn, John",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1959.01.15 - 1967.05.02 ,1959.01.15 , 1967.05.02 ,(Death),9,1,2,1,2,1,2,1,9,9,9
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11 ,1945.04.18 , 1967.05.11 ,(Death),2,2,2,2,1,2,1,9,9,9,2
"Reid, Thomas",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1949.09.07 - 1967.10.14 ,1949.09.07 , 1967.10.14 ,(Resignation),9,9,1,9,9,9,9,9,2,2,2
"Brooks, Alfred Johnson",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1960.09.12 - 1967.11.07 ,1960.09.12 , 1967.11.07 ,(Resignation),1,1,1,1,2,1,2,1,1,1,9
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23 ,1949.08.17 , 1967.11.23 ,(Death),2,2,9,9,1,9,9,9,9,9,2
"Macdonald, William Ross",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22 ,1953.06.12 , 1967.12.22 ,(Resignation),2,9,1,2,1,9,9,9,9,9,9
"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26 ,1945.04.18 , 1968.03.26 ,(Resignation),2,2,1,2,1,2,1,9,2,2,2
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01 ,1942.10.05 , 1968.04.01 ,(Resignation),2,9,9,9,1,2,9,9,9,9,9
"McCutcheon, Malcolm Wallace",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.08.09 - 1968.05.13 ,1962.08.09 , 1968.05.13 ,(Resignation),1,1,2,1,2,9,9,9,1,1,1
"Power, Charles Gavan",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.05.30 ,1955.07.28 , 1968.05.30 ,(Death),2,9,2,9,1,2,1,1,2,2,2
"Pouliot, Jean-Franí_ois",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.06.28 ,1955.07.28 , 1968.06.28 ,(Resignation),2,2,1,2,1,2,1,2,2,2,9
"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31 ,1957.01.03 , 1968.12.31 ,(Resignation),2,2,1,2,1,2,1,9,9,9,2
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),9,2,1,2,1,2,1,9,9,9,9
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),9,2,9,2,1,2,1,1,2,2,9
"O'Leary, Clement Augustine",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1969.06.12 ,1962.09.25 , 1969.06.12 ,(Death),9,9,9,9,2,1,2,1,1,1,9
"Thorvaldson, Gunnar Solmundur",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1958.01.29 - 1969.08.02 ,1958.01.29 , 1969.08.02 ,(Death),9,1,1,1,2,9,9,2,1,1,1
"Irvine, Olive Lillian",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1960.01.14 - 1969.11.01 ,1960.01.14 , 1969.11.01 ,(Death),1,1,1,1,2,1,2,9,9,9,2
"Monette, Gustave",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1969.12.23 ,1957.10.12 , 1969.12.23 ,(Death),1,9,9,9,2,9,9,9,9,9,9
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),9,2,9,9,9,9,9,1,9,9,9
"Leonard, Thomas D'Arcy",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29 ,1955.07.28 , 1970.04.29 ,(Resignation),2,2,1,2,1,2,1,9,2,2,2
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),2,2,1,9,1,9,9,9,2,2,2
"Savoie, Calixte F.",Independent Liberal,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1970.08.23 ,1955.07.28 , 1970.08.23 ,(Resignation),9,9,2,2,9,9,9,9,2,2,2
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),9,1,1,1,2,1,2,1,1,1,1
"Pearson, Arthur Maurice",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1957.10.12 - 1971.03.31 ,1957.10.12 , 1971.03.31 ,(Resignation),1,1,1,9,2,1,2,1,1,1,9
"Gladstone, James",Independent Conservative,Alberta,"Diefenbaker, John George",1958.01.31 - 1971.03.31 ,1958.01.31 , 1971.03.31 ,(Resignation),1,1,1,9,2,1,2,9,9,9,2
"Hollett, Malcolm Mercer",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1961.10.06 - 1971.03.31 ,1961.10.06 , 1971.03.31 ,(Resignation),1,1,9,1,9,1,2,1,1,1,2
"MacDonald, John Joseph",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1958.01.27 - 1971.04.20 ,1958.01.27 , 1971.04.20 ,(Resignation),9,1,9,9,2,1,2,1,9,9,2
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),2,2,1,9,1,2,1,1,2,2,2
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),2,2,2,2,1,2,1,1,2,2,2
"Willis, Harry Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.06.15 - 1972.03.23 ,1962.06.15 , 1972.03.23 ,(Death),1,1,9,1,2,1,2,2,1,1,1
"Mí©thot, Lí©on",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1972.08.06 ,1957.10.12 , 1972.08.06 ,(Death),1,1,2,1,2,1,2,9,1,1,9
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17 ,1957.09.20 , 1972.11.17 ,(Resignation),9,1,9,9,9,1,2,9,1,1,1
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),2,2,9,2,1,2,1,1,2,2,2
"Rattenbury, Nelson",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1964.02.14 - 1973.05.27 ,1964.02.14 , 1973.05.27 ,(Death),99,2,9,9,1,2,1,2,9,9,2
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14 ,1963.07.06 , 1974.08.14 ,(Death),9,9,1,2,1,2,1,1,2,2,2
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28 ,1964.11.10 , 1974.11.28 ,(Resignation),99,99,99,99,1,9,9,9,9,9,2
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),9,2,1,2,1,2,1,1,2,2,2
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14 ,1962.09.25 , 1975.07.14 ,(Resignation),9,1,1,9,2,1,2,1,1,1,9
"Gí©linas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10 ,1963.06.11 , 1975.12.10 ,(Resignation),9,9,9,9,1,2,1,9,2,2,9
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),2,9,2,2,1,2,1,9,2,2,2
"O'Leary, M. Grattan",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1976.04.07 ,1962.09.24 , 1976.04.07 ,(Death),1,1,9,9,2,9,9,2,9,9,2
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),2,2,1,2,1,2,1,9,2,2,2
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),9,1,1,9,2,9,9,2,1,1,1
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),9,2,9,9,9,2,1,1,2,2,2
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),2,9,1,2,9,2,1,1,2,2,2
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,2,9,2,1,2,1,1,2,2,9
"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29 ,1962.06.15 , 1977.12.29 ,(Resignation),1,1,1,1,2,1,2,1,1,1,1
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29 ,1963.04.27 , 1979.03.29 ,(Death),9,9,9,9,9,9,9,9,9,9,9
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),2,9,9,9,1,2,1,2,2,2,2
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),1,1,2,9,2,1,2,9,9,9,2
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),2,2,2,2,9,2,1,2,2,2,2
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),2,2,9,9,1,2,1,1,2,2,2
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),1,1,1,1,2,1,2,1,1,1,1
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),2,2,9,2,1,9,1,9,9,9,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),2,2,1,2,1,2,1,1,2,2,2
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),1,1,1,9,2,1,2,1,1,1,9
"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),1,1,2,1,9,9,9,9,1,1,1
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,2,9,2,1,9,9,9,2,2,2
"Cook, Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),99,2,1,9,9,9,9,9,2,2,2
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9,1,9,9,2,9,9,9,1,1,1
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),1,1,1,9,2,9,9,9,9,9,9
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),9,2,1,2,1,2,1,1,2,2,2
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),9,9,2,9,2,1,2,9,1,1,1
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),2,2,9,9,1,2,9,1,2,2,2
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),2,2,1,2,9,9,9,1,2,2,2
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),1,1,9,2,2,1,2,9,9,9,2
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),1,1,2,1,9,2,1,1,1,1,1
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),2,2,2,2,1,2,1,9,2,2,2
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),99,2,9,9,1,2,1,1,9,9,2
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9,1,9,9,9,9,9,9,1,1,9
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),2,1,1,9,1,9,9,9,9,9,9
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),99,2,9,9,1,2,1,9,2,2,2
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),1,1,1,1,2,1,2,1,1,1,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),1,1,9,9,2,1,2,9,1,1,1
